questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js|24_금당고_1학기_기말_고1_기출|12,archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,24_금당고_1학기_기말_고1_기출,12,12,12,2015,수학(하),H15-SB-03,함수,3,H15-SB-03-FUNCTION_RELATION,함수의 뜻과 대응,rule_inferred,complete_rule,객관식,grid,false,그래프,27561a0e606e6c3ac6cc03947b7d0927f6e5be2dca5d18919c4891a3b807c0f7,919750a1723f84977200598bf00d240cfc5f227f25cd5ea458e6b25a0fbcd06e,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,89a295b173d98d927a98109ccebecaf2cd43960e52a23e45fc967f4ad42e6065,assets/images/24_금당고_1학기_기말_고1_기출/q12.png,511a441e4edeec88875a494ec793b42813afc4829809e285f56a8678e9ee956e,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js|24_금당고_1학기_기말_고1_기출|12,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js_12,7240952c798ac9650218ce775dee041b4040d9b5db0e3e072906b84d4c281580,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|11,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,11,11,11,2015,수학(하),H15-SB-03,함수,3,H15-SB-03-COMPOSITE_FUNCTION,합성함수,category_or_cue_inferred,complete_category,객관식,grid,false,도형,4238de2d9f7e1173a4f6c701bd1622b8fbb7405af57e7d102515b2c1c33ea709,916be8aac9364e08d9d3c0ca14dab6e96ca354095a56a461718423271d600c2a,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,18d87c759139e7ee7664c0d11ab0e458f33996aebfd6464470fcdba111da9d28,assets/images/21_강남여고_2학기_기말_고1_기출/q11.png,f1a1de270e99ba7f81316c1034b450b3842a3ee2dc88cd0e052379b43466de6b,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE,,VISUAL_CANDIDATE,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|11,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_11,a22ca9d3d525091a36da478ba3849228f3ecd3140ca4139d73f1c7b47a53b4fa,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|14,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,14,14,14,2015,수학(하),H15-SB-03,함수,3,H15-SB-03-FUNCTION_RELATION,함수의 뜻과 대응,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,28442a048aac152f3ff5f3e170ae2d529f5256245df7f1556ee0cfee0a63d334,78627b726c4ffcef4163aa61e6a039d5e8614df7bed731e3679b517f7a3b6aa7,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,f8738cac3748178d8102a7c07f46600cc005a3dc15f98eb807b9a517bd0e6d96,,,assets/images/21_강남여고_2학기_기말_고1_기출/q14-solution.svg,bd017230b31cce748bf193156877754a47cc34a33f0648933204b62e043446fb,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,cedd15cd4e7a350fd367a348122633742484db6b2d4ceea6f8e3f50bfec54ce0,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|14,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_14,a22ca9d3d525091a36da478ba3849228f3ecd3140ca4139d73f1c7b47a53b4fa,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|23,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,23,23,23,2015,수학(하),H15-SB-03,함수,3,H15-SB-03-INVERSE_FUNCTION,역함수,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,9a92dadcbebafe8c27c2aed66ff8e03792214b106aa8e4223e415ae8c72e17ec,33df25322b696566a74a473e6940f30d5f9cef7ece09c5631ef8d9de89413abe,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,4fa775df47ee2df6e8ceb72dc2e4b4a12b41e163b05924bb5ff73a0baa2534f4,assets/images/21_강남여고_2학기_기말_고1_기출/q23.png,ad20d0f5e73b133f91f7c22bbbafa9e40fcb3bf84ac1b8440c9f0177a87f07c3,assets/images/21_강남여고_2학기_기말_고1_기출/q23-solution.svg,769de7b0f9d21e37a4c23a095fa206941b47275a7730b636be638516c2719036,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,e15df23600d8f51fef1211c63438826e8e99faa4891a20a9a9517abd4ecc6285,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|23,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_23,a22ca9d3d525091a36da478ba3849228f3ecd3140ca4139d73f1c7b47a53b4fa,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|25,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,25,25,25,2015,수학(하),H15-SB-03,함수,3,H15-SB-03-FUNCTION_RELATION,함수의 뜻과 대응,category_or_cue_inferred,complete_category,객관식,grid,false,,0eea419dd8220d86c853d79221fa922b48e3d63af1e51dd6a2fde72f4097aeb9,f6957318ff2a17316085de8379a810e3c1ecb3f2e62f2de4467e379b5f6e5ab1,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,520f7ca0f881ce3e2e33a654e8cc534eb3bed0b23e72ef1e37423a3a729d5ab1,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,SET_OR_LOGIC_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,SCHEMATIC_OR_REVIEW,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|25,,INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_25,a22ca9d3d525091a36da478ba3849228f3ecd3140ca4139d73f1c7b47a53b4fa,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|3,archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,21_금당고_2학기_기말_고1_기출,3,3,3,2015,수학(하),H15-SB-03,함수,3,H15-SB-03-FUNCTION_RELATION,함수의 뜻과 대응,rule_inferred,complete_rule,객관식,grid,false,,378047b0718dde4b009560308491f0add33ef1658475352fe24c185f899b61f7,e0a2d515b9432b7ce272fe4d09d2234810d327b803650316fda86b74a012a5e6,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,9bca810b3ca8c157eeba6595d5e0d93ef46403993cc50c74a2dac43b71eff741,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|3,,INDEX_RECORD_PRESENT,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_3,f57a459d83644ea31d0d9f4c030f95af6a8a43d526e99190686d9d69778df173,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|8,archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,21_금당고_2학기_기말_고1_기출,8,8,8,2015,수학(하),H15-SB-03,함수,3,H15-SB-03-INVERSE_FUNCTION,역함수,rule_inferred,complete_rule,객관식,grid,false,그래프,1b1ee15ae4b36f45a6f55408d189d0126ec03c8e970b6080781d0fbb48f669e7,b5c147f1347f2c0f0b4339919f68f8b1abd21e6a1fb0ad59cbfd6fc5d0700d2a,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,204668b30fba478ad08d01fbadff466813e90b8ae2f7740c64ebca5b1bd00224,,,assets/images/21_금당고_2학기_기말_고1_기출/q08-solution.svg,aa098268d92d5b64174b1f03fc60e1cb89dfe81ef6e07fd40c61085ad5615f07,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,f943179e9fb758d4920a2ce187aaf5182ecedfb8d154979b73c2e150a58d015d,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|8,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_8,f57a459d83644ea31d0d9f4c030f95af6a8a43d526e99190686d9d69778df173,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|11,archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,21_금당고_2학기_기말_고1_기출,11,11,11,2015,수학(하),H15-SB-03,함수,3,H15-SB-03-COMPOSITE_FUNCTION,합성함수,rule_inferred,complete_rule,객관식,grid,false,,bc4ec7e440ce4ae3103bbf5785fdae4e6fcfcec89aa16421ae97b5cecc1255d0,3d754ce0ae8235bfb6d423c61658f6b4de2ccce08948bcdd8737bf1d91726288,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,c8924fccba4a4b919a97180dbf1007096f67f9c611a3b792786c18868c897a75,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|11,,INDEX_RECORD_PRESENT,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_11,f57a459d83644ea31d0d9f4c030f95af6a8a43d526e99190686d9d69778df173,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|19,archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,21_금당고_2학기_기말_고1_기출,19,19,19,2015,수학(하),H15-SB-03,함수,3,H15-SB-03-INVERSE_FUNCTION,역함수,rule_inferred,complete_rule,객관식,grid,false,,f9f28f215fc866d5a7925ea281f0f591e02a70c7191c4cfd7f330e507c7a637c,8bcce73af7f71e39f6193ab45ec324deebc866b8734183f3866483ae434b26df,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,96de2eafa9465e43775c6c4897d06e23524732a7f1a0abd6025cf0395eca98c3,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,SET_OR_LOGIC_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,SCHEMATIC_OR_REVIEW,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|19,,INDEX_RECORD_PRESENT,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_19,f57a459d83644ea31d0d9f4c030f95af6a8a43d526e99190686d9d69778df173,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|1,archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,21_복성고_2학기_기말_고1_기출,1,1,1,2015,수학(하),H15-SB-03,함수,3,H15-SB-03-INVERSE_FUNCTION,역함수,rule_inferred,complete_rule,객관식,grid,false,,5caa90a7d57cc3649135838f01343d8ce67cc8589748a94afe786b007dfdeab6,33df25322b696566a74a473e6940f30d5f9cef7ece09c5631ef8d9de89413abe,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,39cee4bcb7d6667290dc7121c62cbfa08ab5240b3c9266af4697af63c2ed7566,assets/images/21_복성고_2학기_기말_고1_기출/q1.png,628639fb9b7d479e4c1c0e269eed5467e2a8da341ba706f58370359c488be37c,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,PROBLEM_VISUAL_PRESENT,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|1,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_1,2720c9ebef664969c3b3d690e0c15fb0c62689a2ff48836401f724791f003dff,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
