source,question,field,status,note
archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,1,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,16,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,9,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,20,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/21_제일고_2학기_중간_고1_기출.js,18,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,11,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,10,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,3,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,12,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,23,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,6,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,19,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js,14,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,13,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,14,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,17,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js,14,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js,19,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js,20,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,9,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,15,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,16,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,14,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,18,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,22,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js,14,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,7,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,9,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,16,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,20,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,7,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,9,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,15,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,17,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,10,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,12,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,13,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,15,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,17,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,21,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,22,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,18,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,3,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,7,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,3,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,4,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,8,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,11,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,12,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,16,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,18,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,19,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,21,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,7,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,10,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,14,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,18,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,20,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,7,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,9,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,10,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,14,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,17,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,21,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
archive/exams/original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,13,content|choices|answer|solution,NOT_APPLICABLE_SVG_ONLY,No curriculum/content/answer/solution field was written by this repair.
