examId,sourceJsPath,targetQuestionCount,targetQuestionIds,productionKind
21_강남여고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,1,2,original
21_효천고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/21_효천고_2학기_기말_고1_기출.js,1,4,original
22_강남여고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/22_강남여고_2학기_기말_고1_기출.js,3,6|9|13,original
22_금당고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js,1,15,original
22_복성고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js,2,6|11,original
24_제일고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,7,2|3|4|6|9|19|20,original
25_금당고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,4,4|5|12|13,original
25_순천고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,7,1|2|5|6|11|16|20,original
25_제일고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,6,1|4|5|8|19|22,original
25_팔마고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js,2,12|13,original
25_효천고_2학기_기말_고1_기출,archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js,5,1|6|7|14|21,original
21_강남여고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/21_강남여고_2학기_중간_고1_기출.js,6,6|7|11|15|18|24,original
21_금당고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/21_금당고_2학기_중간_고1_기출.js,8,4|5|8|9|12|18|19|21,original
21_매산고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/21_매산고_2학기_중간_고1_기출.js,6,3|4|6|7|9|19,original
21_복성고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,6,7|8|14|15|20|21,original
21_순천고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,4,5|12|13|14,original
21_제일고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/21_제일고_2학기_중간_고1_기출.js,5,9|10|11|12|21,original
21_팔마고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/21_팔마고_2학기_중간_고1_기출.js,7,4|5|6|11|12|14|20,original
21_효천고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/21_효천고_2학기_중간_고1_기출.js,4,4|12|14|22,original
22_강남여고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/22_강남여고_2학기_중간_고1_기출.js,5,2|8|11|15|18,original
22_금당고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/22_금당고_2학기_중간_고1_기출.js,8,4|5|8|10|14|15|18|19,original
22_매산고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/22_매산고_2학기_중간_고1_기출.js,5,3|4|7|12|13,original
22_복성고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/22_복성고_2학기_중간_고1_기출.js,3,2|11|18,original
22_순천여고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/22_순천여고_2학기_중간_고1_기출.js,6,6|10|12|13|15|21,original
22_제일고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/22_제일고_2학기_중간_고1_기출.js,6,2|4|10|14|21|22,original
22_팔마고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/22_팔마고_2학기_중간_고1_기출.js,6,2|3|8|9|15|21,original
22_효천고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/22_효천고_2학기_중간_고1_기출.js,6,2|5|9|14|15|20,original
23_강남여고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/23_강남여고_2학기_중간_고1_기출.js,8,5|6|11|12|13|17|21|24,original
23_금당고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/23_금당고_2학기_중간_고1_기출.js,6,5|6|10|11|14|20,original
23_매산여고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/23_매산여고_2학기_중간_고1_기출.js,9,6|7|8|9|10|17|19|22|23,original
23_순천여고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/23_순천여고_2학기_중간_고1_기출.js,6,5|7|8|9|15|22,original
23_팔마고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js,6,6|8|12|14|21|22,original
24_금당고_2학기_중간_고1_기출,archive/exams/original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js,3,7|10|13,original
25_금당고_2학기_기말_고1_유사,archive/exams/similar/high/h1/2final/25_금당고_2학기_기말_고1_유사.js,4,4|5|12|13,similar
25_순천고_2학기_기말_고1_유사,archive/exams/similar/high/h1/2final/25_순천고_2학기_기말_고1_유사.js,7,1|2|5|6|11|16|20,similar
25_제일고_2학기_기말_고1_유사,archive/exams/similar/high/h1/2final/25_제일고_2학기_기말_고1_유사.js,6,1|4|5|8|19|22,similar
25_팔마고_2학기_기말_고1_유사,archive/exams/similar/high/h1/2final/25_팔마고_2학기_기말_고1_유사.js,2,12|13,similar
25_효천고_2학기_기말_고1_유사,archive/exams/similar/high/h1/2final/25_효천고_2학기_기말_고1_유사.js,5,1|6|7|14|21,similar
