questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|4,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,4,4,4,2015,수학(상),H15-SA-10,직선의 방정식,10,H15-SA-10-DISTANCE_ANGLE,직선 사이의 거리와 각,rule_inferred,complete_rule,객관식,grid,false,객관식|점과직선사이거리|직선|도형|거리,591d51b88448faf89c305328163377f3ed80ed60b718e852f9864555cd3a14ea,5f9871eff1c73125d4a9af8d569887400adcc5dbcbb5a6acca7c1ae54a20dd38,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,dd8084db89233bd09795d4666d6870ca8ca64aa15edc02bf732f74258b4c1c22,,,assets/images/22_금당고_1학기_기말_고1_기출/q04-solution.svg,866f500bb80dcfa2a92f5e5b9d9fe6cf4c4d8e5280f10f4037cb6b86af574627,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,7a179b44be26db387bdf4306e629c0a5b76fe57984aeda791f4991b3ebe5fd55,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|4,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_4,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|13,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,13,13,13,2015,수학(상),H15-SA-10,직선의 방정식,10,H15-SA-10-DISTANCE_ANGLE,직선 사이의 거리와 각,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|수선의발|거리|직선|도형|수직,8b258006ceb9fff65909948a1d35d69bd2c50a5cea27def99a3e8b192320833b,dbc23ceea58e6ee80cf3a208a3046972a0c824824f8116e69d191a2486f5a9fd,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,dbf620515465e9cc2375ba3db02e09199013b1abfc23d3753c4b4c5a19e75dd5,,,assets/images/22_금당고_1학기_기말_고1_기출/q13-solution.svg,0fa0ddcfd4e59200cf0b9ac165c3dae6b870e1bb502f99177a79442fdea9c543,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,e728b13aa0ff0d49dfd47a6a9a2a2a70f119f0158981fab4a2ae044d60c619b1,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|13,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_13,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|19,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,19,19,19,2015,수학(상),H15-SA-10,직선의 방정식,10,H15-SA-10-DISTANCE_ANGLE,직선 사이의 거리와 각,category_or_cue_inferred,complete_category,단답형,grid,false,단답형|삼각형|내심|직선|도형,d8576de1836d40c8f15888b1e71c16799b4b67c77b14143e735580bd5639ca1e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,89d17b0952a36b59255a68fd4ce55e4e10769929107ca6dbf80e413cfc167e08,a6a5009599ae775415f5789ac6b0756657995ac36371e20917cbb1ce70673bde,,,assets/images/22_금당고_1학기_기말_고1_기출/q19-solution.svg,f687713dee471d218568713c271521de4e59186ed11d822d3dd45b2d3d641313,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,6860cf086f44b49abd19b2d91a7c158ff671440a12e7261b01757275cb2ec50e,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|19,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_19,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,"$\left(\dfrac{23}{15},\dfrac{34}{15}\right)$",IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|20,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,20,20,20,2015,수학(상),H15-SA-10,직선의 방정식,10,H15-SA-10-DISTANCE_ANGLE,직선 사이의 거리와 각,category_or_cue_inferred,complete_category,서술형,grid,true,서술형|각의이등분선|직선|원|접선|도형|그래프|거리|절편,6234a74e141c9f6e0fda6944bbf3ac7fc0956aa62e9d91037b9989cd2a1efc29,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,edede6dfa201743f33b87b4f1da6fe34d85d771c6eb5a7410181a2cfdba7c410,fa45e9d762cc7b2529fc641504e5191d9765d8af3f61f99753c3001657c8c4ce,,,assets/images/22_금당고_1학기_기말_고1_기출/q20-solution.svg,996abaa8af9c70c9c64c688a3bd9f2e49b51798d682b26b9b1e7cc99357ab6ef,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,33b3ce68befc40a7c94c396d6a9a6be108dc0998b27c92912d92cda9d6e7abac,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|20,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_20,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,(1) $x-y-7=0$ 또는 $y=x-7$ / (2) $\left(x+\dfrac{11}{7}\right)^2+\left(y+\dfrac{60}{7}\right)^2=49$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|6,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,6,6,6,2015,수학(상),H15-SA-10,직선의 방정식,10,H15-SA-10-PARALLEL_PERPENDICULAR,두 직선의 평행과 수직,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|직선의 방정식|고1|기말|도형|직선|수직,bbbed326ebcc03a00b849e4a3179392a1b63639428aaa8279579169bf7953374,7d9be3362269168a7d50952dd3fd73cd3d98676260e1d76876bef6755d10d5c5,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,c60043390b666b996ef35f05b7c0ca901942bc37acf184daa1a6932057baeb69,,,assets/images/22_매산고_1학기_기말_고1_기출/q06-solution.svg,8b42909e9004bc4a590a441bb6aaeef09b6c716117387d81b66f7d218d47391c,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,86dcbdad0a8c7b95904bf241a0c6b3034e9c236285ed8f225641b91c23de4c2a,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|6,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_6,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|9,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,9,9,9,2015,수학(상),H15-SA-10,직선의 방정식,10,H15-SA-10-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|직선의 방정식|고1|기말|도형|직선|그래프|평행,8c368298ccc3f05d6610667455d7f98476b8151a7db715d9ba6629137340f889,98a3e61e3c0e8deddccc993a3c1f0698d7b76579cc948dfc554fbd33f80e3a09,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,8937b77ffb7e0ae88a8e4fe0e624d093ef168d34c53446e2823c08b0a79170c6,,,assets/images/22_매산고_1학기_기말_고1_기출/q09-solution.svg,aa1c19379e083ce899b1da00b49a53ea69e7665c223f1f1865b9d5b61cc63a9b,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,e0d414a9f330caf31b42fd1de3a63a69b476cff5e22f76babbfb35ec752574a5,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|9,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_9,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|15,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,15,15,15,2015,수학(상),H15-SA-10,직선의 방정식,10,H15-SA-10-PARALLEL_PERPENDICULAR,두 직선의 평행과 수직,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|직선의 방정식|고1|기말|도형|직선|수직,a802aa457cea9bb962075eede2dcba5e97c312e81fa526719da757ea4e0d2146,835a323f20234c5799105ac359e98aa3ec57d9a491605b47e2bdaa08b1c59b6d,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,30e8d9162d245891dcceece2fc788251b218330bf6ab771d654402e713dc013e,assets/images/22_매산고_1학기_기말_고1_기출/q15.png,1f0ec399ba56ee2c9010b3838f4727d232986f5246bd66853ac9354031a4ec68,assets/images/22_매산고_1학기_기말_고1_기출/q15-solution.svg,f104a1ee138507a979ae6f4ab188a009a7108524b931fb56aba48d76ef371d28,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,a7e20c617ab8606b4d09400a70f02c53e7c2b3eadcae5c97dcd6e3a93613d5db,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|15,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_15,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|3,archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,22_순천여고_1학기_기말_고1_기출,3,3,3,2015,수학(상),H15-SA-10,직선의 방정식,10,H15-SA-10-PARALLEL_PERPENDICULAR,두 직선의 평행과 수직,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|직선의 방정식|고1|1학기기말|도형|직선|평행,1c5f46bfe6966ee262bd4f61a7cc30c8ed63cd8cbe67f05b03ef1ada07ede15b,7e62c1941dcae510f66e790e3317dc47db08756f62b66476d8e6a24d02020c72,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,51310366e267b7618048077dcec1a5bcf52d46292c26d6717cf340adcb70f61d,,,assets/images/22_순천여고_1학기_기말_고1_기출/q03-solution.svg,e58233a10b7288123ce51db841d3d2197593c4946936e5771e9331b5efd976a6,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,9e33a0ebaa97404d2a57e7504de87ce7a26130958c6981c83d6e9aa0120e197d,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|3,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js_3,75ecfd5bd4c09cc853c3b0a6416d8b44883b28224ed38685665517a5e5cc7232,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|6,archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,22_순천여고_1학기_기말_고1_기출,6,6,6,2015,수학(상),H15-SA-10,직선의 방정식,10,H15-SA-10-DISTANCE_ANGLE,직선 사이의 거리와 각,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|직선의 방정식|고1|1학기기말|도형|직선|거리,6689c95258d2dff463b493507739efb056f6699b6ce0cba8fe51530ad30741f1,7e62c1941dcae510f66e790e3317dc47db08756f62b66476d8e6a24d02020c72,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,de513da1b5efb144ecdf46a765ecb15ac709347eb40595afd8c15ae994e4e94e,,,assets/images/22_순천여고_1학기_기말_고1_기출/q06-solution.svg,4f6216d2fadb67b0bee8bd1fd96e4c1468e379e6ea6ea0dead96d9be63afcb79,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,d52f8e9c48b5d27e120b1cc856343a7b7ec35e2183dd94725e28d7c9523880ae,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|6,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js_6,75ecfd5bd4c09cc853c3b0a6416d8b44883b28224ed38685665517a5e5cc7232,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|18,archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,22_순천여고_1학기_기말_고1_기출,18,18,18,2015,수학(상),H15-SA-10,직선의 방정식,10,H15-SA-10-DISTANCE_ANGLE,직선 사이의 거리와 각,category_or_cue_inferred,complete_category,객관식,grid,true,객관식|직선의 방정식|고1|1학기기말|도형|직선|수직|거리,07a61eee6bda7a256eb823e325d52768ed1532bbfecc53d108915d5675bedfb2,e0a2d515b9432b7ce272fe4d09d2234810d327b803650316fda86b74a012a5e6,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,c58791708f51b8a7141b57b4423fc7cbc438e9e32253903feb696fd92c07edf6,assets/images/22_순천여고_1학기_기말_고1_기출/q18.png,21b0e651528ae6ba9fe6ce9b97ee469133d6286f0b1e9286c270470b45ed13e3,assets/images/22_순천여고_1학기_기말_고1_기출/q18-solution.svg,aa7c22b4109234d20bae2f7a0f2c3bd4038f4ca0a6a31356c1b4d0a4ddc09e79,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,0519d0245e8e90adab2c7607aca74eb786f0b1d4bfdfff2f71496f5e85f96548,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|18,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js_18,75ecfd5bd4c09cc853c3b0a6416d8b44883b28224ed38685665517a5e5cc7232,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
