id,displayNo,questionType,pageNo,hasVisualAsset,fullPageImagePath,image,answerStatus,solutionStatus
1,1,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p001.png,,external_agent_required,external_agent_required
2,2,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p001.png,,external_agent_required,external_agent_required
3,3,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p001.png,,external_agent_required,external_agent_required
4,4,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p001.png,,external_agent_required,external_agent_required
5,5,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p001.png,,external_agent_required,external_agent_required
6,6,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p001.png,,external_agent_required,external_agent_required
7,7,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p001.png,,external_agent_required,external_agent_required
8,8,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p001.png,,external_agent_required,external_agent_required
9,9,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p002.png,,external_agent_required,external_agent_required
10,10,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p002.png,,external_agent_required,external_agent_required
11,11,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p002.png,,external_agent_required,external_agent_required
12,12,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p002.png,,external_agent_required,external_agent_required
13,13,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p002.png,,external_agent_required,external_agent_required
14,14,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p002.png,,external_agent_required,external_agent_required
15,15,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p002.png,,external_agent_required,external_agent_required
16,16,,3,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p003.png,,external_agent_required,external_agent_required
17,17,,3,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p003.png,,external_agent_required,external_agent_required
18,18,,3,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p003.png,,external_agent_required,external_agent_required
19,19,,3,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p003.png,,external_agent_required,external_agent_required
20,20,,3,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p003.png,,external_agent_required,external_agent_required
21,21,,4,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p004.png,,external_agent_required,external_agent_required
22,22,,4,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p004.png,,external_agent_required,external_agent_required
23,서술형1,,4,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p004.png,,external_agent_required,external_agent_required
24,서술형2,,4,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p004.png,,external_agent_required,external_agent_required
25,서술형3,,4,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-01-19-geumdang\output\pages\page_p004.png,,external_agent_required,external_agent_required
