questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|18,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,18,18,18,2015,수학(상),H15-SA-05,이차방정식,5,H15-SA-05-QUADRATIC_SOLVING,이차방정식의 풀이,category_or_cue_inferred,complete_category,단답형,grid,false,단답형|이차방정식|근의위치|정수조건,23e7367c40ad31c77f32a8ab8e333dbdd66d6fd7a125e59ea7acc534e949bc51,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,db829f716ef2a33bbc4ad39dd3da6d42e6e40cb0530c59df06dd90d25408e9aa,ac3d8675b8533221e24d28de957f22096ddd9388edcbff983ac2a173c6b9cd23,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|18,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_18,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,$-3$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|7,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,7,7,7,2015,수학(상),H15-SA-05,이차방정식,5,H15-SA-05-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|이차함수|최대최소,382d288bb19484e371276ae874955dfcc0546148c91c2b2ccc74b9cb4065fcef,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,0dff89c4da48e4b64663f24027e7239c858b78932b76618f4a3933441648f90a,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|7,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_7,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|8,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,8,8,8,2015,수학(상),H15-SA-05,이차방정식,5,H15-SA-05-EQUATION_FUNCTION_RELATION,이차방정식과 이차함수의 관계,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|이차함수|교점|판별식,94375897b293abb9df8a3282568b86bbff08e759885320319cc66a427b4b9f1c,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,b1c45994371c838f311737813f5c84b757adb7267d02a26666ef56eb17f80bd6,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_8,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|17,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,17,17,17,2015,수학(상),H15-SA-05,이차방정식,5,H15-SA-05-EQUATION_FUNCTION_RELATION,이차방정식과 이차함수의 관계,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|이차함수|판별식|항등식,7f2234554650a29fb969f8a7000a572eb568ae57a97767e25b2b19d85784356a,d601fd23445f2769d635c0f649aaf6d04b385a7d56c029a78b68ab105d958e27,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,8aa61adc330f0ad00feee2bbb15b60b72c3b4c5a6994f839b052e143253697a2,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|17,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_17,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|21,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,21,21,21,2015,수학(상),H15-SA-05,이차방정식,5,H15-SA-05-QUADRATIC_SOLVING,이차방정식의 풀이,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|이차방정식|근과계수|자연수조건,e596037724b3d0fe192bc1dd2a8830a2704c89fc7af5e8a2cab2e821fdc45e3d,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,bc7a42ec1f42723d6d7386239f7f105b2a1a5b12667f19c2e71d50adcf625090,622b9fcc91a6cb3b48f7912a3dab33175070c2c6c5c50fe257661153f53451fc,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COUNTING_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,SCHEMATIC_OR_REVIEW,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|21,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_21,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,"$a=1,\ b=6,\ c=3$",IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|22,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,22,22,22,2015,수학(상),H15-SA-05,이차방정식,5,H15-SA-05-EQUATION_FUNCTION_RELATION,이차방정식과 이차함수의 관계,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|이차함수|판별식|교점,072706cc374ac933bf88527282f361c4c2bf99bcdf4fa66817254b8d2fb0075c,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,20a4d62db51eaae8560cad2fc7ae9a334117cd2d475f4c41dd288116c9e04da5,835c607ae4fada75ef581fed705b059987b03a0b9eee7ed65a805de8945c0a0c,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|22,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_22,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,(1) $2$ / (2) $h(k)=\begin{cases}2&(k<4)\\1&(k=4)\\0&(k>4)\end{cases}$ / (3) $2$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|11,archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,22_순천여고_1학기_기말_고1_기출,11,11,11,2015,수학(상),H15-SA-05,이차방정식,5,H15-SA-05-EQUATION_FUNCTION_RELATION,이차방정식과 이차함수의 관계,category_or_cue_inferred,complete_category,객관식,grid,true,객관식|이차함수|고1|1학기기말,8e04d5d8b723023e86024221b1ec7b178c8f92daafd5e448fafdd05da52143f5,6b5efcbfd58b6e0cb03350b84707e562c094361124a639b25d484295f3b2024e,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,83845814fb19ba3036620511c3e1e8056a6360405bcac25e0a0a47cbe0b93d5f,assets/images/22_순천여고_1학기_기말_고1_기출/q11.png,bd487805ab118bcbed7aa0e1444277af781b78796bea3b4b6ed5debdac44260c,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|11,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js_11,75ecfd5bd4c09cc853c3b0a6416d8b44883b28224ed38685665517a5e5cc7232,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|21,archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,22_순천여고_1학기_기말_고1_기출,21,21,21,2015,수학(상),H15-SA-05,이차방정식,5,H15-SA-05-EQUATION_FUNCTION_RELATION,이차방정식과 이차함수의 관계,category_or_cue_inferred,complete_category,단답형,grid,false,서술형|이차함수|평행이동|꼭짓점|고1,9acabf706f318906e20aa07f0bb7c53c47b20147962666bcb97c40e7e304d579,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,6c4d79c36f4e618d2ea5a5bbc198e00f926921e1ff2cd1ff6752393602a51ddf,12c934ec5d5eafffd79ad54d0335630a8086acf70ae9291aaecde942376e5b93,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|21,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js_21,75ecfd5bd4c09cc853c3b0a6416d8b44883b28224ed38685665517a5e5cc7232,true,"$a=-3,\ b=1$",IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|22,archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,22_순천여고_1학기_기말_고1_기출,22,22,22,2015,수학(상),H15-SA-05,이차방정식,5,H15-SA-05-INEQUALITY_BASIC,부등식의 풀이,category_or_cue_inferred,complete_category,단답형,grid,false,서술형|이차다항식|부등식|최솟값|고1,9b98f993c43a3cd28acf3a3b1aabe90286df6ac02c7fce1a5718800ab59b1ca3,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,9012a65e74a72e454b3280b24f07b665b011e309b31cb5cd23733a795f59301f,40d1971084d82292990edcf26c06f23d1cc30607bcbceb8f6cb4cc6f19da706f,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|22,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js_22,75ecfd5bd4c09cc853c3b0a6416d8b44883b28224ed38685665517a5e5cc7232,true,$11$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js|22_효천고_1학기_기말_고1_기출|9,archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js,22_효천고_1학기_기말_고1_기출,9,9,9,2015,수학(상),H15-SA-05,이차방정식,5,H15-SA-05-EQUATION_FUNCTION_RELATION,이차방정식과 이차함수의 관계,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|이차함수|최대최소,e08b5c60c9d77313c1e12e8c4b67bdb0ea8881053f368a9fa334256ef9b823a6,47033b69ef3e934a32371dd68d992e91d31084183390a83867b7c2877c798cbd,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,52e93bca7626149ae61089962995f93f9cc4e9747727b65001c34f6b9b238110,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js|22_효천고_1학기_기말_고1_기출|9,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js_9,1a5b076b33ec714ab8a8ad40427d24dd700021e9b3aa019bfb56c29e3650434a,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
