questionUid,field,assetPath,assetSha256,naturalSize,visualRequirement
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|13,image,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q13.png,cf68f7a964f39b9481034d6c2a76680797d1d9458b8b0047de9e2e990b812a1c,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|13,solutionImage,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q13-solution.svg,cf7d4a353a10eb1fb5556d1aa6d3b30c4783bb4f90263c1c340692644afae2e4,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|27,image,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q27.png,e26635fdcc549920de3eef8e0c4d542627da6d5343748c40c842b8f3a5aa2781,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|27,solutionImage,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q27-solution.svg,2feea57661c5dd0bfe28729e8159a99a418059b09d75e6471755ffeb85cb160e,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|29,solutionImage,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q29-solution.svg,3ca33169a9c6f6ad1de223397b1d9fa96b40d272fd618812cde76e1236bae114,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|4,solutionImage,archive/assets/images/21_금당고_2학기_기말_고1_기출/q04-solution.svg,5d09248f5aa79b921efebe904714110918eafa08366d1e7996bbd580830dafc9,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|18,image,archive/assets/images/21_금당고_2학기_기말_고1_기출/q18.png,b47156d5956550e57bc6050bcea3a7d5182babcf128e1ae83c48a58b8b6b8c62,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|4,solutionImage,archive/assets/images/21_복성고_2학기_기말_고1_기출/q04-solution.svg,771e9bdc13f3215b7b8f984762a12f0270d36dd7b994870cee24201ddf41214d,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|11,solutionImage,archive/assets/images/21_복성고_2학기_기말_고1_기출/q11-solution.svg,2f6b4fdb75547775cd8e04326c85bf49a042c65f2a9869d2a88674a112bd2b44,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|12,solutionImage,archive/assets/images/21_복성고_2학기_기말_고1_기출/q12-solution.svg,721fd185b7d8507748197a2c364bfe7713458ed4e10946bbdd31e0116f095cd3,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|22,solutionImage,archive/assets/images/21_복성고_2학기_기말_고1_기출/q22-solution.svg,4ffd9948a460cec54beb4468afb28a7e6f299914a5bf2d56f401d59beea1dddb,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js|21_순천고_2학기_기말_고1_기출|8,solutionImage,archive/assets/images/21_순천고_2학기_기말_고1_기출/q08-solution.svg,3603e35f8f2ddfcf6fbd6683eaa85d0a3a985bd703bfde1aba1044b4f5f16ee6,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js|21_순천고_2학기_기말_고1_기출|9,solutionImage,archive/assets/images/21_순천고_2학기_기말_고1_기출/q09-solution.svg,ad89d733acb07530bb0912100e1781254b9e19d93d78c4ca0d87a4b755d18ac4,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js|21_순천고_2학기_기말_고1_기출|10,image,archive/assets/images/21_순천고_2학기_기말_고1_기출/q10.png,1f771c251657a3beb9d213413a45cdb71318f4a9981e22ffc15aeea392a90134,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js|21_순천고_2학기_기말_고1_기출|10,solutionImage,archive/assets/images/21_순천고_2학기_기말_고1_기출/q10-solution.svg,4cd31d990b6b7bf5f3a7a4bbe7e280e5c30ea712d2410dda94a9ea9b476a41cb,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js|21_순천고_2학기_기말_고1_기출|11,solutionImage,archive/assets/images/21_순천고_2학기_기말_고1_기출/q11-solution.svg,0fa3da7fc42d2725ad00ec432f46633784de7b1550a49be4cfed8ff1954b854b,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js|21_제일고_2학기_기말_고1_기출|5,solutionImage,archive/assets/images/21_제일고_2학기_기말_고1_기출/q05-solution.svg,c2f8ab491d8d5cd39539568755bb74797ea4aeefa8590b937a9daba88771eb63,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js|21_제일고_2학기_기말_고1_기출|7,image,archive/assets/images/21_제일고_2학기_기말_고1_기출/q7.png,475f8c1c512623edd065a37f53260f4e15f363442d72b933d93685944304bd58,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/21_팔마고_2학기_기말_고1_기출.js|21_팔마고_2학기_기말_고1_기출|4,solutionImage,archive/assets/images/21_팔마고_2학기_기말_고1_기출/q04-solution.svg,75bf46c920e55fc46926abc892b1f4b293190e7157e90554511668eeb3fc34af,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_팔마고_2학기_기말_고1_기출.js|21_팔마고_2학기_기말_고1_기출|14,image,archive/assets/images/21_팔마고_2학기_기말_고1_기출/q14.png,927e6e64386801d6f20f6b905b1fe0511cdb9c9f31a94ea2be1b4895edd00ed6,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/21_팔마고_2학기_기말_고1_기출.js|21_팔마고_2학기_기말_고1_기출|20,solutionImage,archive/assets/images/21_팔마고_2학기_기말_고1_기출/q20-solution.svg,17e1c80292e7040d4e603a54215bfeda720f0e26ce2da0b374b8cc59cf976066,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_효천고_2학기_기말_고1_기출.js|21_효천고_2학기_기말_고1_기출|12,solutionImage,archive/assets/images/21_효천고_2학기_기말_고1_기출/q12-solution.svg,258575a9523ba10455d3d72edb4e7c74241c40a2aea17bec7c644c1c30b509d5,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_강남여고_2학기_기말_고1_기출.js|22_강남여고_2학기_기말_고1_기출|11,solutionImage,archive/assets/images/22_강남여고_2학기_기말_고1_기출/q11-solution.svg,1845aa689ddbe86dfda1b462936faa0555c5541696d09f2c05d779847d7a6bed,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_강남여고_2학기_기말_고1_기출.js|22_강남여고_2학기_기말_고1_기출|18,image,archive/assets/images/22_강남여고_2학기_기말_고1_기출/q18.png,0f9e253a6c8cb32862e0e0f9a171eda138c0f15977bf54b69512e7d3a70441f2,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_강남여고_2학기_기말_고1_기출.js|22_강남여고_2학기_기말_고1_기출|18,solutionImage,archive/assets/images/22_강남여고_2학기_기말_고1_기출/q18-solution.svg,377c1e54da9de337d185081925ef37f8f472d11fee838598f2b14d986ba07860,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_강남여고_2학기_기말_고1_기출.js|22_강남여고_2학기_기말_고1_기출|22,solutionImage,archive/assets/images/22_강남여고_2학기_기말_고1_기출/q22-solution.svg,5dc385414d2435b60959c47ca4ee32d0e68a50011ede479a031f070b5d7f00b4,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js|22_금당고_2학기_기말_고1_기출|8,solutionImage,archive/assets/images/22_금당고_2학기_기말_고1_기출/q08-solution.svg,be3dbdc88088c09ef2b88173ed5988b3551e75ba7f1263c416c54aac47b87c5e,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js|22_금당고_2학기_기말_고1_기출|17,solutionImage,archive/assets/images/22_금당고_2학기_기말_고1_기출/q17-solution.svg,ccd321967a8471a320a4d850cdf1a059522c15f48b90944355c0c5cedb5bab24,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js|22_매산고_2학기_기말_고1_기출|3,solutionImage,archive/assets/images/22_매산고_2학기_기말_고1_기출/q03-solution.svg,c0be533ad14e4524e815122506b765e51b870af93412543dc8d6ab20c84f26b8,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js|22_매산고_2학기_기말_고1_기출|7,solutionImage,archive/assets/images/22_매산고_2학기_기말_고1_기출/q07-solution.svg,94dcf54f5b012d1eb6555bc3b16a46aa03f80dec1946f9614f980a3b7b7155c5,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js|22_복성고_2학기_기말_고1_기출|7,solutionImage,archive/assets/images/22_복성고_2학기_기말_고1_기출/q07-solution.svg,b9f8b75c5215e287db026e4627ee5e1d28ea70b919681f30f633457bfdebfda9,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js|22_복성고_2학기_기말_고1_기출|13,image,archive/assets/images/22_복성고_2학기_기말_고1_기출/q13.png,c2191be35f2dbfc29ca8a31a9fa9d8ea8622210df75586f1e2176bef6cf27219,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js|22_순천여고_2학기_기말_고1_기출|12,image,archive/assets/images/22_순천여고_2학기_기말_고1_기출/q12.png,71a275276d1c7169485d60e6124867713e5b78508689c14748723fa3e44c0f19,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js|22_순천여고_2학기_기말_고1_기출|14,solutionImage,archive/assets/images/22_순천여고_2학기_기말_고1_기출/q14-solution.svg,2beaada64a69b07df9dd7a4c1bbddc645afc72f734b40f5f7b4841dbf3ae912f,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js|22_순천여고_2학기_기말_고1_기출|17,image,archive/assets/images/22_순천여고_2학기_기말_고1_기출/q17.png,ac06bf5194d610a97b58a5f3d8805037ccc14fa910526ee3b7f2436bbcb39cab,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js|22_순천여고_2학기_기말_고1_기출|17,solutionImage,archive/assets/images/22_순천여고_2학기_기말_고1_기출/q17-solution.svg,ab25646c11110c527c74ea692c19b7a95b5d0ac09fd39f2da6e83b2c1987e543,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js|22_순천여고_2학기_기말_고1_기출|21,solutionImage,archive/assets/images/22_순천여고_2학기_기말_고1_기출/q21-solution.svg,cd04e88068f13023536e4b883193e63e429065758544e799f268d8dbc619383d,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js|22_제일고_2학기_기말_고1_기출|9,solutionImage,archive/assets/images/22_제일고_2학기_기말_고1_기출/q09-solution.svg,236b18f417d79fa88ba3f95f5b64f79ec9e8fe0c312194e020fd9700e6275bf2,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js|22_제일고_2학기_기말_고1_기출|22,solutionImage,archive/assets/images/22_제일고_2학기_기말_고1_기출/q22-solution.svg,1568f5f712dfb7b2198382b0bd2b0f697b829fda59d71e46ef55444ebc275186,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js|22_팔마고_2학기_기말_고1_기출|12,solutionImage,archive/assets/images/22_팔마고_2학기_기말_고1_기출/q12-solution.svg,a937f4e26255b57a50e3a9c36bb598bd088f97e00accdfe8ca994ccf33aa3c19,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js|22_팔마고_2학기_기말_고1_기출|16,solutionImage,archive/assets/images/22_팔마고_2학기_기말_고1_기출/q16-solution.svg,d925944c4462cefa1c19dc672358a9d64aacee9083ba014456b12d035af2e52a,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js|22_효천고_2학기_기말_고1_기출|5,solutionImage,archive/assets/images/22_효천고_2학기_기말_고1_기출/q05-solution.svg,d68487dca4bc532a49c0b13e3d424ee24247b367da2fa7db5922fe103225610f,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js|22_효천고_2학기_기말_고1_기출|16,solutionImage,archive/assets/images/22_효천고_2학기_기말_고1_기출/q16-solution.svg,af45d561f2d651e69a9e73af64ccc7c08a5bd415d4c9145dc482a1748f5b24b6,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js|22_효천고_2학기_기말_고1_기출|18,solutionImage,archive/assets/images/22_효천고_2학기_기말_고1_기출/q18-solution.svg,56e2cba1b63d9c62391cd85ab28960fac2f796080791d08c507ca554944c67d9,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js|23_강남여고_2학기_기말_고1_기출|6,solutionImage,archive/assets/images/23_강남여고_2학기_기말_고1_기출/q06-solution.svg,c0b97337071a066f3f36f32404bd7f2becc6055b144bee1d9e1eee2cf76c314c,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js|23_강남여고_2학기_기말_고1_기출|19,solutionImage,archive/assets/images/23_강남여고_2학기_기말_고1_기출/q19-solution.svg,0710f69b5e0ae940b7ad2ef4c98ac24ddec4d3171987d082c400f92e0c969b82,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js|23_강남여고_2학기_기말_고1_기출|22,image,archive/assets/images/23_강남여고_2학기_기말_고1_기출/q22.png,56e90d19e4f0f1ad69cd259027a91dc56aeaa057fba412872b3bcec252bf4ae5,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js|23_강남여고_2학기_기말_고1_기출|22,solutionImage,archive/assets/images/23_강남여고_2학기_기말_고1_기출/q22-solution.svg,df151c1eb8ab1b12cc02e254286d683876aa7fcac419d079175384fd131db3ec,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js|23_강남여고_2학기_기말_고1_기출|24,solutionImage,archive/assets/images/23_강남여고_2학기_기말_고1_기출/q24-solution.svg,6e1d585a20fea29d9979915bb803a4fd60b02b6decc49e999a1fa617fde37166,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js|23_금당고_2학기_기말_고1_기출|20,solutionImage,archive/assets/images/23_금당고_2학기_기말_고1_기출/q20-solution.svg,a7652209433096d65015774cc47f47d47547a8f1262e371169e2b53c31ea4ee8,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js|23_매산여고_2학기_기말_고1_기출|9,solutionImage,archive/assets/images/23_매산여고_2학기_기말_고1_기출/q09-solution.svg,6accd39a43031a442228bc62b375e70a0633d62493b2443f7cda248a78372550,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js|23_매산여고_2학기_기말_고1_기출|22,solutionImage,archive/assets/images/23_매산여고_2학기_기말_고1_기출/q22-solution.svg,5569f35387cd6bc9058de33c079ff69ab41bc7a26b528b38d5a5689354dc760d,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/24_강남여고_2학기_기말_고1_기출.js|24_강남여고_2학기_기말_고1_기출|6,solutionImage,archive/assets/images/24_강남여고_2학기_기말_고1_기출/q06-solution.svg,e67dd64a79d3e14bef29dfe908a463f89e9eded77a0ee76f5aa70e9dfc06dda4,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/24_강남여고_2학기_기말_고1_기출.js|24_강남여고_2학기_기말_고1_기출|16,image,archive/assets/images/24_강남여고_2학기_기말_고1_기출/q16.png,b2823947db1f54a4ac6b7a06087754fbe6942ab3e51c7fc19bfe4fdd6d819b7b,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/24_강남여고_2학기_기말_고1_기출.js|24_강남여고_2학기_기말_고1_기출|24,image,archive/assets/images/24_강남여고_2학기_기말_고1_기출/q24.png,5b681a1c1eec07c7f25e91c535c5a71429aa6e62be50e44f336ac8e2a45e1a5a,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/24_금당고_2학기_기말_고1_기출.js|24_금당고_2학기_기말_고1_기출|5,solutionImage,archive/assets/images/24_금당고_2학기_기말_고1_기출/q05-solution.svg,750f0d027376a7c4ee3266726ea6b1412b5bf09035dfe9021a3c50881d83bed6,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/24_금당고_2학기_기말_고1_기출.js|24_금당고_2학기_기말_고1_기출|10,solutionImage,archive/assets/images/24_금당고_2학기_기말_고1_기출/q10-solution.svg,89bd9cee504c04b9e5c576cfbfd2b93873acd571d81c5132204aa6137d4de2b8,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/24_금당고_2학기_기말_고1_기출.js|24_금당고_2학기_기말_고1_기출|11,solutionImage,archive/assets/images/24_금당고_2학기_기말_고1_기출/q11-solution.svg,d25937eb1d34b51d205d55b4ad40cc33e5633efe35011adf46c79bbe5e7c4dc8,[object Object],VISUAL_REQUIRED_SATISFIED
