id,displayNo,questionType,pageNo,hasVisualAsset,fullPageImagePath,image,answerStatus,solutionStatus
1,1,객관식,1,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p001.png,,external_agent_required,external_agent_required
2,2,객관식,1,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p001.png,,external_agent_required,external_agent_required
3,3,객관식,1,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p001.png,,external_agent_required,external_agent_required
4,4,객관식,1,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p001.png,,external_agent_required,external_agent_required
5,5,객관식,2,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p002.png,,external_agent_required,external_agent_required
6,6,객관식,2,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p002.png,,external_agent_required,external_agent_required
7,7,객관식,2,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p002.png,,external_agent_required,external_agent_required
8,8,객관식,2,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p002.png,,external_agent_required,external_agent_required
9,9,객관식,3,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p003.png,,external_agent_required,external_agent_required
10,10,객관식,3,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p003.png,,external_agent_required,external_agent_required
11,11,객관식,3,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p003.png,,external_agent_required,external_agent_required
12,12,객관식,3,True,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p003.png,assets/images/20_매산고_2학기_기말_고1_기출/q012_visual.png,external_agent_required,external_agent_required
13,13,객관식,4,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p004.png,,external_agent_required,external_agent_required
14,14,객관식,4,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p004.png,,external_agent_required,external_agent_required
15,15,객관식,4,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p004.png,,external_agent_required,external_agent_required
16,단답형1,단답형,5,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p005.png,,external_agent_required,external_agent_required
17,단답형2,단답형,5,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p005.png,,external_agent_required,external_agent_required
18,단답형3,단답형,5,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p005.png,,external_agent_required,external_agent_required
19,서술형1,서술형,6,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p006.png,,external_agent_required,external_agent_required
20,서술형2,서술형,6,False,C:\Users\USER\Desktop\AP-------gold2-job-a\archive\_generated\past-exams\past-exam-v3-gold2-20260910-job-a-maesan-2020\pages\page_p006.png,,external_agent_required,external_agent_required
