questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|6,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,6,6,6,2022,공통수학2,H22-C2-07,함수,7,H22-C2-07-FUNCTION_BASIC,함수의 뜻과 그래프,rule_inferred,complete_rule,객관식,grid,false,객관식|함수|정의역|공역|치역|역함수|도형,c2adec810957416ae9abc566b6141387765c4dc0b4849e5bbb341d3a8e372879,60fb448331c87c903a49374a6ebf57a2c43fe769a5dbbf1d3fa68f72ea312001,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,76e1fd8c882262971632659293d9db009958e456da13c25560721cafe7470b01,assets/images/25_금당고_2학기_기말_고1_기출/q06.png,d39a7dd01f2c5b3fbd5d0445f98c0a0a228425f6d9cd00b0362b6b75b609a657,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,GRAPH_CANDIDATE,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|6,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_6,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|7,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,7,7,7,2022,공통수학2,H22-C2-07,함수,7,H22-C2-07-FUNCTION_COMPOSITION,합성함수,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|함수|합성함수,5235ed5855689b94b8f3bf9ad2bbaca4077a51ac53042363357b1a11bd16c78e,bc316c6f78c0e25f441d7dc3d39adc3343930c57e96dcc1497f3a416ffa75b8b,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,58986cfa0038266434ddc6f5e3223167059da1c3f1f7323d73398895b8c938b8,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|7,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_7,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|8,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,8,8,8,2022,공통수학2,H22-C2-07,함수,7,H22-C2-07-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|함수|역함수|일차함수,85d8b6ca27c5410cab213e60d68cef30cb914d0dda5fa3f14b438809ba898cbf,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,d54bd384483192f9733a20ddea8b8d19ef6ed2d53b4d736b294f0da5ddb669a6,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_8,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|14,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,14,14,14,2022,공통수학2,H22-C2-07,함수,7,H22-C2-07-FUNCTION_COMPOSITION,합성함수,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|함수|합성함수|반복합성|나머지,bca12fde6d4328cecf3cfb347850137b7923d7d1934c87ed198cfff0bbf77329,d601fd23445f2769d635c0f649aaf6d04b385a7d56c029a78b68ab105d958e27,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,10c4d18dc02a735113dccad53e112e9690c03391662d5d705d0fb1725c2338c1,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,SET_OR_LOGIC_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,SCHEMATIC_OR_REVIEW,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|14,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_14,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|15,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,15,15,15,2022,공통수학2,H22-C2-07,함수,7,H22-C2-07-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|함수|역함수|그래프|교점,bc9b3eaffe0167327e7c5cd6e87394abb90895cd463a1c6dd941017305501f39,4278fabffe34cdc457a01eab1fc166d817a2f85518ea291ee698655fa3f97f67,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,9c83ae8a84a788d227e7269c724f53be0ce3e134e822072a4a52c6ee669b0190,,,assets/images/25_금당고_2학기_기말_고1_기출/q15-solution.svg,3a881f4f0bf3887602b8cc21a095bbc0adfd08c6228e88af73429a9dfb7cf4da,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,6765a1047584fae0cccb470a35ab8c947bf9e767e081394bd48a465da3df8035,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|15,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_15,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|19,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,19,19,19,2022,공통수학2,H22-C2-07,함수,7,H22-C2-07-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|함수|상수함수|치역|절댓값|이차함수|근의개수,3c4b8580d9318be0cc3b1213bbbc2f421df6328631ee1559413cf7d81286ed38,fc3dba98889cccd1a96f32fb71f7812a2d3b9dde603c59a1f87b932df48e085f,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,7f999653aa2502a56071c36e812bd345a6aedfec930e590e26cc32dc6af98182,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|SET_OR_LOGIC_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|19,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_19,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|20,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,20,20,20,2022,공통수학2,H22-C2-07,함수,7,H22-C2-07-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|함수|역함수|일대일대응|조각함수|최솟값,1c1c39a2006b60f321d2968a04598caf98f5044be9287cadd7a83310f4569761,474edc31f4f2e7230a4eb02b303d977a121cf88a73a2b83f28756af79a478869,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,b2e7247e7298ab26a7a9e10a9e1d7eef720425a19117885300c302a54a8a1668,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|SET_OR_LOGIC_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|20,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_20,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|4,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,4,4,4,2022,공통수학2,H22-C2-07,함수,7,H22-C2-07-FUNCTION_COMPOSITION,합성함수,category_or_cue_inferred,complete_category,객관식,grid,false,도형,7d69baf20fcabbdfd58c5ddaa5b7ff639a336ae00e961086b00651e7f3577f8f,48a6a42247cc221568b17352f8cec2c68c50aa0d46a3d19717a8f46e44cdcf17,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,7fc273d3bbdadbb343cab3b2b96a27840d777430c503fccfd08886838b064a07,assets/images/25_순천고_2학기_기말_고1_기출/q4.png,30a3cd4d6c2d4a03ee7559425e32fda7b9ae4f6f2e24942fbd7d912cfb4ca7e1,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,VISUAL_CANDIDATE,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|4,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_4,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|8,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,8,8,8,2022,공통수학2,H22-C2-07,함수,7,H22-C2-07-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,,191025fd60034eb7573bbe3ae2b397b9dbd9cd526baf81695478247314c3fb34,48a6a42247cc221568b17352f8cec2c68c50aa0d46a3d19717a8f46e44cdcf17,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,1e6a4fddaa30960f97a799c4aa594a2f8d16c2c19eef66f79b3a315435e87728,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|SET_OR_LOGIC_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_8,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|9,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,9,9,9,2022,공통수학2,H22-C2-07,함수,7,H22-C2-07-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,,58af8cfd8eb48af9e532b97c05dea12cc6d591cf1a60f3319a7c14d9088adc20,fc3dba98889cccd1a96f32fb71f7812a2d3b9dde603c59a1f87b932df48e085f,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,51a2750b12a78a94b70364811eb2dbdee9483746196fb154e0e7220bb77c6449,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|SET_OR_LOGIC_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|9,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_9,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
