questionUid,sourceJsPath,examId,id,standardCourse,standardUnitKey,standardUnit,subUnitKey,subUnit,questionType,problemImageRef,problemImageStatus,solutionImageRef,solutionImageStatus,inlineSolutionSvgCount,sourceFileBytes,sourceFileSha256,protectedHash,solutionHash,visualRequirementSignal,visualDecision,visualAction,visualReasons,expectedFactStatus,observedFactStatus,parityStatus,renderStatus,sourceReviewStatus,solutionFreezeStatus,currentStatus
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|15,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,15,수학(상),H15-SA-08,여러 가지 부등식,H15-SA-08-INEQUALITY_BASIC,부등식의 풀이,객관식,,ABSENT,,ABSENT,0,46596,c9654c9120cc22a3373ad839ab3400da6d25587b1a02dfc3738a4fc74944b63f,b0248d3942629a7299eff657bbad4367de1bb16d731d2d1004cd52640fa553ee,0325182395d0243ee82a75e94a4ee4a199aa170d5af935cfcaad68ab6d3074b6,VISUAL_REQUIRED,ADD_NEW_VISUAL,ADD,NUMBER_LINE_OR_INEQUALITY_STRUCTURE|CASE_OR_BOUNDARY_STRUCTURE,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,NOT_REVIEWED,NOT_STARTED,CANDIDATE_SCOPE_ONLY
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|17,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,17,수학(상),H15-SA-08,여러 가지 부등식,H15-SA-08-ABSOLUTE_INEQUALITY,절댓값 부등식,객관식,,ABSENT,,ABSENT,0,46596,c9654c9120cc22a3373ad839ab3400da6d25587b1a02dfc3738a4fc74944b63f,f92ddcae730c9743f4ca16004c18da07b5143bed4a01d057e11bde5f52691693,a34babcd7cb6fdb3a284350384edcc18752753a6e372a1b1942eeeb49f7261aa,VISUAL_REQUIRED,ADD_NEW_VISUAL,ADD,GRAPH_OR_FUNCTION_STRUCTURE|NUMBER_LINE_OR_INEQUALITY_STRUCTURE,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,NOT_REVIEWED,NOT_STARTED,CANDIDATE_SCOPE_ONLY
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|18,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,18,수학(상),H15-SA-05,이차방정식,H15-SA-05-QUADRATIC_SOLVING,이차방정식의 풀이,단답형,,ABSENT,,ABSENT,0,46596,c9654c9120cc22a3373ad839ab3400da6d25587b1a02dfc3738a4fc74944b63f,f1dbb53e348e6b6da5728b6f98ac2184a3c2d2c97b40f80bee82b87882d2a4be,ac3d8675b8533221e24d28de957f22096ddd9388edcbff983ac2a173c6b9cd23,VISUAL_REQUIRED,ADD_NEW_VISUAL,ADD,GRAPH_OR_FUNCTION_STRUCTURE|NUMBER_LINE_OR_INEQUALITY_STRUCTURE,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,NOT_REVIEWED,NOT_STARTED,CANDIDATE_SCOPE_ONLY
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|2,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,2,수학(상),H15-SA-08,여러 가지 부등식,H15-SA-08-INEQUALITY_APPLICATION,부등식의 활용,객관식,,ABSENT,,ABSENT,0,46596,c9654c9120cc22a3373ad839ab3400da6d25587b1a02dfc3738a4fc74944b63f,f51b5d4f30ae8cca247bc2430316ceab56b21a1fb14e33dfa42a72f8ab407267,d8003fc49329ea2104636e43b60adcf28b97b47bccfd466e8fb06f7d49a59c33,VISUAL_REQUIRED,ADD_NEW_VISUAL,ADD,NUMBER_LINE_OR_INEQUALITY_STRUCTURE|CASE_OR_BOUNDARY_STRUCTURE,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,NOT_REVIEWED,NOT_STARTED,CANDIDATE_SCOPE_ONLY
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|1,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,1,수학(상),H15-SA-08,여러 가지 부등식,H15-SA-08-EQUATION_BASIC,방정식의 풀이,객관식,,ABSENT,,ABSENT,0,45862,8fb09f660fdc078969ca076afd3e55fee07d35f857d10486be49271b33766205,a02a479794e999889de9cc0bd41a0f304b261b7c262f5ce1c049196e92222ac6,f252b73620ebe839139ad432d2b9bdac17438b404857b3ec9462087797529b14,VISUAL_REQUIRED,ADD_NEW_VISUAL,ADD,GRAPH_OR_FUNCTION_STRUCTURE|NUMBER_LINE_OR_INEQUALITY_STRUCTURE,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,NOT_REVIEWED,NOT_STARTED,CANDIDATE_SCOPE_ONLY
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|11,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,11,수학(상),H15-SA-08,여러 가지 부등식,H15-SA-08-QUADRATIC_INEQUALITY,이차부등식,객관식,,ABSENT,,ABSENT,0,45862,8fb09f660fdc078969ca076afd3e55fee07d35f857d10486be49271b33766205,7431391e8077506c419b0a18da2e93cd80f8b4ca10a310220f632316a4f9306d,4fd0c0f40d2610d3813ea370d88fce2c9079a18e3890afdbb66279f82e8315cb,VISUAL_REQUIRED,ADD_NEW_VISUAL,ADD,GRAPH_OR_FUNCTION_STRUCTURE|NUMBER_LINE_OR_INEQUALITY_STRUCTURE,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,NOT_REVIEWED,NOT_STARTED,CANDIDATE_SCOPE_ONLY
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|16,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,16,수학(상),H15-SA-08,여러 가지 부등식,H15-SA-08-SYSTEM_INEQUALITY,연립부등식,단답형,,ABSENT,,ABSENT,0,45862,8fb09f660fdc078969ca076afd3e55fee07d35f857d10486be49271b33766205,f16682417eabbcafc906cc3722ed4fe9f0fdb9f339eec8e468770f155468aa00,8f6ff2c7d12f832b2e51c373ba597dd09eed19e8922692653d7d0a51b8692243,VISUAL_REQUIRED,ADD_NEW_VISUAL,ADD,NUMBER_LINE_OR_INEQUALITY_STRUCTURE|CASE_OR_BOUNDARY_STRUCTURE,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,NOT_REVIEWED,NOT_STARTED,CANDIDATE_SCOPE_ONLY
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|3,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,3,수학(상),H15-SA-08,여러 가지 부등식,H15-SA-08-INEQUALITY_BASIC,부등식의 풀이,객관식,,ABSENT,,ABSENT,0,45862,8fb09f660fdc078969ca076afd3e55fee07d35f857d10486be49271b33766205,0af918f5afc049367535b4b8bf45b16d3b2f3097c23959fb53117a25fd3706f2,5b6e059643021c7fc3a77a0116b025a554abfe2080c1eeac54fdb9e2b10e64f5,VISUAL_REQUIRED,ADD_NEW_VISUAL,ADD,NUMBER_LINE_OR_INEQUALITY_STRUCTURE,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,NOT_REVIEWED,NOT_STARTED,CANDIDATE_SCOPE_ONLY
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|10,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,10,수학(상),H15-SA-08,여러 가지 부등식,H15-SA-08-ABSOLUTE_INEQUALITY,절댓값 부등식,객관식,,ABSENT,,ABSENT,0,43529,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,17daadccf9bcc8de99246d70499b671705cbc351cae9b4be7d90c9fbb4a32d06,9dfa32ba8cbe36f60785ad7af075f36ec7017b48acd7280fd4f4fe25a2287ab0,VISUAL_REQUIRED,ADD_NEW_VISUAL,ADD,NUMBER_LINE_OR_INEQUALITY_STRUCTURE,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,NOT_REVIEWED,NOT_STARTED,CANDIDATE_SCOPE_ONLY
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|13,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,13,수학(상),H15-SA-08,여러 가지 부등식,H15-SA-08-ABSOLUTE_INEQUALITY,절댓값 부등식,객관식,,ABSENT,,ABSENT,0,43529,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,58503e2a4192a73b16cc010d2113dde5d66428e04426011d220caae7f12032a8,44fda1ce5e4c92e6540ff22ca132e80e65b5ed1dcbbceb4133df0dfb7fdfa554,VISUAL_REQUIRED,ADD_NEW_VISUAL,ADD,GRAPH_OR_FUNCTION_STRUCTURE|NUMBER_LINE_OR_INEQUALITY_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,NOT_REVIEWED,NOT_STARTED,CANDIDATE_SCOPE_ONLY
