curriculum,level,scope,L1_major,L2_mid,primary_source,L1_status,L2_status
2015,middle,M1-1,소인수분해,소인수분해,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-1,소인수분해,최대공약수와 최소공배수,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-1,정수와 유리수,정수와 유리수,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-1,정수와 유리수,정수와 유리수의 계산,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-1,문자와 식,문자의 사용과 식의 계산,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-1,문자와 식,일차방정식의 풀이,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-1,문자와 식,일차방정식의 활용,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-1,좌표평면과 그래프,좌표와 그래프,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-1,좌표평면과 그래프,정비례와 반비례,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-2,기본 도형,기본 도형,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-2,기본 도형,위치 관계,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-2,기본 도형,작도와 합동,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-2,평면도형,다각형,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-2,평면도형,원과 부채꼴,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-2,입체도형,다면체와 회전체,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-2,입체도형,입체도형의 겉넓이와 부피,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M1-2,통계,자료의 정리와 해석,RPM_M1_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-1,유리수와 순환소수,유리수와 순환소수,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-1,식의 계산,단항식의 계산,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-1,식의 계산,다항식의 계산,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-1,일차부등식과 연립일차방정식,일차부등식,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-1,일차부등식과 연립일차방정식,일차부등식의 활용,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-1,일차부등식과 연립일차방정식,연립일차방정식,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-1,일차부등식과 연립일차방정식,연립일차방정식의 활용,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-1,일차함수,일차함수와 그 그래프,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-1,일차함수,일차함수와 일차방정식의 관계,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-2,삼각형의 성질,이등변삼각형,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-2,삼각형의 성질,삼각형의 외심과 내심,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-2,사각형의 성질,평행사변형,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-2,사각형의 성질,여러 가지 사각형,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-2,도형의 닮음과 피타고라스 정리,도형의 닮음,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-2,도형의 닮음과 피타고라스 정리,평행선과 선분의 길이의 비,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-2,도형의 닮음과 피타고라스 정리,삼각형의 무게중심,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-2,도형의 닮음과 피타고라스 정리,피타고라스 정리,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-2,확률,경우의 수,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M2-2,확률,확률,RPM_M2_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-1,실수와 그 연산,제곱근과 실수,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-1,실수와 그 연산,근호를 포함한 식의 계산,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-1,다항식의 곱셈과 인수분해,다항식의 곱셈,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-1,다항식의 곱셈과 인수분해,인수분해,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-1,이차방정식,이차방정식의 풀이,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-1,이차방정식,이차방정식의 활용,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-1,이차함수,이차함수와 그 그래프,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-1,이차함수,이차함수 y=ax²+bx+c의 그래프,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-2,삼각비,삼각비,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-2,삼각비,삼각비의 활용,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-2,원의 성질,원과 직선,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-2,원의 성질,원주각,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-2,통계,대푯값과 산포도,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2015,middle,M3-2,통계,상관관계,RPM_M3_2015,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-1,소인수분해,소인수분해,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-1,소인수분해,최대공약수와 최소공배수,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-1,정수와 유리수,정수와 유리수,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-1,정수와 유리수,정수와 유리수의 계산,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-1,문자와 식,문자의 사용과 식의 계산,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-1,문자와 식,일차방정식의 풀이,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-1,문자와 식,일차방정식의 활용,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-1,좌표평면과 그래프,좌표와 그래프,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-1,좌표평면과 그래프,정비례와 반비례,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-2,기본 도형,기본 도형,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-2,기본 도형,위치 관계,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-2,기본 도형,작도와 합동,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-2,평면도형,다각형,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-2,평면도형,원과 부채꼴,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-2,입체도형,다면체와 회전체,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-2,입체도형,입체도형의 겉넓이와 부피,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-2,통계,대푯값,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M1-2,통계,도수분포표와 상대도수,RPM_M1_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-1,유리수와 순환소수,유리수와 순환소수,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-1,식의 계산,단항식의 계산,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-1,식의 계산,다항식의 계산,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-1,일차부등식,일차부등식,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-1,일차부등식,일차부등식의 활용,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-1,연립일차방정식,연립일차방정식,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-1,연립일차방정식,연립일차방정식의 활용,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-1,일차함수,일차함수와 그 그래프,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-1,일차함수,일차함수와 일차방정식의 관계,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-2,삼각형의 성질,삼각형의 성질,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-2,삼각형의 성질,삼각형의 외심과 내심,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-2,사각형의 성질,평행사변형,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-2,사각형의 성질,여러 가지 사각형,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-2,도형의 닮음과 피타고라스 정리,도형의 닮음,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-2,도형의 닮음과 피타고라스 정리,평행선 사이의 선분의 길이의 비,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-2,도형의 닮음과 피타고라스 정리,삼각형의 무게중심,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-2,도형의 닮음과 피타고라스 정리,피타고라스 정리,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-2,확률,경우의 수,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M2-2,확률,확률,RPM_M2_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-1,실수와 그 연산,제곱근과 그 실수,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-1,실수와 그 연산,근호를 포함한 식의 계산,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-1,다항식의 곱셈과 인수분해,다항식의 곱셈,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-1,다항식의 곱셈과 인수분해,다항식의 인수분해,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-1,이차방정식,이차방정식의 풀이,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-1,이차방정식,이차방정식의 활용,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-1,이차함수,이차함수의 그래프(1),RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-1,이차함수,이차함수의 그래프(2),RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-2,삼각비,삼각비,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-2,삼각비,삼각비의 활용,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-2,원의 성질,원과 직선,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-2,원의 성질,원주각,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-2,통계,산포도,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2022,middle,M3-2,통계,상자그림과 산점도,RPM_M3_2022,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,다항식,다항식의 연산,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,다항식,항등식과 나머지정리,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,다항식,인수분해,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,방정식과 부등식,복소수,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,방정식과 부등식,이차방정식,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,방정식과 부등식,이차방정식과 이차함수,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,방정식과 부등식,여러 가지 방정식,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,방정식과 부등식,여러 가지 부등식,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,도형의 방정식,평면좌표,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,도형의 방정식,직선의 방정식,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,도형의 방정식,원의 방정식,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_상,도형의 방정식,도형의 이동,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_하,집합과 명제,집합의 뜻과 포함 관계,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_하,집합과 명제,집합의 연산,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_하,집합과 명제,명제,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_하,함수,함수,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_하,함수,유리함수,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_하,함수,무리함수,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
2015,high,수학_하,경우의 수,경우의 수와 순열,RPM_H15_COMMON,RPM_VERIFIED,RPM_VERIFIED
