questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|6,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,6,6,6,2015,수학(상),H15-SA-11,원의 방정식,11,H15-SA-11-TANGENT,원과 접선,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|원의 방정식|접선|좌표축 접원|접점|중심|반지름|도형,a5d58b77d529b62da540d5365e673b15d94b2b3a98e843f422c575e0184e2545,2953a550bc852dabb23cd7182de8ab6fa2fb4d03b693d547b26e98bc0ba0233f,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,bb4f5423cd8dd996844058e8d0ce6825301d65a925147ff3143368befb1e9359,,,assets/images/22_금당고_1학기_기말_고1_기출/q06-solution.svg,13ddd7999b84769216d84d405462c6aaeb8251b57148fff0fca74123e0c7cc4f,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,f78316514567b540bca38fc2ad1fb9fe7520cbaf5fea9d392c88948fd6bcaee7,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|6,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_6,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|11,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,11,11,11,2015,수학(상),H15-SA-11,원의 방정식,11,H15-SA-11-INTERSECTION,원과 직선·원의 교점,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|원의 방정식|교점|직선과 원|중심|반지름|넓이|거리|도형,d13146ada056928c370a7c69ae02b739ce59c23637547cc7fb462d18c71d967f,a3df0ff132a92beb0688aa32aa24e81cf04558b945e21e98565e21772d8657e3,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,5e118f2ca8d5ff3bf7b9b516805939f9df6c96eda8e7bcbca9f9aa6546e83727,,,assets/images/22_금당고_1학기_기말_고1_기출/q11-solution.svg,66e884eb2fa75fea5f248244984cce6ff5fad703fa24e92c7e7647f15ccc436f,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,fa1c7679cf72473ec1082c6e85789da570f4438af19521a4fd8e4bceb9d33696,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|11,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_11,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|12,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,12,12,12,2015,수학(상),H15-SA-11,원의 방정식,11,H15-SA-11-CIRCLE_EQUATION,원의 방정식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|원의 방정식|중심|반지름|넓이|거리|도형,981f3d48839d8b7b88fc5633120b7ed3cc67c257e685e770e5ee8d3aae828ee5,cc754e669387e2862b62134e76c7f0253e3549b540f7e08044e1332c8e71d45d,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,f2ee9fd8b024732f40dd7d402ac1cdcb562f2c9b863807823c062e70bf68e56e,,,assets/images/22_금당고_1학기_기말_고1_기출/q12-solution.svg,024daddd840a23e9215aee23d651daf373c03be63ee6e4a8c4477e18ca9ca5f9,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,fe5dc18d68c3cdd0f03c32b3abf8bac49a7b374f120c7cecc89c4fbf17d28b01,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|12,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_12,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|21,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,21,21,21,2015,수학(상),H15-SA-11,원의 방정식,11,H15-SA-11-TANGENT,원과 접선,category_or_cue_inferred,complete_category,서술형,grid,true,서술형|원의 방정식|접선|좌표축 접원|중심|반지름|거리|도형,1aa275ab49ee36b2511be619a96bfd7a8ef8a0b76f661b5aaa3147663b058dd4,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,901e4e4ca2536369f2866ff97df59c44bec382f000be18caa547ec96e4285ac6,f4ad83e12b6ba168adb8318fd710355cb07f6d431cd69e502161adb8660d83b5,,,assets/images/22_금당고_1학기_기말_고1_기출/q21-solution.svg,bac06d1a56080aeea72d333cb1816e2c826cc1aa809fd1baa41934a0e0ef3c75,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,d9d9075f19afed5a891ccd1fc65633e248b67085744c2a1caf3dd4ce62b11887,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|21,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_21,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,$-12$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|5,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,5,5,5,2015,수학(상),H15-SA-11,원의 방정식,11,H15-SA-11-CIRCLE_EQUATION,원의 방정식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|원의 방정식|반지름|도형,faa4159fcc8c2ec762693be53c8876a2deaeb23384c22c628a9a66a8f915cf74,afcd0efc733f41eb2478f0562e3610965b99c01d03f6cda94268c0e3fb9cf872,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,b32b32b92a3e4d5c107fd465d8374a0fa48395f99902cf51424687cad45e0c28,,,assets/images/22_매산고_1학기_기말_고1_기출/q05-solution.svg,cf91be701d9fa061a62c8d28833c5cdfe1aac97f976af243d5f58be785908746,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,7f5af1c43071c2abbed9c1c261258d088b2343c0ec41d0bb2f874d577f726bed,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|5,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_5,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|10,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,10,10,10,2015,수학(상),H15-SA-11,원의 방정식,11,H15-SA-11-INTERSECTION,원과 직선·원의 교점,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|원의 방정식|교점|두 원|공통현|직선과 원|중심|반지름|넓이|거리|도형,a334d0e1c4882b86756e632be2bfa471f708d848fb7a8d2f7381002f60d301a0,69a6a5c022e87f685af7341751a549c7a2ebc8810a3bb6601a8278420e338ea1,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,6584076ff6cc72a1bf1a768a00e086fccf118d46d4ed4f5fc3d5bf6b99ff67fe,,,assets/images/22_매산고_1학기_기말_고1_기출/q10-solution.svg,afcd2104a13cb764593da2aae90abb4f90478c89685165ccc2f2512c97e517c7,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,15fdaa23df5a1b3e9067de4b8a6dc21cd40b377aef4fb844563644c9144c7705,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|10,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_10,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|14,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,14,14,14,2015,수학(상),H15-SA-11,원의 방정식,11,H15-SA-11-TANGENT,원과 접선,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|원의 방정식|접선|접점|중심|반지름|도형,659be0b747550419fb5691f90beae85398fba5393e62e4b948507dfaa878e0a8,71052d9b7014775ad4fdb26f9c80e38dee787689bacac72ae43b19fc6410acdf,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,0070bcfd674d23e51fa61270b2339ef3875df66f58dbd76214b9940bf0f52083,,,assets/images/22_매산고_1학기_기말_고1_기출/q14-solution.svg,d837800ecdd19ca3e00d2f9a9c4a933e4fe5d5f955846070b2bd5d961ce869e6,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,b9a59ac0eafb389788f8c8e2667ce9b1e0278e7df7b0fb1507ad7b3ad4883a88,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|14,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_14,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|18,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,18,18,18,2015,수학(상),H15-SA-11,원의 방정식,11,H15-SA-11-CIRCLE_EQUATION,원의 방정식,category_or_cue_inferred,complete_category,단답형,grid,false,단답형|원의 방정식|중심|반지름|거리|도형,ae9e995550b5bdeae75ad3e06349ecaa32fcbb8b390923abddc764e1f0403bb3,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8969d134299d23c468e40ae54d1a10c3a5e250f19f658b4c65b6ec208eb5cba5,d46992f981031ed39723d04fec230a9ee4fb3e2881ffef824b7675d9e792ece8,,,assets/images/22_매산고_1학기_기말_고1_기출/q18-solution.svg,22f10365b138dba9dd9cecb9c1aae36816a8cc6682823e3a5f2826b176108c90,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,a585c5da5cc2281882ffa38ebea6c2e1006ac781dd8e121099c4e0e34cb07922,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|18,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_18,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,$-\dfrac14$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|19,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,19,19,19,2015,수학(상),H15-SA-11,원의 방정식,11,H15-SA-11-INTERSECTION,원과 직선·원의 교점,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|원의 방정식|교점|두 원|직선과 원|위치 관계|중심|반지름|거리|도형,06c5c593c59fb313d3c304ec7f07225e527da47781625b3884ce5c8f7f5ea633,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,566433551ff99f906b82d92b3b5eaecf6703d9d09240bc225bde0931ba0adb5a,9236fe53b239d3d6db1e36b727e80cabc7b32001228aebf9df1624fbec6a1b62,,,assets/images/22_매산고_1학기_기말_고1_기출/q19-solution.svg,33ed13dae6c8bccfe5fdce29ee849cb3513229cc417fc08927ea5b3bd6855751,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,ba458b2748c72078b3e376b7a6e5d90bc9c6c0a1f0d6b9e0151d6735c726a132,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|19,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_19,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,$\dfrac34<m<1$ 또는 $1<m<\dfrac{15}{8}$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|3,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,3,3,3,2015,수학(상),H15-SA-11,원의 방정식,11,H15-SA-11-TANGENT,원과 접선,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|원의 방정식|접선|반지름|도형,318e0e3bea9ba90dcb68beaff2f0c08aca8d5f0798cf787bd45a4dd5099d3665,070acf8352cb9d2dd4fded66c8b1e6cbb119a2637c7160f531b8e227aae34db4,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,3e091f0568f21c2ec7cf23ad7334e91c0394791967e47b23335c60bbaea41f4b,,,assets/images/22_복성고_1학기_기말_고1_기출/q03-solution.svg,8f63bf4e89956f27e257490103fb9a9af1bca79c884fbd1688df06cdcd475531,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,4d0b07f9021df83356c78f107b38ba45b3e12ee43c55bcb25d22f07aec12791b,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|3,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_3,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
