questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|21,archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js,25_강남여고_1학기_기말_고1_기출,21,21,21,2022,공통수학1,H22-C-02,항등식과 나머지 정리,2,H22-C-02-CORE,항등식과 나머지 정리 핵심 개념,rule_inferred,complete_rule,단답형,grid,false,서술형|다항식|항등식|나머지정리|계수비교|근과계수|연립방정식|조건해석,faddafbbf55d39c6f7bc50418f0df5108917837b9681f56024ac38d327b3681d,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,085e09e33152906356b8753f2f531141e6f3fc9188502f3031161d567519fd63,74b0d14eb1e33b4f601f9ed1b13e5a56b1c297e71e5508fcbf351b6fce8e4bc9,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|21,,INDEX_RECORD_PRESENT,original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js_21,54669b7f56b5e816d952a323c9b43cd38c004fadcd52e8f8af387558c9aae7df,true,"$p=-5,\ q=2$, 세 근의 곱은 $-2$",IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/26_순천고_1학기_기말_고1_기출.js|26_순천고_1학기_기말_고1_기출|22,archive/exams/original/high/h1/1final/26_순천고_1학기_기말_고1_기출.js,26_순천고_1학기_기말_고1_기출,22,22,22,2022,공통수학1,H22-C-02,항등식과 나머지 정리,2,H22-C-02-CORE,항등식과 나머지 정리 핵심 개념,rule_inferred,complete_rule,서술형,grid,false,서술형|항등식과 나머지 정리,2b8f56a0c8b59c8b884531bce3b6e4633456ed236fbd3516b001f23ae7ef9771,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1d00ece83531b07bd87685a96b5498d68e2e2f4422c5426ff745af25f4538637,c2d7a641251df819251eba0d1f185ee2629c7e3ada187ca39bfa90fe9e78ab33,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/26_순천고_1학기_기말_고1_기출.js|26_순천고_1학기_기말_고1_기출|22,,INDEX_RECORD_PRESENT,original/high/h1/1final/26_순천고_1학기_기말_고1_기출.js_22,0b801b4458088da27bd1cf00fe877b64992455bc3475617bc5a909075d2de80f,true,"$\alpha=11,\ \beta=-4$",IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/26_순천여고_1학기_기말_고1_기출.js|26_순천여고_1학기_기말_고1_기출|18,archive/exams/original/high/h1/1final/26_순천여고_1학기_기말_고1_기출.js,26_순천여고_1학기_기말_고1_기출,18,18,18,2022,공통수학1,H22-C-02,항등식과 나머지 정리,2,H22-C-02-CORE,항등식과 나머지 정리 핵심 개념,rule_inferred,complete_rule,객관식,grid,false,,c6e14502367fbae0a390a01e89fcf2891041ff34d7b803ea0bcc3a20f8260e26,ed233e6b3aa03a196b12af07c7480441d6dcd22ab1a662436cea92a9e64fb60c,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,2042064d3f0109dfbada860a987e09a230228fc6b05ba004a89406fb74861b7e,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/26_순천여고_1학기_기말_고1_기출.js|26_순천여고_1학기_기말_고1_기출|18,,INDEX_RECORD_PRESENT,original/high/h1/1final/26_순천여고_1학기_기말_고1_기출.js_18,bd5f942a1354d79dac6a827e48179b103e002ebbe3ccb90850835786c2c8f0c6,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|3,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,3,3,3,2015,수학(상),H15-SA-02,항등식과 나머지정리,2,H15-SA-02-REMAINDER_FACTOR,나머지정리와 인수정리,rule_inferred,complete_rule,객관식,grid,false,객관식|다항식|항등식|나머지정리|전개|계수비교|계산,4e73eb0d903656ca4c3fbcfecafbfbabbfc3accab6e319709470ce02f10bafe1,1328e4d858cfa36de72dd8cd99a69fbc3cd26efe05605e260c5af5be503ce148,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,dec32d945c29c3ea221bc6b136d3344cac5d20ef7dd0accb40a1c54dcfbf4873,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|3,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_3,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|4,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,4,4,4,2015,수학(상),H15-SA-02,항등식과 나머지정리,2,H15-SA-02-REMAINDER_FACTOR,나머지정리와 인수정리,rule_inferred,complete_rule,객관식,grid,false,객관식|다항식|항등식|나머지정리|전개|대입|계산|개념,dfe080e79076792912677b34394b959d2e15d225298877ef0a96b1678dc6c10f,52a220bc6022068c0a091f776bd159d79e4e79421bda83e93fa374cc898034fe,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,644f7cc2feb840b29f18e8e6e3f52ed4bd803a16800aa03c6e76f91459602228,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|4,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_4,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|9,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,9,9,9,2015,수학(상),H15-SA-02,항등식과 나머지정리,2,H15-SA-02-REMAINDER_FACTOR,나머지정리와 인수정리,rule_inferred,complete_rule,객관식,grid,false,객관식|다항식|항등식|나머지정리|전개|계수비교|함수|계산,06b91ff524246c23c8b251be87218c22715fc86461a7ecf607090bd62717c50f,ddc362ceaf55e551a2df19321829c6a5fe3c3269cf0e1e51a6b618713ea8afb6,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,2d15497bac22cba71a2bc34642a220591565b8b33e8bdf52c3693245feb6fe42,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|9,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_9,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|2,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,2,2,2,2015,수학(상),H15-SA-02,항등식과 나머지정리,2,H15-SA-02-REMAINDER_FACTOR,나머지정리와 인수정리,rule_inferred,complete_rule,객관식,grid,false,객관식|항등식|나머지정리|계수비교|대입|조건해석|계산,0306d7e3ecfab828f95b2f9e09c7bafc007576c4f73ed26cde9136290159fb4a,ebb443eccdb14874856e0eb5c7b00fa4c968eb3566927473c4dc87d7b7b4719a,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,8815b571b7d6cb6b79404d2042edd4f940de7de59baa380a05d23431bceb4076,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|2,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_2,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|17,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,17,17,17,2015,수학(상),H15-SA-02,항등식과 나머지정리,2,H15-SA-02-REMAINDER_FACTOR,나머지정리와 인수정리,rule_inferred,complete_rule,객관식,grid,false,객관식|다항식|항등식|나머지정리|계수비교|대입|조건해석|계산,c0a437128b6868beaf7b0ceac7ce90310bc1a25677cc6a5fac1305aa8484b2ed,c8cb7a3252bcd8b6450899f3da09f1f91649e04584a833aa1d645ecfebd2f9ad,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,0a37cbce8a470b6fc33333fdf5b813fd5593fda0daad5fdca06e24dec6a21fc1,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|17,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_17,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js|23_여수여고_1학기_중간_고1_기출|5,archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js,23_여수여고_1학기_중간_고1_기출,5,5,5,2015,수학(상),H15-SA-02,항등식과 나머지정리,2,H15-SA-02-REMAINDER_FACTOR,나머지정리와 인수정리,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|다항식|항등식|나머지정리|인수분해|도형|원|대입,209f8a1374b195db02679a571ced7a77ae9cff28bca30b664ee5ca89f02626d8,8782d837a1f67153cde146854c256e112fd947e802a17faf10a1e52af275c5d5,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,4643bd6a9eb13c299bb30b79f5700295e011865478df4decba3c7255854596d7,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js|23_여수여고_1학기_중간_고1_기출|5,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js_5,a63fb917216bab5716599298813e458f01ee81c972938af3651a686e0633b3e1,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js|23_여수여고_1학기_중간_고1_기출|6,archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js,23_여수여고_1학기_중간_고1_기출,6,6,6,2015,수학(상),H15-SA-02,항등식과 나머지정리,2,H15-SA-02-IDENTITY,항등식과 계수비교,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|항등식|나머지정리|인수분해|이차방정식|지수|참거짓|대입,04dc8a1ac6fd7bcfbb685b3601d1446c0053dfaa8ec6056b81126879542bcc1e,f2651fa5c0e3738a69cb233626cfbf6638c81fec32c5bc2bac6e05aab25b7c7b,4fcc14dd33588849a751380031f0dd77bdfd09a1bb240a3db58f5a66498f44e7,d44c87ea05693d698186f0d36f53ce129c06a5f20e5538d4d37d646a3d6556f9,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js|23_여수여고_1학기_중간_고1_기출|6,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js_6,a63fb917216bab5716599298813e458f01ee81c972938af3651a686e0633b3e1,true,"②, ③",IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
