questionUid,sourceJsPath,questionId,standardUnitKey,questionType,primaryStatus,answer,correctAnswerCount,noAnswerFlag,undeclaredMultiAnswerFlag,questionSolutionMismatchFlag,sourceReviewFlag,notes
qid_v1_1b867ec3c2c8a021c7a05465f02a56bfd4558c11934879bdc7255b7359d1864b,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,2,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_1cdfc9db746a33d755c09b4e1983893e21882a050138e6a34c4ee899213376ea,archive/exams/original/high/h1/2final/21_효천고_2학기_기말_고1_기출.js,4,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_f7765916b9a50d5e3c005c1894964e51b1dd1fa24c6e893e3098e922e73cc619,archive/exams/original/high/h1/2final/22_강남여고_2학기_기말_고1_기출.js,6,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_942e241fccaabc11188691b29013858d460573de499a873034074d95739b532e,archive/exams/original/high/h1/2final/22_강남여고_2학기_기말_고1_기출.js,9,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_7f2fd1b11f083054a0702aa0fc6781905575528b39510c4b8777861f1463fdfe,archive/exams/original/high/h1/2final/22_강남여고_2학기_기말_고1_기출.js,13,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_8827678982c30606e293120c87d3f4fd38f33fc5b6836925215d8a209338bdcd,archive/exams/original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js,15,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_8d901b0188b9ffd8f53fb6beed3294cd560cd93132f0f931c6ed7b1cd89ffadb,archive/exams/original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js,6,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_43d717a8d670df2289e88bda7f6522203bfb5aaea5479957b9f3f3d73e7cc16c,archive/exams/original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js,11,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_3f6589610450c206a8bff56633013cc188d061abfef14d0092e271737eb20bce,archive/exams/original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,2,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_72120c91b168288667b648dc06e16413eb399ec4fee8563e9a3fa48ff4fb63b0,archive/exams/original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,3,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
