source,question,asset,content,choices,answer,solution,solutionImage,svg
archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,1,archive/assets/images/21_복성고_2학기_중간_고1_기출/q01-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,16,archive/assets/images/21_복성고_2학기_중간_고1_기출/q16-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,9,archive/assets/images/21_순천고_2학기_중간_고1_기출/q09-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,20,archive/assets/images/21_순천고_2학기_중간_고1_기출/q20-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/21_제일고_2학기_중간_고1_기출.js,18,archive/assets/images/21_제일고_2학기_중간_고1_기출/q18-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,11,archive/assets/images/22_금당고_1학기_기말_고1_기출/q11-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,10,archive/assets/images/22_매산고_1학기_기말_고1_기출/q10-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,3,archive/assets/images/22_복성고_1학기_기말_고1_기출/q03-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,12,archive/assets/images/22_순천여고_1학기_기말_고1_기출/q12-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,23,archive/assets/images/22_순천여고_1학기_기말_고1_기출/q23-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,6,archive/assets/images/22_팔마고_1학기_기말_고1_기출/q06-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,19,archive/assets/images/22_팔마고_1학기_기말_고1_기출/q19-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js,14,archive/assets/images/22_효천고_1학기_기말_고1_기출/q14-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,13,archive/assets/images/22_제일고_1학기_기말_고1_기출/q13-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,14,archive/assets/images/22_제일고_1학기_기말_고1_기출/q14-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,17,archive/assets/images/22_제일고_1학기_기말_고1_기출/q17-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js,14,archive/assets/images/23_매산고_1학기_기말_고1_기출/q14-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js,19,archive/assets/images/23_복성고_1학기_기말_고1_기출/q19-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
