questionUid,field,assetPath,assetSha256,naturalSize,visualRequirement
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|9,solutionImage,archive/assets/images/25_금당고_2학기_기말_고1_기출/q09-solution.svg,9403c69663e410f68b31b5c2c2317833868104dc1307b7ef5a004b1af6dfcb11,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|13,image,archive/assets/images/25_순천고_2학기_기말_고1_기출/q13.png,5e81f9c184e74e0a5e04598fa10f8fcae21e10ca4be3f58b199ab232d23aff7a,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|13,solutionImage,archive/assets/images/25_순천고_2학기_기말_고1_기출/q13-solution.svg,126901a9d1709feec3a290f252fbb9587de5a55e57224f27b0c94dbf3199ab27,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|14,solutionImage,archive/assets/images/25_순천고_2학기_기말_고1_기출/q14-solution.svg,280d1467b685aa3b8270e316fdd78119df64c273cc26e2937dbef8ffd4924011,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|18,solutionImage,archive/assets/images/25_순천고_2학기_기말_고1_기출/q18-solution.svg,10f4bc681bffd3f4a40ab25c64b41fdc03ad8e7ba23a74538860f2276c8156d1,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|13,solutionImage,archive/assets/images/25_제일고_2학기_기말_고1_기출/q13-solution.svg,74a79bf5662d3c4423186be00a6bc1aa9615ce3696b27a2f2b20bef9bdb97360,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|14,solutionImage,archive/assets/images/25_제일고_2학기_기말_고1_기출/q14-solution.svg,06b8c5b40f326a431887bcadb30b950fdf7acf60e7c4ffdfd5362f57bb6b7e6c,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js|25_팔마고_2학기_기말_고1_기출|4,solutionImage,archive/assets/images/25_팔마고_2학기_기말_고1_기출/q04-solution.svg,55dca7ed94d8aed66817c980c60b20f62992852b64f0d054ee5a80c637db64c7,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js|25_팔마고_2학기_기말_고1_기출|6,solutionImage,archive/assets/images/25_팔마고_2학기_기말_고1_기출/q06-solution.svg,c590c943db892a2792c3eb647a756dfa0a047043428cb7b9d5114858f8175454,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js|25_효천고_2학기_기말_고1_기출|12,solutionImage,archive/assets/images/25_효천고_2학기_기말_고1_기출/q12-solution.svg,8cc2a60f650afd3f66c7c10f4f343dab0b117a9de4aa2938ba09e8372bdf3578,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js|25_효천고_2학기_기말_고1_기출|18,solutionImage,archive/assets/images/25_효천고_2학기_기말_고1_기출/q18-solution.svg,606372445b5f7e13469cb7c535bc99e22c2f760a832517bdc7acb1a4be6d99ff,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js|25_효천고_2학기_기말_고1_기출|22,solutionImage,archive/assets/images/25_효천고_2학기_기말_고1_기출/q22-solution.svg,b61738931f9b341888c82bae5cecf71cf8273f4646ccbfc029b653ee6fbad4cb,[object Object],VISUAL_REQUIRED_SATISFIED
