questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|1,archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js,25_강남여고_1학기_기말_고1_기출,1,1,1,2022,공통수학1,H22-C-01,다항식의 연산,1,H22-C-01-POLYNOMIAL_BASIC,다항식의 연산,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|다항식|곱셈공식|전개|개수세기|조건해석|계산,37b72c525f104e362f4a1887045a26965d0e9f5a050ee64dfe682d00ed1de7bc,1cc339fd3c4eb80f223fb3be1e7b3837b11d452dcaaa8f2741f947fd71215b35,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,2a05d3b708235b3bf8f9190481e62aa86b03e7bb2574cebfc329dc065d464714,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|1,,INDEX_RECORD_PRESENT,original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js_1,54669b7f56b5e816d952a323c9b43cd38c004fadcd52e8f8af387558c9aae7df,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/26_복성고_1학기_기말_고1_기출.js|26_복성고_1학기_기말_고1_기출|4,archive/exams/original/high/h1/1final/26_복성고_1학기_기말_고1_기출.js,26_복성고_1학기_기말_고1_기출,4,4,4,2022,공통수학1,H22-C-01,다항식의 연산,1,H22-C-01-POLYNOMIAL_BASIC,다항식의 연산,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|다항식,ed7dae2b7e2d1d0a88293c2e69d50431efc61f847aa36427383e47b5ec365d82,ddc362ceaf55e551a2df19321829c6a5fe3c3269cf0e1e51a6b618713ea8afb6,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,c560f9086910a5f5e0791fad2530faf4df77f2997ac27eb85e5e6076a7cc5a41,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/26_복성고_1학기_기말_고1_기출.js|26_복성고_1학기_기말_고1_기출|4,,INDEX_RECORD_PRESENT,original/high/h1/1final/26_복성고_1학기_기말_고1_기출.js_4,6a7324708d6fc8b5ce17530aa8a8bd73bb557289a04c616f6a6c336eba7d1ef7,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|1,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,1,1,1,2015,수학(상),H15-SA-01,다항식의 연산,1,H15-SA-01-POLYNOMIAL_BASIC,다항식의 기본 연산,rule_inferred,complete_rule,객관식,grid,false,객관식|다항식|전개|대입|계산,564435f790e0bd14908d289a9537480532703cf30396269ccfe5c60689c7627d,f757dfc7b0cb4c5351583cd204a1c912d1a6171721c26546ceb7a0d23bd0d290,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,454d22640dae7f7b125f08b0757bc3a322c0c200fe29eed9f45b6c147f3fe41d,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|1,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_1,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|7,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,7,7,7,2015,수학(상),H15-SA-01,다항식의 연산,1,H15-SA-01-POLYNOMIAL_BASIC,다항식의 기본 연산,rule_inferred,complete_rule,객관식,grid,false,객관식|다항식|대입|조건해석|계산,a0322c6631892b5933fe1fec2d512ec586143ff52a4fcf5e7b57de0388b2bc5b,1a7a56a298b28576ddfb9fb93e986d34be17e8f692d0bf62d0d2e4461326309f,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,e90c5cc1ce08479ddf00744d12678b4b675aa8ecba5039776c8287fb8fa1aed1,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|7,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_7,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|8,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,8,8,8,2015,수학(상),H15-SA-01,다항식의 연산,1,H15-SA-01-POLYNOMIAL_DIVISION,다항식의 나눗셈,rule_inferred,complete_rule,객관식,grid,false,객관식|다항식|나머지정리|완전제곱식|전개|계수비교|계산|개념,3b7bfd198476cb87748b2f513504d4af97ffbf92f971c2d29ed278ff9ff6a461,d149797257a57baff9194e3920af34d9617bd121168bcb1bc33fe0ac243ab248,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,6ae098ff48981ee28f04e0396447c257d95b82cbb275f01bcc493c355f955013,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_8,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|15,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,15,15,15,2015,수학(상),H15-SA-01,다항식의 연산,1,H15-SA-01-POLYNOMIAL_BASIC,다항식의 기본 연산,rule_inferred,complete_rule,단답형,grid,false,객관식|다항식|전개|계수비교|최대최소|조합|조건해석|계산,a34cacc84c1d05a6067903928b517da50ab356f2cba781fbe24e795e546aea34,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,f9cacf3cb91a12e03bc4546834f95a50a4c5fe02276ac260148ea9296c442d39,2bdf2e9d7ae0fe2cc0bfffbc3bed3ffa34402f911e1c4ecab345673c2764cef2,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|15,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_15,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,12,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|17,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,17,17,17,2015,수학(상),H15-SA-01,다항식의 연산,1,H15-SA-01-POLYNOMIAL_BASIC,다항식의 기본 연산,candidate_evidence,complete_candidate,단답형,grid,false,객관식|전개|계수비교|조건해석|계산,4aacd5d503f936cc815c05fce62a6c224d8face59d8f3fd71c0c424bad387df1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,d3711afa9308bcf70ec715c0045953c49b6dafe10f2514aef3f517a1d0cc13d7,523c303937a2b6f0f4a06669867b8080a01709e6f37a9732279df16607b13c59,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|17,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_17,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,216100,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|1,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,1,1,1,2015,수학(상),H15-SA-01,다항식의 연산,1,H15-SA-01-POLYNOMIAL_BASIC,다항식의 기본 연산,rule_inferred,complete_rule,객관식,grid,false,객관식|다항식|계수비교|대입|계산,e62eb79297d8cf2209609278f22915328d439a518a1b3692178ca2604e4e4d54,69604eb8dcf5b40759f7316f235cf88f34dbf9b0b7301e1d80968b4e045c34a2,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,ee24046de92abcc1782402abdc6eac4160b90ca5aeb0ebd4262f57d2c40f6283,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|1,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_1,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|4,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,4,4,4,2015,수학(상),H15-SA-01,다항식의 연산,1,H15-SA-01-POLYNOMIAL_DIVISION,다항식의 나눗셈,rule_inferred,complete_rule,객관식,grid,false,객관식|다항식|나머지정리|계수비교|조건해석|계산,cc42988933bd5f71f2b53f95bed5c0a8f517d165d707d3157c24d6a83263a3be,dd7a30b44734d8fe12318627ce7022694a9f614cdc362e1e342beb9f5059f399,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,225d91b826372c01b590078f26ecef2fdb1b39d1c33732cb8e7315d8129f1366,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|4,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_4,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|9,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,9,9,9,2015,수학(상),H15-SA-01,다항식의 연산,1,H15-SA-01-POLYNOMIAL_BASIC,다항식의 기본 연산,rule_inferred,complete_rule,객관식,grid,false,객관식|제곱근|근호|다항식|인수분해|공통인수|조건해석|계산,ec6e0b90a56c12e320bbc2afd35e92a00163d07b629523ebddb43a5560bd1931,1bc2e2b6f2ca542cbaa83aa138c5133cd65b17a58aff7cbc64f76975df10c011,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,d71ae8a9ea01c62605ec75e07bc161c4c6ba3b4c877364ae1819c871cf295133,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|9,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_9,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
