questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|10,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,10,10,10,2022,공통수학2,H22-C2-09,무리함수,9,H22-C2-09-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|무리식|정의역|정수,6f9c5f55389c00c5139a7561617ac0d72899680c6f50ec7120e7d39a4a41ebe7,a542e66ad81f031f8f5d3e15cfe9e984acaa339ba072265d7d3ec072665042a9,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,3af72ef35041b47b5a7ba92f1ea5f3cfc7346642fde8f1fc19f67f08d2f7ae6c,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|10,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_10,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|16,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,16,16,16,2022,공통수학2,H22-C2-09,무리함수,9,H22-C2-09-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|유리함수|무리함수|그래프|점근선|도형,b68c961aa431640ce244a668efe59f6bb7e0e059049dd236273c0ca863e89e74,e8ac95a483686974d45c23e7f59301c79075c48fa64a82c480712fa02b241702,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,40f84e752ed26f708a5da928c80e24702667a69143ac904ba8df2d0cb19d80cd,assets/images/25_금당고_2학기_기말_고1_기출/q16.png,67139371d8dc2faed6a958072bca393a5de3f070a595b5bac1bb1b316cbed88f,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,GRAPH_CANDIDATE,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|16,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_16,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|22,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,22,22,22,2022,공통수학2,H22-C2-09,무리함수,9,H22-C2-09-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|무리함수|직선|교점|판별식|범위|그래프,7d6758d72ce3dfd3cc78c3b93af87d11fe2adfc06cda8b712e07f53f85f28f71,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7f9384ffdec38c99f98faee5a809343ef8c9f542700a8982b77bae4bd83df3ee,c214c34387f7a77c09e0791b4613d04c8decffaf1384e977775d48afc5d9c104,,,assets/images/25_금당고_2학기_기말_고1_기출/q22-solution.svg,5713a3cba53ba07a739341a783ccf45fccb3a2ab933bbc875589d9fea04a71f2,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,0b889ea5df6288b5fcbd0fa62bb184b65ea158417fd0ec17fc54442a71ab4529,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|22,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_22,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,$-2\le k\lt-\dfrac74$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|3,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,3,3,3,2022,공통수학2,H22-C2-09,무리함수,9,H22-C2-09-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,,ddcc23d9065f982fda0027132549df31d3f0dc280abe9b55595b1d5755d969d1,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,b605350f29cd6c4bd1b8dd766ce7247913514e13a9af7157d9bb11aeb54e9cb5,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|3,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_3,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|7,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,7,7,7,2022,공통수학2,H22-C2-09,무리함수,9,H22-C2-09-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,,98f53c7304a58ef53a762572a425fc087b1add50a1938cdf2cb1bf762505fa85,e0a2d515b9432b7ce272fe4d09d2234810d327b803650316fda86b74a012a5e6,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,cc3eaa04b525c6aaceb6b8ff332f3bebb3036ce72e5fd7050189549ccb2c72d1,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|7,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_7,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|17,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,17,17,17,2022,공통수학2,H22-C2-09,무리함수,9,H22-C2-09-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,be9c6cae0f2f8bc2c1f49d39ba124d16a62e2fcac627122e39c0a8b19dab000c,257d01654aa886b55e074aacd98c49cd192ac9da5c867d68201632dd3449b440,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,a9ba9285cdbf51d3acef4fb36d03f04c1dfa4e4639d3559ce5e08f95760fc6ad,,,assets/images/25_순천고_2학기_기말_고1_기출/q17-solution.svg,1373b9f7554b5014edcf7f59464bec30a12f7d55343b7bd573f5d723c014098d,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,0d43b4fb5c69df429d9b493b6010dcc4c5cbabf89f7be81a4c71ba8d6a3cafd6,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|17,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_17,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|23,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,23,23,23,2022,공통수학2,H22-C2-09,무리함수,9,H22-C2-09-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|그래프,c97158caa7ee56428dbb5472b45c4f4da695792925eaebfa280c14c818a6a4af,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4e52c36d87de2e0eb0079eb98051064717ca53ebe970b4f3811c197b136c2bf3,6ad34618cb3b2cb8eb6b22c2f729d58ea5753e940bfc76406ebf6294702e1b77,,,assets/images/25_순천고_2학기_기말_고1_기출/q23-solution.svg,b85e6f39b32ec848acbf00a36de0a305254bfccafc1286fe8e58fa2718b63f14,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|SET_OR_LOGIC_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,8364609499fde7c630ea776b284a09c0bc4c471417d77d43aba9018cfc26a17e,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|23,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_23,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,"(1) 끝점 $(1,2)$인 왼쪽 가지와 시작점 $(2,3)$인 오른쪽 가지, (2) $k=1$",IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|11,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,25_제일고_2학기_기말_고1_기출,11,11,11,2022,공통수학2,H22-C2-09,무리함수,9,H22-C2-09-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,ad93e8a816312ac3b7a241c78bd4096056fea48c23e0133192d1e06f245d9d48,938870e2ea219357dace43464a4b83b91509051a6ec0d8d10c278e6bc7e0b695,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,253afd1572484071bed63c3f9c1d698fc7f897a6c999e10231e53778429905be,,,assets/images/25_제일고_2학기_기말_고1_기출/q11-solution.svg,c3b870bde68349b8d9bb847a481603e746978c75d086022fd639551550b24ec4,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,ed3840c8627e8610a5a4686d785444ba4ce8ea319c4486c02b444a1b11ef62a1,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|11,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_11,6850830f4fb4b126b45bd825cf7118ddbef562490f0909ae80abf9b6998491ce,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|17,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,25_제일고_2학기_기말_고1_기출,17,17,17,2022,공통수학2,H22-C2-09,무리함수,9,H22-C2-09-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,8208f8e55eec0231184c7e8cb0b98da60335c82b083dd210c9eb32815a512df9,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,2f0be934257122a3434bf31a353a8d64aa0357cf2b10523a07b203cd5530a066,assets/images/25_제일고_2학기_기말_고1_기출/q17.png,569b51b660358d391fb64d3318c56212a8dc21b961690d75072a42543468c28c,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,GRAPH_CANDIDATE,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|17,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_17,6850830f4fb4b126b45bd825cf7118ddbef562490f0909ae80abf9b6998491ce,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js|25_팔마고_2학기_기말_고1_기출|5,archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js,25_팔마고_2학기_기말_고1_기출,5,5,5,2022,공통수학2,H22-C2-09,무리함수,9,H22-C2-09-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|무리함수|그래프|평행이동,511da3338f61e2d7e87a1b4a204742dd45187feb33295a91bd605c7b9404ffeb,3383fd0297ffce2a66fe6e9aaab9573631221bd809c1472d09b1c1075ac02f0e,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,81683e8ad3e4c777cbd323e7c72f0c79771e44a379478d03c08832cb10103bd6,assets/images/25_팔마고_2학기_기말_고1_기출/q05.png,ada8eeaf649f604be115d0414dcad3064e6e6c9a2f5404ea9591f503c7b067a3,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,GRAPH_CANDIDATE,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js|25_팔마고_2학기_기말_고1_기출|5,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js_5,107db0f0585017313bead41fed20452de5882d3fcc4dff8261343b14c8df118e,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
