examId,sourceJsPath,questionCount,targetQuestionCount,existingSvgQuestionCount,svgRequiredMissingCandidateCount,modes,renderStatus
22_금당고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,21,21,13,4,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
22_매산고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,20,20,15,3,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
22_복성고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22,22,6,7,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
22_순천여고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,23,23,14,5,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
22_제일고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,22,22,15,3,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
22_팔마고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,22,22,10,5,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
22_효천고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js,22,22,7,8,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_강남여고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js,25,25,14,3,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_금당고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/23_금당고_1학기_기말_고1_기출.js,21,21,12,3,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_매산고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js,20,20,8,6,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_복성고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js,22,22,14,3,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_순천여고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,23,23,17,5,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_제일고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,22,22,11,3,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_팔마고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js,22,22,14,3,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
24_금당고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,20,20,11,5,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
24_매산고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,20,20,15,3,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
24_제일고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,22,22,11,2,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_강남여고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js,24,24,3,13,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_금당고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/25_금당고_1학기_기말_고1_기출c.js,22,22,0,12,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_매산고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/25_매산고_1학기_기말_고1_기출c.js,20,20,1,13,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_매산여고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/25_매산여고_1학기_기말_고1_기출c.js,23,23,0,12,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_순천고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/25_순천고_1학기_기말_고1_기출c.js,23,23,1,11,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_순천여고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/25_순천여고_1학기_기말_고1_기출c.js,21,21,0,12,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_제일고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/25_제일고_1학기_기말_고1_기출c.js,22,22,0,16,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_팔마고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/25_팔마고_1학기_기말_고1_기출c.js,23,23,0,19,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_효천고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/25_효천고_1학기_기말_고1_기출c.js,23,23,2,15,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_광양제철고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/26_광양제철고_1학기_기말_고1_기출.js,19,19,0,11,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_금당고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/26_금당고_1학기_기말_고1_기출.js,20,20,0,10,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_매산고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/26_매산고_1학기_기말_고1_기출.js,21,21,0,15,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_복성고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/26_복성고_1학기_기말_고1_기출.js,23,23,0,14,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_순천고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/26_순천고_1학기_기말_고1_기출.js,23,23,0,15,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_순천여고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/26_순천여고_1학기_기말_고1_기출.js,23,23,0,12,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_팔마고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/26_팔마고_1학기_기말_고1_기출.js,22,22,0,14,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_효천고_1학기_기말_고1_기출,archive/exams/original/high/h1/1final/26_효천고_1학기_기말_고1_기출.js,26,26,0,19,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_매산고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,20,20,0,9,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_부영여고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,22,22,0,6,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_여수여고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js,21,21,2,4,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_여천고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js,23,23,0,10,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
23_충무고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/23_충무고_1학기_중간_고1_기출.js,21,21,0,7,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
2023_한영고_1학기_중간_고1_수학상,archive/exams/original/high/h1/1mid/23_한영고_1학기_중간_고1_기출.js,21,21,0,6,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
24_여수고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/24_여수고_1학기_중간_고1_기출.js,23,23,0,7,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
24_제일고_1학기_중간_고1_수학,archive/exams/original/high/h1/1mid/24_제일고_1학기_중간_고1_기출.js,22,22,8,7,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
24_한영고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/24_한영고_1학기_중간_고1_기출.js,21,21,1,6,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
24_효천고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/24_효천고_1학기_중간_고1_기출.js,23,23,0,6,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_강남여고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/25_강남여고_1학기_중간_고1_기출.js,24,24,2,9,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_금당고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/25_금당고_1학기_중간_고1_기출.js,22,22,5,5,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_매산고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/25_매산고_1학기_중간_고1_기출.js,20,20,0,12,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_순천여고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/25_순천여고_1학기_중간_고1_기출.js,21,21,0,8,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_제일고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/25_제일고_1학기_중간_고1_기출.js,22,22,3,6,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_팔마고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/25_팔마고_1학기_중간_고1_기출.js,23,23,0,8,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
25_효천고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/25_효천고_1학기_중간_고1_기출.js,23,23,0,6,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_금당고_1학기_중간_고1_기출_content,archive/exams/original/high/h1/1mid/26_금당고_1학기_중간_고1_기출_c.js,20,20,0,10,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_매산고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/26_매산고_1학기_중간_고1_기출c.js,20,20,0,10,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_매산여고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/26_매산여고_1학기_중간_고1_기출_c.js,23,23,0,9,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
26_팔마고_1학기_중간_고1_기출,archive/exams/original/high/h1/1mid/26_팔마고_1학기_중간_고1_기출_c.js,22,22,0,11,exam=NOT_TESTED|solution=NOT_TESTED|answer=NOT_TESTED,NOT_TESTED
