questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|10,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,10,10,10,2015,수학(상),H15-SA-13,이차함수,13,H15-SA-13-QUADRATIC_APPLICATION,이차함수의 활용,rule_inferred,complete_rule,객관식,grid,false,객관식|완전제곱식|계수비교|이차함수|최대최소|함수|도형|사각형,97943140a68b18970e97ecb3407e1baaf05c2eca6d6f384a022c3963bb9dfd7a,623a0b2d4d7a8333914c6bdf10400a9bf39cf02c5f6ed2f48a83f6f7c7defd70,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,23c5c236f342687e3110754b0791721510b35a540679c468e0521af28f512752,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|10,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_10,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|11,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,11,11,11,2015,수학(상),H15-SA-13,이차함수,13,H15-SA-13-QUADRATIC_GRAPH,이차함수의 그래프,rule_inferred,complete_rule,객관식,grid,false,객관식|인수분해|이차방정식|판별식|이차함수|함수|조건해석|계산,d563eecf82e16cc59b5f7468df766714f78c075cea54ed97f5949fa7ae7fbca3,8a0aae43662079840ecebac5cd46636a48481da25e92c88fb529b572e78db3fd,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,f809a9c28fe059b3baca824b6f21bdf2bc3896c7245068263b87512b06e0303e,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|11,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_11,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|12,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,12,12,12,2015,수학(상),H15-SA-13,이차함수,13,H15-SA-13-QUADRATIC_APPLICATION,이차함수의 활용,rule_inferred,complete_rule,객관식,grid,false,객관식|이차함수|최대최소|함수|표해석|범위|참거짓|조건해석,dd6e73a1573aa6d003dbe4a5f4c5f1e1f33524519b28bfeb33de9ae6c67c408e,81477d5f76864569e40a8086628c0149a7e5e6d42a882fdf8aae4730a81dc453,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,47cde3945efcdfdce20654c43dfd114dd23eb73890a33200facf8bc9bbcc1357,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,TABLE_OR_MATRIX_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,SCHEMATIC_OR_REVIEW,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|12,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_12,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|16,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,16,16,16,2015,수학(상),H15-SA-13,이차함수,13,H15-SA-13-QUADRATIC_APPLICATION,이차함수의 활용,rule_inferred,complete_rule,단답형,grid,false,객관식|판별식|이차함수|최대최소|부등식|함수|그래프|정수조건,7199d27f62a1f994733a54a816349beb2556a6d4b7e455c2e11fa9614a9986ec,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4a57e3450aa712e310dc232a486695e17a9ec3dd0922fd760f997d48ddf29bbd,9624b89cb952873b220bf5b81eb8c80f0fdb792599a685872dd2e14eb3e75801,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|16,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_16,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,-16,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|20,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,20,20,20,2015,수학(상),H15-SA-13,이차함수,13,H15-SA-13-QUADRATIC_APPLICATION,이차함수의 활용,rule_inferred,complete_rule,서술형,grid,false,객관식|절댓값|판별식|이차함수|최대최소|함수|도형|삼각형,432b214cdef4ec3f8a7b4f46dc65bb570b4865c8bc27d3f68dd9f358e6a6b94e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,f9cacf3cb91a12e03bc4546834f95a50a4c5fe02276ac260148ea9296c442d39,087222c0f5c48edec6cfdcaf8bd59059bafc1b3b3677af9a5888113ac8fdb66d,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|20,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_20,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,12,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|8,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,8,8,8,2015,수학(상),H15-SA-13,이차함수,13,H15-SA-13-QUADRATIC_APPLICATION,이차함수의 활용,rule_inferred,complete_rule,객관식,grid,false,객관식|이차함수|최대최소|함수|그래프|표해석|범위|조건해석,1a40e9d7269479e7beef8eda072def84eb2e7a8048121faa97f8798fc77bf2b6,51247bbaa5b4e54f213e8c8d62896eb320bf4bafb4c503e7c09d7302db3ceb61,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,3d644fde1688af64ccea295587f2c4a0e0027ffea6cfa247a91c3440d359ff32,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_8,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|13,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,13,13,13,2015,수학(상),H15-SA-13,이차함수,13,H15-SA-13-QUADRATIC_GRAPH,이차함수의 그래프,rule_inferred,complete_rule,객관식,grid,false,객관식|판별식|이차함수|함수|정수조건|범위|개수세기|조건해석,eb2abf8f417180d00be6dadbc00b917ea9bf239418cb201d283ae6c985d2fba5,b142fed6d755074188ebb5438d0c053a79e8b5b430ddaf0958fab119b073144d,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,d38f5da49809791a155a0f22579e28fc4de1ca301c956c206631cd546cd22adb,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|13,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_13,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|15,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,15,15,15,2015,수학(상),H15-SA-13,이차함수,13,H15-SA-13-QUADRATIC_APPLICATION,이차함수의 활용,rule_inferred,complete_rule,객관식,grid,false,객관식|이차함수|최대최소|함수|표해석|좌표|범위|대입,7fff5d72a1e319f4827e1adae01d0cab531e179c0a1f4b64bcd0f4abc5456a01,93cf3a378b297ac2dfdd771e1d1b7bf569daa65b016c4ab5e3fe57dc58b28efa,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,f3bc0619e57d4daf44a4922981a3a484e7b78bee0ae857daf391ce8b894924f2,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|15,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_15,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|16,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,16,16,16,2015,수학(상),H15-SA-13,이차함수,13,H15-SA-13-QUADRATIC_APPLICATION,이차함수의 활용,rule_inferred,complete_rule,객관식,grid,false,객관식|계수비교|근과계수|이차함수|함수|도형|삼각형|넓이,9dcd83ed1d0efe2b140d33ba03afe3e36d780e9ea340f6c5f5821b88db8fda10,ed5c2cec6f39326df499fa0d99f0a835c0a163427f69ce054f9c9250e1a3e5c9,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,8af74e77738e4de7fe6051d0c0300772ad039c627abe660fda57abb006c0f4fd,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|16,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_16,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|22,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,22,22,22,2015,수학(상),H15-SA-13,이차함수,13,H15-SA-13-QUADRATIC_APPLICATION,이차함수의 활용,rule_inferred,complete_rule,서술형,grid,false,객관식|이차함수|최대최소|함수|범위|조건해석|계산|개념,9b959c0a346911487f80c2e7dc1c0a72abc7b084ce3d87e35b7e86dc2cf79672,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,d10a4bc9e0c1fa4e8f3d7ce2512b8756e47ca5fa451f373c39a1431bb88db49f,6cf5c26fa7ef129248a03f3c80c9079b8aeecf1a0219184693d913be9ab0ea0c,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|22,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_22,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,5,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
