sourceJsPath,id,oldSubUnitKey,oldSubUnit,newSubUnitKey,newSubUnit,rationale
original/high/h1/2mid/23_매산여고_2학기_중간_고1_기출.js,6,,,H15-SB-02-PROPOSITION_BASIC,명제와 진리집합,명제 여부·참거짓 판정
original/high/h1/2mid/23_매산여고_2학기_중간_고1_기출.js,7,,,H15-SB-02-NECESSARY_SUFFICIENT,필요조건과 충분조건,필요조건 방향 q→p
original/high/h1/2mid/23_매산여고_2학기_중간_고1_기출.js,8,,,H15-SB-02-PROPOSITION_BASIC,명제와 진리집합,대우 및 조건의 부정
original/high/h1/2mid/23_매산여고_2학기_중간_고1_기출.js,9,,,H15-SB-02-NECESSARY_SUFFICIENT,필요조건과 충분조건,진리집합 포함과 필요·충분 관계
original/high/h1/2mid/23_매산여고_2학기_중간_고1_기출.js,10,,,H15-SB-02-PROOF,증명과 절대부등식,절대부등식 증명
original/high/h1/2mid/23_매산여고_2학기_중간_고1_기출.js,17,,,H15-SB-02-NECESSARY_SUFFICIENT,필요조건과 충분조건,역·대우의 진릿값과 조건 포함 관계
original/high/h1/2mid/23_매산여고_2학기_중간_고1_기출.js,19,,,H15-SB-02-PROOF,증명과 절대부등식,산술기하평균으로 하한·최댓값 판정
original/high/h1/2mid/23_매산여고_2학기_중간_고1_기출.js,22,,,H15-SB-02-PROPOSITION_BASIC,명제와 진리집합,존재명제의 부정과 전칭 조건
original/high/h1/2mid/23_매산여고_2학기_중간_고1_기출.js,23,,,H15-SB-02-PROOF,증명과 절대부등식,귀류법 증명
original/high/h1/2mid/22_강남여고_2학기_중간_고1_기출.js,8,H15-SB-02-PROPOSITION_BASIC,명제와 진리집합,H15-SB-02-PROOF,증명과 절대부등식,산술기하평균으로 곱의 최댓값
original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,9,H15-SB-02-PROPOSITION_BASIC,명제와 진리집합,H15-SB-02-PROOF,증명과 절대부등식,코시-슈바르츠로 역수합의 최솟값
original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,19,H15-SB-02-PROPOSITION_BASIC,명제와 진리집합,H15-SB-02-PROOF,증명과 절대부등식,코시-슈바르츠로 절대부등식의 극값
