questionUid,examId,standardUnitKey,subUnitKey,graphRequirement,graphRole,graphGapDisposition,problemImageRef,solutionImageRef,problemImageStatus,problemVisualType,problemVisualStatus,solutionImageStatus,baselineProblemImageHash,baselineSolutionImageHash
h1:original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js_12,original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/24_금당고_1학기_기말_고1_기출/q12.png,,PRESENT,,PRESENT,ABSENT,511a441e4edeec88875a494ec793b42813afc4829809e285f56a8678e9ee956e,
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_11,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/21_강남여고_2학기_기말_고1_기출/q11.png,,PRESENT,,PRESENT,ABSENT,f1a1de270e99ba7f81316c1034b450b3842a3ee2dc88cd0e052379b43466de6b,
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_12,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,SOLUTION_VISUAL_PRESENT,assets/images/21_강남여고_2학기_기말_고1_기출/q12.png,assets/images/21_강남여고_2학기_기말_고1_기출/q12-solution.svg,PRESENT,,PRESENT,PRESENT,b4692838d108825c90a103f090e335c0052817984c86660fc7240746c5dc018d,6488265104fcca7607e509e9503142bea501cde2419d26a671b9cfd0998e85d3
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_13,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,SOLUTION_VISUAL_PRESENT,assets/images/21_강남여고_2학기_기말_고1_기출/q13.png,assets/images/21_강남여고_2학기_기말_고1_기출/q13-solution.svg,PRESENT,,PRESENT,PRESENT,cf68f7a964f39b9481034d6c2a76680797d1d9458b8b0047de9e2e990b812a1c,cf7d4a353a10eb1fb5556d1aa6d3b30c4783bb4f90263c1c340692644afae2e4
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_14,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_강남여고_2학기_기말_고1_기출/q14-solution.svg,ABSENT,,ABSENT,PRESENT,,bd017230b31cce748bf193156877754a47cc34a33f0648933204b62e043446fb
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_16,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_APPLICATION,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,SOLUTION_VISUAL_PRESENT,assets/images/21_강남여고_2학기_기말_고1_기출/q16.png,assets/images/21_강남여고_2학기_기말_고1_기출/q16-solution.svg,PRESENT,,PRESENT,PRESENT,a61ad280a7311e4ad42c66d1c5868cc98206d36aa2283dbf2f80327036d09722,5b81641b397d9bc77c4eeab8cde1011d547d67aad7abac68595123837988c00f
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_17,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_APPLICATION,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_강남여고_2학기_기말_고1_기출/q17-solution.svg,ABSENT,,ABSENT,PRESENT,,cf53636e3c7915f2aafe2c9c9e42584851856f5e503285fcd3a2179204b1e94d
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_22,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,SOLUTION_VISUAL_PRESENT,assets/images/21_강남여고_2학기_기말_고1_기출/q22.png,assets/images/21_강남여고_2학기_기말_고1_기출/q22-solution.svg,PRESENT,,PRESENT,PRESENT,9837e558f128fbaba059d8942bebb221969e84609dab63422e745b18c6b5820a,d52847945df6d5019b01ce4bff6c6be394caa5a90f98f40d71b8799a230fae3a
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_23,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,SOLUTION_VISUAL_PRESENT,assets/images/21_강남여고_2학기_기말_고1_기출/q23.png,assets/images/21_강남여고_2학기_기말_고1_기출/q23-solution.svg,PRESENT,,PRESENT,PRESENT,ad20d0f5e73b133f91f7c22bbbafa9e40fcb3bf84ac1b8440c9f0177a87f07c3,769de7b0f9d21e37a4c23a095fa206941b47275a7730b636be638516c2719036
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_25,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
