questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|3,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,3,3,3,2015,수학(하),H15-SB-04,유리함수,4,H15-SB-04-RATIONAL_GRAPH,유리함수의 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,001068034956ba071a8d84f59b04fbc9c0834f7df74d9f1ef60c1970819066c0,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,9a061eb590c2f68a5f6185bfcbee61ac90d7b16de6b15fe8a16423f139369341,,,assets/images/21_강남여고_2학기_기말_고1_기출/q03-solution.svg,f83cdd0e8d0fa75698a47e8a6b7b497c3080fc855d881ec6b09f5589ee5d03a0,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,5524ab423f8449560888d6736d4502291d86ab8af6c31ec00642b8a30771a25c,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|3,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_3,f47712986bc3d52d0bb953cbfe9456e7c381d2184f9cc0cff851c467eb1eb6aa,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|12,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,12,12,12,2015,수학(하),H15-SB-04,유리함수,4,H15-SB-04-RATIONAL_GRAPH,유리함수의 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,891bd2e1a15e706957d90c4efdcb6aa93b7df0050da6f8d637259c1a418a6230,d8d5e171ac20bb6eb73b120def288ceae3ca1e9b71f4654dffed8dac8d1bea56,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,28dbc0443206836397c8274190e203b0c4051ec46ff7837a70f75336a2cd1816,assets/images/21_강남여고_2학기_기말_고1_기출/q12.png,b4692838d108825c90a103f090e335c0052817984c86660fc7240746c5dc018d,assets/images/21_강남여고_2학기_기말_고1_기출/q12-solution.svg,6488265104fcca7607e509e9503142bea501cde2419d26a671b9cfd0998e85d3,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,832247ee71be3febcea7906ad967773446659caa552d912ac9abc44130ba3526,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|12,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_12,f47712986bc3d52d0bb953cbfe9456e7c381d2184f9cc0cff851c467eb1eb6aa,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|16,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,16,16,16,2015,수학(하),H15-SB-04,유리함수,4,H15-SB-04-RATIONAL_APPLICATION,유리함수의 활용,category_or_cue_inferred,complete_category,객관식,grid,false,도형|그래프,9ef273ed66a9205db7efb1fbf21427338d9511daa13b639d21e0d31b5be182da,fc3dba98889cccd1a96f32fb71f7812a2d3b9dde603c59a1f87b932df48e085f,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,d38a356e720ccd3e4c38d42b3cb15c48016d2df1dbafeea5d40cfade0f77555c,assets/images/21_강남여고_2학기_기말_고1_기출/q16.png,a61ad280a7311e4ad42c66d1c5868cc98206d36aa2283dbf2f80327036d09722,assets/images/21_강남여고_2학기_기말_고1_기출/q16-solution.svg,5b81641b397d9bc77c4eeab8cde1011d547d67aad7abac68595123837988c00f,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,5e038ab678361933a38ba6fc81fe3b8dc87edb10f415d172569828bdd6723263,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|16,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_16,f47712986bc3d52d0bb953cbfe9456e7c381d2184f9cc0cff851c467eb1eb6aa,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|17,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,17,17,17,2015,수학(하),H15-SB-04,유리함수,4,H15-SB-04-RATIONAL_APPLICATION,유리함수의 활용,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,5c66a6abed0edd136013199e9998aa5b747a90419917cb3e2242e573d260558b,8e9b84caba423ca7cddd988836ca9ca8a95f3ba36503afd5ecab8d94f3fbdecb,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,3eea69c6f1d18ba326c2f6c1f188df309e7c898c61a32913fbd870915c4c94a7,,,assets/images/21_강남여고_2학기_기말_고1_기출/q17-solution.svg,cf53636e3c7915f2aafe2c9c9e42584851856f5e503285fcd3a2179204b1e94d,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,6ec9f24aa22d1405e9cca7510e4ea213ea9c447cc1628e8d0163d9a015acc74d,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|17,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_17,f47712986bc3d52d0bb953cbfe9456e7c381d2184f9cc0cff851c467eb1eb6aa,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|22,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,22,22,22,2015,수학(하),H15-SB-04,유리함수,4,H15-SB-04-RATIONAL_GRAPH,유리함수의 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,43b597e85ccdbc80f520a5db37bb1980459939764ba71238016badea3c949fd6,d601fd23445f2769d635c0f649aaf6d04b385a7d56c029a78b68ab105d958e27,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,24610cd6648534093c29f54e2737d4ec938bb993127e154b99059b2a19013dc6,assets/images/21_강남여고_2학기_기말_고1_기출/q22.png,9837e558f128fbaba059d8942bebb221969e84609dab63422e745b18c6b5820a,assets/images/21_강남여고_2학기_기말_고1_기출/q22-solution.svg,d52847945df6d5019b01ce4bff6c6be394caa5a90f98f40d71b8799a230fae3a,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,7ee98ac119bbe4058e2f56264d0da6e71f06f33fe973f8973e527d75d17d39e7,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|22,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_22,f47712986bc3d52d0bb953cbfe9456e7c381d2184f9cc0cff851c467eb1eb6aa,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|28,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,28,28,28,2015,수학(하),H15-SB-04,유리함수,4,H15-SB-04-RATIONAL_APPLICATION,유리함수의 활용,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|그래프,5bbdb48e95508964109564e9168caf41ef67aadae636d17b1005b27daaedc53b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1e459d0bde220e1a922a052c97a64a8ba011f92b6814305f76def5741e118c57,021b72d7333fccec6ec0d7c12ab39f770038ad47e9e8735ac396c6f2397672dd,,,assets/images/21_강남여고_2학기_기말_고1_기출/q28-solution.svg,736e19eaf0595425c136933b456ae18f5b36e6a8a07b491cf997882a9476c45c,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,e492dc0f8e0309a0a683187acdaeb729a29de198d81c5336829f204d9eb7e986,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|28,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_28,f47712986bc3d52d0bb953cbfe9456e7c381d2184f9cc0cff851c467eb1eb6aa,true,$16$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|2,archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,21_금당고_2학기_기말_고1_기출,2,2,2,2015,수학(하),H15-SB-04,유리함수,4,H15-SB-04-RATIONAL_BASIC,유리함수의 뜻과 계산,category_or_cue_inferred,complete_category,객관식,grid,false,,d654bc39ae3e7f94d7b2284a5e7b6e8954ea61b583f4298ea0e5f6a09a7e63e5,a40d8cddcd59fbaf2c633a16f776d031231fb86dd1b98a27b348138219435054,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,03fa4498e0df9cd3cc8a6268ea83ee3173a51cec47e017c994a01dd172917287,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|2,,INDEX_RECORD_PRESENT,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_2,f57a459d83644ea31d0d9f4c030f95af6a8a43d526e99190686d9d69778df173,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|9,archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,21_금당고_2학기_기말_고1_기출,9,9,9,2015,수학(하),H15-SB-04,유리함수,4,H15-SB-04-RATIONAL_BASIC,유리함수의 뜻과 계산,category_or_cue_inferred,complete_category,객관식,grid,false,,7de892c03857a094bed546cc7606818b87d602940bd5ac8446d0183c1605277e,e0d97c9019866472897be616b4b44634dd3f90c486dd75fb0aa9593501c65aef,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,d48e280ec5fd2d74a684483795833432b23735bba0b0bde566b87d6415a0396e,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|9,,INDEX_RECORD_PRESENT,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_9,f57a459d83644ea31d0d9f4c030f95af6a8a43d526e99190686d9d69778df173,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|22,archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,21_금당고_2학기_기말_고1_기출,22,22,22,2015,수학(하),H15-SB-04,유리함수,4,H15-SB-04-RATIONAL_BASIC,유리함수의 뜻과 계산,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|그래프,69cfe3eeb81b3bd6f541e9d287253fb29170e9eaef78a95f40ae063252322850,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,82c9cdfb0a155c2f1158330dd77c6ebe6ae96715d7efbb4b71f01ab8a43fa020,e702d56b7a621ca7c33299d9d169d306c3a24a1978f73eedd9e48aad1c5bcd8f,,,assets/images/21_금당고_2학기_기말_고1_기출/q22-solution.svg,94e3c7f108bed9ce9d9cebe3d68cd803121801a10187460e141cf107d605e4f7,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,6bb6c76fc1b7924bf2e7b2bd3b87ccd6a394222d209c03779b04d3d51e396053,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|22,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_22,f57a459d83644ea31d0d9f4c030f95af6a8a43d526e99190686d9d69778df173,true,$900$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|3,archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,21_복성고_2학기_기말_고1_기출,3,3,3,2015,수학(하),H15-SB-04,유리함수,4,H15-SB-04-RATIONAL_BASIC,유리함수의 뜻과 계산,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,4997d07bcf8b293ab949501dea9b1d5a13f4f27cf3f4eea127d77e1ba5cc9179,6ae82629187cec94799064ce9949d4656acf358026f2d9a113be53c41a69ab19,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,ea99fa4bc93e9e1deb1bf39720d6c7c908fa87f7cfc150a5c5ac23fb76d69e8a,,,assets/images/21_복성고_2학기_기말_고1_기출/q03-solution.svg,188ec47378831627e403351f2d4877c4a24e87a9a4f4c7221763d0af7f77dc7c,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,4771095ddaa993b60c3b1897379261a6d4fcea76bd8c3f28c87eaac3a5943e3e,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|3,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_3,460e78d33f4c0274f5c317b925257e84504942f41ce73129d715ac3ee36a57ce,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
