questionUid,examId,standardUnitKey,subUnitKey,graphRequirement,graphRole,graphGapDisposition,problemImageRef,solutionImageRef,problemImageStatus,solutionImageStatus,baselineProblemImageHash,baselineSolutionImageHash
h1:original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js_12,original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/24_금당고_1학기_기말_고1_기출/q12.png,,PRESENT,ABSENT,511a441e4edeec88875a494ec793b42813afc4829809e285f56a8678e9ee956e,
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_11,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/21_강남여고_2학기_기말_고1_기출/q11.png,,PRESENT,ABSENT,f1a1de270e99ba7f81316c1034b450b3842a3ee2dc88cd0e052379b43466de6b,
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_12,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/21_강남여고_2학기_기말_고1_기출/q12.png,,PRESENT,ABSENT,b4692838d108825c90a103f090e335c0052817984c86660fc7240746c5dc018d,
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_13,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/21_강남여고_2학기_기말_고1_기출/q13.png,,PRESENT,ABSENT,cf68f7a964f39b9481034d6c2a76680797d1d9458b8b0047de9e2e990b812a1c,
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_14,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,PRIORITY_1_EXPLICIT_GRAPH_CANDIDATE,,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_16,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_APPLICATION,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/21_강남여고_2학기_기말_고1_기출/q16.png,,PRESENT,ABSENT,a61ad280a7311e4ad42c66d1c5868cc98206d36aa2283dbf2f80327036d09722,
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_17,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_APPLICATION,UNADJUDICATED,SOLUTION_CANDIDATE,PRIORITY_1_EXPLICIT_GRAPH_CANDIDATE,,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_22,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/21_강남여고_2학기_기말_고1_기출/q22.png,,PRESENT,ABSENT,9837e558f128fbaba059d8942bebb221969e84609dab63422e745b18c6b5820a,
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_23,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,SOLUTION_VISUAL_PRESENT,assets/images/21_강남여고_2학기_기말_고1_기출/q23.png,assets/images/21_강남여고_2학기_기말_고1_기출/q23-solution.svg,PRESENT,PRESENT,ad20d0f5e73b133f91f7c22bbbafa9e40fcb3bf84ac1b8440c9f0177a87f07c3,d049d660837da764b3750eff81c2ea3a73778df20c4cf133639c304091a512f7
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_25,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,ABSENT,,
