id,displayNo,questionType,pageNo,hasVisualAsset,fullPageImagePath,image,answerStatus,solutionStatus
1,1,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p001.png,,external_agent_required,external_agent_required
2,2,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p001.png,,external_agent_required,external_agent_required
3,3,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p001.png,,external_agent_required,external_agent_required
4,4,,1,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p001.png,,external_agent_required,external_agent_required
5,5,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p002.png,,external_agent_required,external_agent_required
6,6,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p002.png,,external_agent_required,external_agent_required
7,7,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p002.png,,external_agent_required,external_agent_required
8,8,,2,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p002.png,,external_agent_required,external_agent_required
9,9,,3,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p003.png,,external_agent_required,external_agent_required
10,10,,3,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p003.png,,external_agent_required,external_agent_required
11,11,,3,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p003.png,,external_agent_required,external_agent_required
12,12,,3,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p003.png,,external_agent_required,external_agent_required
13,13,,4,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p004.png,,external_agent_required,external_agent_required
14,14,,4,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p004.png,,external_agent_required,external_agent_required
15,15,,4,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p004.png,,external_agent_required,external_agent_required
16,16,,4,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p004.png,,external_agent_required,external_agent_required
17,17,,5,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p005.png,,external_agent_required,external_agent_required
18,18,,5,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p005.png,,external_agent_required,external_agent_required
19,서술형1,,6,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p006.png,,external_agent_required,external_agent_required
20,서술형2,,6,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p006.png,,external_agent_required,external_agent_required
21,서술형3,,6,False,C:\Users\USER\Desktop\AP-------merge-taxonomy-wt\archive\_generated\past-exam-v3-gold-5sample-20260910\gold-05-24-buyeong\fresh-05-corrected\extraction\pages\page_p006.png,,external_agent_required,external_agent_required
