questionUid,field,assetPath,assetSha256,naturalSize,visualRequirement
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|16,image,archive/assets/images/25_금당고_2학기_기말_고1_기출/q16.png,67139371d8dc2faed6a958072bca393a5de3f070a595b5bac1bb1b316cbed88f,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|22,solutionImage,archive/assets/images/25_금당고_2학기_기말_고1_기출/q22-solution.svg,5713a3cba53ba07a739341a783ccf45fccb3a2ab933bbc875589d9fea04a71f2,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|17,solutionImage,archive/assets/images/25_순천고_2학기_기말_고1_기출/q17-solution.svg,1373b9f7554b5014edcf7f59464bec30a12f7d55343b7bd573f5d723c014098d,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|23,solutionImage,archive/assets/images/25_순천고_2학기_기말_고1_기출/q23-solution.svg,b85e6f39b32ec848acbf00a36de0a305254bfccafc1286fe8e58fa2718b63f14,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|11,solutionImage,archive/assets/images/25_제일고_2학기_기말_고1_기출/q11-solution.svg,c3b870bde68349b8d9bb847a481603e746978c75d086022fd639551550b24ec4,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|17,image,archive/assets/images/25_제일고_2학기_기말_고1_기출/q17.png,569b51b660358d391fb64d3318c56212a8dc21b961690d75072a42543468c28c,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js|25_팔마고_2학기_기말_고1_기출|5,image,archive/assets/images/25_팔마고_2학기_기말_고1_기출/q05.png,ada8eeaf649f604be115d0414dcad3064e6e6c9a2f5404ea9591f503c7b067a3,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js|25_팔마고_2학기_기말_고1_기출|18,image,archive/assets/images/25_팔마고_2학기_기말_고1_기출/q18.png,8491fec960056130eba5f8b6b913e6a3f9bb13d2194de586f1f1a02962201e9f,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js|25_팔마고_2학기_기말_고1_기출|23,solutionImage,archive/assets/images/25_팔마고_2학기_기말_고1_기출/q23-solution.svg,bbb8519811b5b4494787e557401dd86cd57f469ecd96cd8a39fefd12d3cc3b63,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js|25_효천고_2학기_기말_고1_기출|8,solutionImage,archive/assets/images/25_효천고_2학기_기말_고1_기출/q08-solution.svg,d4aa7e5eb3dadcf2adcfa375fef62ffd094a8b58f874e547aa825218d36a330d,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js|25_효천고_2학기_기말_고1_기출|11,solutionImage,archive/assets/images/25_효천고_2학기_기말_고1_기출/q11-solution.svg,f6c2c0c919cac52bb03462cb868a1802e1a76419416b3cd0df1a406f2dd03c59,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js|25_효천고_2학기_기말_고1_기출|13,image,archive/assets/images/25_효천고_2학기_기말_고1_기출/q13.png,e5be55fa4a0090305be349f68232215951f449962cf6a86475bf84adfee9d67c,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
