questionUid,qKey,standardUnitKey,subUnitKey,problemImageStatus,problemVisualType,problemVisualStatus,solutionImageStatus,graphGapDisposition,graphCandidateScore,graphCandidateReasons,graphRequirement,qualityDisposition,placeholderFound,contentPreview
h1:original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js_12,original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js_12,H15-SB-03,H15-SB-03-FUNCTION_RELATION,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"$y=f(x)$, $y=g(x)$, $y=h(x)$의 그래프가 다음 그림과 같을 때, 연립부등식 $h(x)>f(x)>g(x)$의 해는?"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_11,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_11,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"두 함수 $f,g$가 그림과 같을 때, $(g\circ f)^{-1}(2)+(f\circ g)^{-1}(2)$의 값을 구하면? [3.3점]"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_12,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_12,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"그림과 같이 직선 $x=n$ $(n=1,2,3,\cdots)$이 두 함수 $y=\dfrac4x$와 $y=\dfrac4{x+1}$의 그래프에 의하여 잘린 선분의 길이를 $f(n)$이라 할 때, $f(1)+f(2)+f(3)+f(4)+f(5)$의 값은? [3.5점]"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_13,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_13,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"무리함수 $y=\sqrt{ax+b}+c$의 그래프가 오른쪽 그림과 같을 때, $\dfrac{|a|}{a}+\dfrac{|b|}{b}+\dfrac{|c|}{c}$의 값은? [3.3점]"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_14,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_14,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"일차함수 $f(x)$에 대하여 함수 $y=\dfrac{f(x)+5}{2-f(x)}$의 그래프의 점근선은 두 직선 $x=4$, $y=-1$이다. $f(1)=5$일 때, $f(3)$의 값은? [3.3점]"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_16,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_16,H15-SB-04,H15-SB-04-RATIONAL_APPLICATION,PRESENT,,PRESENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"초점거리가 4로 일정한 렌즈가 있다. 렌즈에서 상이 생긴 지점까지 거리를 $x$라 하고, 렌즈에서 물체까지의 거리를 $y$라 할 때, $\dfrac1x+\dfrac1y=\dfrac14$의 식이 성립한다. 점 $(x,y)$를 좌표평면 위에 나타내면 점근선이 직선 $x=a$, $y=b$인 유리함수의 그래프의 일부라고 할 때, 두 상수 $a,b$의 합 $a+b$의 값은? [3.4점]"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_17,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_17,H15-SB-04,H15-SB-04-RATIONAL_APPLICATION,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"1보다 큰 실수 $a$에 대하여 직선 $x=a$가 두 함수 $y=\dfrac1{x-1}$, $y=-4x$의 그래프와 만나는 점을 각각 $P,Q$라 하자. 선분 $PQ$ 길이의 최솟값은? [3.4점]"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_22,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_22,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $y=f(x)$의 그래프가 그림과 같다. $f(x)$의 역함수가 $g(x)=\dfrac{ax+b}{x+c}$일 때, $2a+b+c$의 값은? [3.5점]"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_23,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_23,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,PRESENT,,PRESENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"그림과 같이 두 상수 $a,b$에 대하여 함수 $f(x)=a\sqrt{x+5}+b$의 그래프와 역함수 $f^{-1}(x)$의 그래프가 만나는 점을 $A$라 하자. 곡선 $y=f(x)$ 위의 점 $B(-1,7)$과 곡선 $y=f^{-1}(x)$ 위의 점 $C$에 대하여 삼각형 $ABC$는 $\overline{AB}=\overline{AC}$인 이등변삼각형이다. 삼각형 $ABC$의 넓이가 64일 때, $a+b$의 값은? (단, 점"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_25,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_25,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"집합 $X=\{1,2,3,4,5,6\}$에 대하여 다음 조건을 만족시키는 함수 $f:X\to X$의 개수는? [4점]<br><div class=""note-box"">(가) $f$는 일대일대응이다.<br>(나) $f(f(1))=1$<br>(다) $f(2)-f(1)=2$</div>"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_27,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_27,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형2]<br>함수 $f(x)=\dfrac{ax+b}{x+c}$의 그래프가 오른쪽 그림과 같을 때, 함수 $g(x)=\sqrt{ax+b}+c$의 그래프가 지나는 사분면을 구하시오. [5점]<br>(단, 풀이과정을 자세히 쓰시오.)"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_28,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_28,H15-SB-04,H15-SB-04-RATIONAL_APPLICATION,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형3]<br>$-3\le x\le6$에서 정의된 함수 $f(x)=\dfrac{k}{x+4}-3$의 그래프가 점 $(-2,-4)$를 지난다. 함수 $f(x)$의 최댓값을 $M$, 최솟값을 $m$이라 할 때, 최댓값과 최솟값의 곱 $M\times m$을 구하여라. [5점]<br>(단, 풀이과정을 자세히 쓰시오.)"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_29,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_29,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형4]<br>함수 $y=\sqrt{x+|x|}$의 그래프와 직선 $y=x+k$가 서로 다른 세 점에서 만나도록 하는 실수 $k$의 값의 범위를 구하여라. (단, 풀이과정을 자세히 쓰시오.) [5점]"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_3,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_3,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $y=\dfrac{2x-3}{x-1}$의 그래프의 두 점근선의 교점의 좌표가 $(a,b)$일 때, $b-a$의 값은? [2.5점]"
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_4,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_4,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,ABSENT,,ABSENT,ABSENT,PRIORITY_1_EXPLICIT_GRAPH_CANDIDATE,8,explicit-graph,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,다음 무리함수의 그래프 중 평행이동에 의하여 무리함수 $y=\sqrt{2x}$의 그래프와 겹쳐지는 것은? [2.5점]
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_11,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_11,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,ABSENT,,ABSENT,ABSENT,PRIORITY_2_GRAPH_RELATION_CANDIDATE,7,graph-subunit|graph-relation,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $f(x)=\sqrt{2x-8}$가 있다. 함수 $g$가 $1$ 이상의 모든 실수 $x$에 대하여 $f^{-1}(g(x))=3x+1$을 만족시킬 때, $g(2)$의 값을 구하시오. [4점]"
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_12,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_12,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"점 $(-11,7)$을 지나는 함수 $f(x)=\sqrt{a-2x}+2$에 대하여 $-3\le x\le1$에서 함수 $f(x)$의 최댓값을 $M$, 최솟값을 $m$이라 할 때, $M+m$의 값을 구하시오. (단, $a$는 상수이다.) [4.1점]"
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_18,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_18,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"그림에서 곡선 $y=\sqrt{5x}$ 그래프는 직선 $y=m(x+3)$과 서로 다른 두 점에서 만나고 있다. 직선과 $x$축의 교점을 $A$, 직선 $y=m(x+3)$과 곡선 $y=\sqrt{5x}$의 두 교점을 $B,C$라 하자. 교점을 잇는 선분 $\overline{AB},\overline{BC}$는 $\overline{AB}:\overline{BC}=3:2$의 비가 성립한다. 그 때 상수 $m$에 대하여 $240m$의 "
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_19,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_19,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"집합 $X=\{1,2,3,4,5,6,7\}$에 대하여 함수 $f:X\to X$가 역함수가 존재하고, 다음 조건을 만족시킨다.<br><div class=""question-note-box"">(가) $x=1,2,6$일 때, $(f\circ f)(x)+f^{-1}(x)=2x$이다.<br>(나) $f(3)+f(5)=10$<br>(다) $f(6)\ne6$</div>$f(4)\times\{f(7)-f(6)\}$의 값을 구하시오. [4.7점"
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_2,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_2,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,유리식 $\left(1-\dfrac1x\right)\times\dfrac{x}{1-x}$를 간단히 하면? [3.6점]
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_22,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_22,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"<서답형 2><br>좌표평면에서 점 $A$와 점 $B$는 각각 함수 $y=\dfrac{20}{x}$와 함수 $y=-\dfrac{45}{x}$의 그래프의 점이다. 점 $A$와 점 $B$의 $x$좌표가 모두 양수일 때, 원점 $O$에 대하여 삼각형 $OAB$의 넓이의 최솟값의 제곱의 값을 구하고 서술하시오. [10점]<br>(풀이 과정에 부분 점수 있으며, 답만 적으면 풀이 과정 배점하지 않음.)"
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_3,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_3,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,함수 $f(x)=2x-5$에 대하여 $f^{-1}(-3)$의 값을 구하시오. [3.6점]
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_4,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_4,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $y=\sqrt{ax}$의 그래프를 $x$축의 방향으로 $m$만큼, $y$축의 방향으로 $n$만큼 평행이동 하였더니 함수 $y=\sqrt{2-2x}+4$의 그래프와 일치하였다. 세 상수 $a,m,n$에 대하여 $a+m+n$의 값을 구하시오. [3.6점]"
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_8,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_8,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $f(x)=x^2-6x+10\ (x\ge3)$에서 함수 $y=f(x)$의 그래프와 그 역함수 $y=f^{-1}(x)$의 그래프의 교점을 $P$라고 할 때, 선분 $OP$의 길이를 구하시오. (단, $O$는 원점) [3.8점]"
