questionUid,sourceJsPath,id,standardUnitKey,answer,extractedConclusion,solutionLength,staticStatus,independentSolveStatus,solutionDisposition,findings,jumpSignals
"23_복성고_1학기_기말_고2_수학I::q1","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","1","H15-M1-06","①","①","199","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q2","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","2","H15-M1-08","⑤","⑤","186","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q3","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","3","H15-M1-08","④","④","212","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q4","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","4","H15-M1-10","①","①","387","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q5","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","5","H15-M1-05","②","②","246","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q6","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","6","H15-M1-06","③","③","356","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q7","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","7","H15-M1-10","①","①","229","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q8","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","8","H15-M1-05","④","④","334","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q9","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","9","H15-M1-08","②","②","301","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"23_복성고_1학기_기말_고2_수학I::q10","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","10","H15-M1-05","③","③","381","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","정리하면"
"23_복성고_1학기_기말_고2_수학I::q11","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","11","H15-M1-05","⑤","⑤","440","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q12","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","12","H15-M1-09","③","③","244","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q13","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","13","H15-M1-10","②","②","275","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q14","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","14","H15-M1-05","①","①","734","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q15","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","15","H15-M1-05","⑤","⑤","799","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q16","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","16","H15-M1-07","③","③","471","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q17","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","17","H15-M1-09","⑤","⑤","615","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q18","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","18","H15-M1-06","④","④","790","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q19","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","19","H15-M1-06","②","②","685","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q20","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","20","H15-M1-05","$\dfrac{\sqrt2}{2}$","","476","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q21","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","21","H15-M1-07","$0\le x\le \dfrac{\pi}{3}$ 또는 $\dfrac{5\pi}{3}\le x<2\pi$","","501","REVIEW","PENDING","UNFROZEN","",""
"23_복성고_1학기_기말_고2_수학I::q22","archive/exams/original/high/h2/1final/23_복성고_1학기_기말_고2_수학I.js","22","H15-M1-05","$\dfrac{\sqrt3}{3}$","","705","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q1","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","1","H15-M1-07","④","④","350","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q2","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","2","H15-M1-05","④","④","367","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q3","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","3","H15-M1-10","③","③","253","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q4","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","4","H15-M1-08","①","①","321","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"23_제일고_1학기_기말_고2_수학I::q5","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","5","H15-M1-05","②","②","376","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q6","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","6","H15-M1-05","①","①","259","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q7","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","7","H15-M1-07","②","②","441","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q8","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","8","H15-M1-05","⑤","⑤","733","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q9","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","9","H15-M1-06","⑤","⑤","631","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q10","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","10","H15-M1-05","③","③","633","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q11","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","11","H15-M1-08","②","②","299","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"23_제일고_1학기_기말_고2_수학I::q12","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","12","H15-M1-10","④","④","414","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q13","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","13","H15-M1-09","③","③","303","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q14","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","14","H15-M1-10","②","②","305","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","정리하면"
"23_제일고_1학기_기말_고2_수학I::q15","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","15","H15-M1-10","④","④","349","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q16","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","16","H15-M1-09","⑤","⑤","332","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","계산하면"
"23_제일고_1학기_기말_고2_수학I::q17","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","17","H15-M1-11","③","③","418","REVIEW","PENDING","UNFROZEN","",""
