questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|1,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,1,1,1,2015,수학(상),H15-SA-12,도형의 이동,12,H15-SA-12-REFLECTION,대칭이동,rule_inferred,complete_rule,객관식,grid,false,객관식|대칭이동|좌표,e8e070da2667957dece2bb3a9ff7d07b4769186945e4653a22acb4c104d1866d,495ae4c00b26c0a6eb2227f96ea6c141db744ee1dd08bca361dbb76f5a96679c,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,c12281fa394c012070d169c4c80c651a44966898ee76446996477148ea19ce6e,,,assets/images/22_금당고_1학기_기말_고1_기출/q01-solution.svg,f6e10abf5563ecc36cd26465ab7f915e8834b1757caf71ddfe7cf898271a62b0,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|COUNTING_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,dc71340e8d852cd55f6e6e545a07d3f8c27753a862dc230564098aaecbd49509,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|1,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_1,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|7,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,7,7,7,2015,수학(상),H15-SA-12,도형의 이동,12,H15-SA-12-REFLECTION,대칭이동,rule_inferred,complete_rule,객관식,grid,false,객관식|원|대칭이동|중심,0ebdc66a74478f0b6daecfbee49b14e90c2895b140fd08deb7c8ba13f737ee8e,782c4e648a8f5ab77347d7a5a0e4588ad1be8872f7b4bce76bc515574b51bffb,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,d5a895cfc7b2a21d697f65ddb89b98908de0d0c090c7335412aaa4d235f62b1c,,,assets/images/22_금당고_1학기_기말_고1_기출/q07-solution.svg,d2788a3f63e34d133db1461b53c710e2a848db661333b3e18bb16d82e31ab1fc,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,87c01ed5c5980343db0bd7e2966fc84df961bf8f8c1ebdf0fda3c866a18bc1de,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|7,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_7,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|14,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,14,14,14,2015,수학(상),H15-SA-12,도형의 이동,12,H15-SA-12-TRANSLATION,평행이동,rule_inferred,complete_rule,객관식,grid,false,객관식|평행이동|원|접선,85b0e79f4e2c7cb6579a4a951e7cec52b4aa923a381dd7d0e194f6bffd1b0533,2c9fcb8996270866634bd47db36d5b6d45eb4246c4e9c0647210ccc5e0599e7d,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,e32cf1885f79c8a810ecaf3b62b34fb85842c357e9460786cd31f626d113d445,,,assets/images/22_금당고_1학기_기말_고1_기출/q14-solution.svg,8e895fe989cd41b9c214236ac579ac52b54d737a2db7b303f0b4d4d688ccec3f,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,eac664a4b01f00eae046a3eede363728d4c707d6a7d399dc0dfac8eaacfe5a50,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|14,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_14,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|16,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,16,16,16,2015,수학(상),H15-SA-12,도형의 이동,12,H15-SA-12-COMPOSITE_TRANSFORMATION,합성 변환,rule_inferred,complete_rule,객관식,grid,true,객관식|원|평행이동|대칭이동|최솟값,822ad357775c4d2cdfe77737f62d86767d01c019ade9ee18c809eafa317083a0,6c85c361cea1e764320aa7f08c230ff6367c3442f838529f3a7d2bec0b4c4861,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,e952be218e596710e66e899a231999d3fc0b84448daa2b8aefc2657f9cc043c7,assets/images/22_금당고_1학기_기말_고1_기출/q16.png,724554ea41a8f2ff09ae95a4e50bb4fa1b8c22b26378f62037636e65bbf1c266,assets/images/22_금당고_1학기_기말_고1_기출/q16-solution.svg,82a79bf67eac8e680a56b1c9c9c1016d4dc48f3d628a25d505f32633d977c953,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,b2f00b2c17256e261d9da9b6caeea4a4965ba188adf11b250be010ea3fc687d4,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|16,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_16,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|2,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,2,2,2,2015,수학(상),H15-SA-12,도형의 이동,12,H15-SA-12-TRANSLATION,평행이동,rule_inferred,complete_rule,객관식,grid,false,객관식|도형의 이동|고1|기말,24b8649e5be81b479bcfe27516e96dda9e41dca9783dbbef8c5f498052a660ae,2d36022367dc57b618794bca59abf8b7e1de17e6b5aa2ffee6592fb5911055d6,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,25d3db66c600561f5a0362a47901f19a8d94d18a6a4eacf7bd912a35cd5dd375,,,assets/images/22_매산고_1학기_기말_고1_기출/q02-solution.svg,193c985e1934477ef23501f1fd9b098ca90f07f456222a4ee1bb2c9a9e781c85,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,49c7d77ffdaa6e50b8ee3be4394a2709787fb0e29a269f09863a66bb030ecc6a,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|2,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_2,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|7,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,7,7,7,2015,수학(상),H15-SA-12,도형의 이동,12,H15-SA-12-COMPOSITE_TRANSFORMATION,합성 변환,rule_inferred,complete_rule,객관식,grid,false,객관식|도형의 이동|고1|기말,7744094f4c0f4c1c0ccd319bf965180888600de8e1f46c5f3ed5111f2a0ab9c6,799bc7e90d6418516704615d10aab20471b54bd0b384859bcd414ea43b657a47,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,191a2aebbe0e5074ccab48b96d087367aaf83c3e60c793da998ef05896a91251,,,assets/images/22_매산고_1학기_기말_고1_기출/q07-solution.svg,b941369f009981252bf54f5714a662bccda9bb696a6a1a1995d9102c4ce8c68d,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,6b10bd5ca3dc0577e566b6cb3e8031a3f09272d042d0e13b11db4cabdc7714fb,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|7,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_7,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|12,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,12,12,12,2015,수학(상),H15-SA-12,도형의 이동,12,H15-SA-12-COMPOSITE_TRANSFORMATION,합성 변환,rule_inferred,complete_rule,객관식,grid,false,객관식|도형의 이동|고1|기말,78f0562cf00847d9ad5bc357df48bd063f4a59c986b11a056743ca99477a3e7c,c130fe227af15f54befbed07cf57faeabc36d43410ff58093d52d22f8c06c8f6,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,844940a51fdf18eccb996a8ecec96b53c7ce767820a0480db1942bf41144b0bd,assets/images/22_매산고_1학기_기말_고1_기출/q12.png,718bbc0a9814996dcd924a80df80007f471254b305a1538470d16e41446c43dc,assets/images/22_매산고_1학기_기말_고1_기출/q12-solution.svg,1a8e5d7901182adcc399db44324f8ca5edabb1f04e38cf6a3ed597042cf047a8,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,9998a415f964b5a8b0eb17c57b93207d7fd630e2c3ca1c30b9d98ad65f5835bd,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|12,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_12,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|13,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,13,13,13,2015,수학(상),H15-SA-12,도형의 이동,12,H15-SA-12-REFLECTION,대칭이동,rule_inferred,complete_rule,객관식,grid,false,객관식|도형의 이동|고1|기말,45d37d8864be9f2ba23bd8f455053ed6baa9c9d25bacdf4ea23c6edeb002c9c8,37fdb19ece9aea296d5379f4222db088e4fcbc9519127d9d3737224541307c03,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,9a01c783d10633eed750806bee57a286edf2c6687286a75805b254c451293c7c,,,assets/images/22_매산고_1학기_기말_고1_기출/q13-solution.svg,66cc2f1bac5b3da5e8291908d3937ed916f2c331de53df4692f5831600a0f22b,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,116bc6cba9c693c1243359f3cc98009980a70f6235ec59362b264c9d7fe16237,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|13,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_13,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|1,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,1,1,1,2015,수학(상),H15-SA-12,도형의 이동,12,H15-SA-12-TRANSLATION,평행이동,rule_inferred,complete_rule,객관식,grid,false,객관식|평행이동|좌표,030bc4ce87d1e849462e9c3047277cc89808b493d988eb8e0e7460a548fa25da,057b770f23e6626501f9f5bc20aed6f66f12cfeb64f78c5374c16f997c0d993e,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,ecbafb96716a12ad42f7ae25d092f05f73142e4f9f5ab90343d16d66ef85c02b,,,assets/images/22_복성고_1학기_기말_고1_기출/q01-solution.svg,6b8e79aaf578e658ae8e5b346c515def5c7aacbe75e4e95e1e7a5520766b2a1c,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,a3698cf409cf4d7f8c4eadc3bea3e5222da9913d9cf52cde1d08b2f42647ace3,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|1,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_1,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|9,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,9,9,9,2015,수학(상),H15-SA-12,도형의 이동,12,H15-SA-12-COMPOSITE_TRANSFORMATION,합성 변환,rule_inferred,complete_rule,객관식,grid,false,객관식|원|평행이동|대칭이동,cf1708077d39219e769aa0c2db8104099a5f70dbe38850574ab76db92e6a6174,2ac36b2abd488167286a048635e2c03f6bced182a0f6e729b1804a171278772d,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,335206e6c132dd6f78eb03ab40b26721e1e76f85408481d2af8eadc3be37af10,,,assets/images/22_복성고_1학기_기말_고1_기출/q09-solution.svg,a9bc3ab3d7c1d28b4df92854571228bf5561da62a2b69869fde248e31eba8b54,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,aa50bb8db176693687cab008c360145b6fd65c8a551b1898cb23315887300657,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|9,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_9,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
