questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js|22_제일고_1학기_기말_고1_기출|1,archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,22_제일고_1학기_기말_고1_기출,1,1,1,2022,공통수학1,H22-C-06,여러 가지 방정식과 부등식,6,H22-C-06-SYSTEM_OF_EQUATIONS,연립방정식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|연립방정식|고1|기말,dfdc898df9496a31cebd4bf65c1ee7ab7d12788bd2f63182f38d804b47466e7a,33df25322b696566a74a473e6940f30d5f9cef7ece09c5631ef8d9de89413abe,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,1d4cd5dc58c7045944634f3afbec3eaa7b546a8d80b7f802e21827e326ab71b8,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js|22_제일고_1학기_기말_고1_기출|1,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js_1,81a102a44f1b2ee8f922ec6cb537e858573cb5f4e9c2435f8252f26ac212cca4,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js|22_제일고_1학기_기말_고1_기출|2,archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,22_제일고_1학기_기말_고1_기출,2,2,2,2022,공통수학1,H22-C-06,여러 가지 방정식과 부등식,6,H22-C-06-EQUATION_APPLICATION,방정식과 부등식의 활용,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|부등식의 활용|고1|기말,37537fcf9f039804db50c30f8d68f2d53f850787306508d664887ff20d86e52d,a9a305fb999635d4832821f2d5de14dc752a167e934bd51b60329d524c6a4760,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,b16f79ee0afa26039efdfc4356248682cd1af4e6088433524597a0ab35f78fd1,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js|22_제일고_1학기_기말_고1_기출|2,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js_2,81a102a44f1b2ee8f922ec6cb537e858573cb5f4e9c2435f8252f26ac212cca4,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js|22_제일고_1학기_기말_고1_기출|3,archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,22_제일고_1학기_기말_고1_기출,3,3,3,2022,공통수학1,H22-C-06,여러 가지 방정식과 부등식,6,H22-C-06-HIGHER_INEQUALITY,여러 가지 부등식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|연립부등식|고1|기말,bad7d81f85ef3d31c52d125ba45c1b8be99eae16fc63fc62fecf0574bddacbbe,309c803a2ab5eb31752ee8b2cbdd15dbc55b9182c32944ae07d89be065ca1331,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,5d661e784351efb0cdb98eeff881d05e0b5ab51935a799b0526141ff77537675,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js|22_제일고_1학기_기말_고1_기출|3,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js_3,81a102a44f1b2ee8f922ec6cb537e858573cb5f4e9c2435f8252f26ac212cca4,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js|22_제일고_1학기_기말_고1_기출|4,archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,22_제일고_1학기_기말_고1_기출,4,4,4,2022,공통수학1,H22-C-06,여러 가지 방정식과 부등식,6,H22-C-06-INEQUALITY,여러 가지 부등식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|이차부등식|고1|기말,d9c160f71e1f5674a61894abefa378c61a8b2882618c0b718ec0262ce31f5486,28663961c834d7bbb182de47f578e117af73dd0f6e2ef13ab7c0d3fbdb7a8485,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,cc3cdd77183de73dcf2f76dc978cb141af5f351258db7ff0a93cfb17642e3714,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js|22_제일고_1학기_기말_고1_기출|4,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js_4,81a102a44f1b2ee8f922ec6cb537e858573cb5f4e9c2435f8252f26ac212cca4,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js|22_제일고_1학기_기말_고1_기출|19,archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,22_제일고_1학기_기말_고1_기출,19,19,19,2022,공통수학1,H22-C-06,여러 가지 방정식과 부등식,6,H22-C-06-INEQUALITY,여러 가지 부등식,category_or_cue_inferred,complete_category,단답형,grid,false,서술형|절댓값 부등식|고1|기말,bb09afffbcdc2db6c3d8138cbc5f2a0da3b16ace95bf151f9187e15e29e5bf31,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,fcb5d82b70eada06f4abe7003fbc4e9161dcce2f10394224f9ea92d4156c2494,2184832787e53adbc6456543e433928fd5a529b3608fa9888be61407c22e7594,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js|22_제일고_1학기_기말_고1_기출|19,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js_19,81a102a44f1b2ee8f922ec6cb537e858573cb5f4e9c2435f8252f26ac212cca4,true,$-\dfrac32\le x\le\dfrac32$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js|22_효천고_1학기_기말_고1_기출|13,archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js,22_효천고_1학기_기말_고1_기출,13,13,13,2015,수학(상),H15-SA-06,이차방정식의 근과 계수,6,H15-SA-06-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|이차방정식|근과계수|판별식|최대최소,acc7fd5d7a13cc402616aa6aedcdaa69da1bc6d7e2f49e2112d9dc45e0bc5d12,12f6fd899d6ccdb8ca3a2f4da51b2b7eeb432ac35b4179b286cdd5376f6f3cbc,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,0c28bb3672f849c3d216ee8d04b1b384d5cdf6502543ce9bc36cc8ab1749c01e,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js|22_효천고_1학기_기말_고1_기출|13,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js_13,1a5b076b33ec714ab8a8ad40427d24dd700021e9b3aa019bfb56c29e3650434a,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js|24_제일고_1학기_기말_고1_기출|3,archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,24_제일고_1학기_기말_고1_기출,3,3,3,2015,수학(상),H15-SA-06,이차방정식의 근과 계수,6,H15-SA-06-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|근과계수|대칭식|계수비교,192947752d6d0516c0549c8d3022235baefe630a84e3bcddef1efe43885e87cc,3cc19e370a6671b60f17396fd032ed6593aa1547f8af80d6ab8d949018911b5e,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,f8ed2fb7968f52fb7278be08bae47504d3d9ca03b18516032e57d5e0cfedd035,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js|24_제일고_1학기_기말_고1_기출|3,,INDEX_RECORD_PRESENT,original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js_3,6c155378316a391038a72d44207b9af9290be51abf5473c565f7595d9d69cb0b,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|4,archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js,25_강남여고_1학기_기말_고1_기출,4,4,4,2022,공통수학1,H22-C-06,여러 가지 방정식과 부등식,6,H22-C-06-HIGHER_INEQUALITY,여러 가지 부등식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|부등식|범위|조건해석|계산,72c23d0f5bdea2d79099e03c6497d96a5537fdd855a24f63f6b6c4d661f8d098,48f3bb842b2ceea0b6adb6fa0c4960dc5692c4a429bfd10fcb82a98f4ab27b37,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,fa85e830a212fbf6973f7086c33c4d6e2bc953dd08fc3c9fd402c1ce8138786c,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|4,,INDEX_RECORD_PRESENT,original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js_4,54669b7f56b5e816d952a323c9b43cd38c004fadcd52e8f8af387558c9aae7df,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|6,archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js,25_강남여고_1학기_기말_고1_기출,6,6,6,2022,공통수학1,H22-C-06,여러 가지 방정식과 부등식,6,H22-C-06-INEQUALITY,여러 가지 부등식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|절댓값|부등식|정수조건|개수세기|조건해석|계산,c00da01b1dd7c18bb5824563bc6a679f6506761db8b807d35f317b1b49bad7d9,4aee675ec8f7d8b7e18c07d0ced48f879fe0a5fee65c214a10b19221c454b150,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,cf0b26a3157e07ba563f6ccfc895e852016e08ba22b5481a78d461bd7871f89c,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|6,,INDEX_RECORD_PRESENT,original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js_6,54669b7f56b5e816d952a323c9b43cd38c004fadcd52e8f8af387558c9aae7df,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|8,archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js,25_강남여고_1학기_기말_고1_기출,8,8,8,2022,공통수학1,H22-C-06,여러 가지 방정식과 부등식,6,H22-C-06-INEQUALITY,여러 가지 부등식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|이차함수|부등식|함수|정수조건|조건해석|계산,0443539d4b165e45a633fb07f431ef02917a9efb02c5e5d051cd2d9f3f5a74aa,119a6d81cf8b830697ba7ba1e4042113a222c8a082c3619f03f917d8c647f06f,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,d03536e1eca7ef0f6783362fc56a824f276c1f06d698d1e1d8f0271db2671143,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js_8,54669b7f56b5e816d952a323c9b43cd38c004fadcd52e8f8af387558c9aae7df,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
