questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|3,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,3,3,3,2015,수학(상),H15-SA-09,평면좌표,9,H15-SA-09-TRIANGLE_CENTROID_AREA,삼각형의 좌표와 무게중심,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|무게중심|좌표,5bb0d3e84d8c8e4cd32e71f62a1c3977cc6d7d00d44ec34c34ffa8046f3111ed,119a6d81cf8b830697ba7ba1e4042113a222c8a082c3619f03f917d8c647f06f,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,f523a1416c03966f54656a367e8c6adb4a6f927272c990145bff4ec3783b679d,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|3,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_3,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|8,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,8,8,8,2015,수학(상),H15-SA-09,평면좌표,9,H15-SA-09-COORDINATE_METRIC,좌표와 거리,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|거리|좌표|x축,ab607e1c08b5a5169836aff883367878f7f2be9289d801f670f1cc0a5f88725f,aa14343b32146b188f3cc5b24e1c496fc4a60a4e049e6fca7a1cf206e428e364,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,084e473487d36953294d61510c99b44654084a5b3da85095b68bb86bbb0aaf28,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_8,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|9,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,9,9,9,2015,수학(상),H15-SA-09,평면좌표,9,H15-SA-09-TRIANGLE_CENTROID_AREA,삼각형의 좌표와 무게중심,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|삼각형|넓이|중점|기울기|도형,45ecaeee86535370048347c4939c29137d372bac6ae73742937669374cdefbda,3cc19e370a6671b60f17396fd032ed6593aa1547f8af80d6ab8d949018911b5e,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,27b5b0dc96cedfa6fdc6113384c2a5680980bbc652cb00a768d520ef98c92ee8,,,assets/images/22_금당고_1학기_기말_고1_기출/q09-solution.svg,5596ada73bbcc5b88dd5c4d01faa23766552118d3868e246caed4a271e57861b,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,4ed3ccfd56c9096eeae48e6ff0bb573d6498e416a5e67f9410c5db06af129236,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|9,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_9,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|10,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,10,10,10,2015,수학(상),H15-SA-09,평면좌표,9,H15-SA-09-COORDINATE_METRIC,좌표와 거리,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|거리|최솟값|좌표,93f6cf3cb30303fab1bf56b0f17c2657dd05b2ef287a1a5bfc2cdb9a106c507e,a3df0ff132a92beb0688aa32aa24e81cf04558b945e21e98565e21772d8657e3,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,ce94a653943f42191925d6c0d63ed771ef81d344d48dba309c417e108136d4e1,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|10,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_10,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|4,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,4,4,4,2015,수학(상),H15-SA-09,평면좌표,9,H15-SA-09-TRIANGLE_CENTROID_AREA,삼각형의 좌표와 무게중심,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|평면좌표|고1|기말,50556d6af9ffb1afcf7a2e3ea79b7fd73dd038f45eac26f379d4829af10ad03f,3409af149b849436c0c493ef6459080137486a1ca5d1a2df8278f29a751fa97a,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,6aafdc5535fbaed1af6c0be12966ee75d438d451f1c470e33036098547e29f96,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|4,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_4,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|8,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,8,8,8,2015,수학(상),H15-SA-09,평면좌표,9,H15-SA-09-GEOMETRY_EQUATION,도형의 방정식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|평면좌표|고1|기말|도형,04710da3399a823635884268096c4e559fc502302f7c8a602d7a145f61c863c4,119f5740e93c27d790b7e3ab5f259fe2109f38360c852701fabe7966000d2642,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,618d34d7ebe3c826a9520d0adf1e09b7017cb087f6315f728fb5e508f6614d2e,,,assets/images/22_매산고_1학기_기말_고1_기출/q08-solution.svg,5d369d2888b68a57c4d2db6ae747d34624f11370a0579491547dab459a3dec04,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,0d6fa734e1e77737a13856debab7385eea50233a8d5b682d3f22e608819ee179,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|8,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_8,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|17,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,17,17,17,2015,수학(상),H15-SA-09,평면좌표,9,H15-SA-09-COORDINATE_METRIC,좌표와 거리,category_or_cue_inferred,complete_category,단답형,grid,false,단답형|평면좌표|고1|기말|도형,277b49ca4d17a566593f2df3e9be9fd3a12fb1b47ab0c3a7a2b774e3cad575bf,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,47d1f15d9ff067f863d12c2fddd865045709b30ceef9e1523ec280d738e5cc14,58b7bb43478c8f6d807d1128ae7eeef2139a3157dcd37c12e637dd26529122ba,assets/images/22_매산고_1학기_기말_고1_기출/q17.png,3d8b91d89afb2014376ca0bc1f74734d9f0d1a573d1ea63e9079d597ab8d0e56,assets/images/22_매산고_1학기_기말_고1_기출/q17-solution.svg,c2af82e214898a2a6101af7ef754097ef3376256a7ff197cf7060ee6904e8f7e,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,b5aa4878a612ec0a1ac0c6252f95cfe2cae7d48556cb7e08ea9940d0bc529179,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|17,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_17,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,$\dfrac47$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|20,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,20,20,20,2015,수학(상),H15-SA-09,평면좌표,9,H15-SA-09-COORDINATE_METRIC,좌표와 거리,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|평면좌표|고1|기말|도형,fce38619a3a7757da87d1668b953e5e5f0e4a584e33ede2810e01e5c8b846208,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,9242c560109dc6060fd3a23ed19c44e325e593f63c266435c5bf45bd71979e2d,65052681ba9090cd5b26db47bbafe47a5decebef54a58b229e7cddd92a2d6a11,,,assets/images/22_매산고_1학기_기말_고1_기출/q20-solution.svg,dd244d12cb8f626d4904e31ba926bf6f423c45ebd7d74877372f69ac2b4a9ed5,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,6ea8c5d000e9b5ec9058372bc8b9b53e2140912126ff4475f683e8cc53d12d35,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|20,[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_20,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,$\dfrac{9+2\sqrt{14}}{5}$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|11,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,11,11,11,2015,수학(상),H15-SA-09,평면좌표,9,H15-SA-09-GEOMETRY_APPLICATION,도형의 방정식 활용,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|도형|닮음|최대최소,c05fbf7cb6ad4f7784e9223238a4e289ef0e542fa18290fd89ae0d51bbb2d677,73a68c1e61d6d0fc777d4775140d9bf286839172feca74f1de5674f460407a41,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,c9a554fd8c2143e8e980bdc0db18aeb15ec08a0943f81f6cd1008c5c89494ff7,assets/images/22_복성고_1학기_기말_고1_기출/q11.png,301d8cb6a6d9af0734342e54ad02ac6cdc57530b17f6035677779ed728950058,assets/images/22_복성고_1학기_기말_고1_기출/q11-solution.svg,3fea83fe0dc22d2781b222076cec09fba9897da0b8037dc73209d67d3f03a41d,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,287d083708a819928ce982070ef315ee75e7cbcdb9f68461518187ceb916bbde,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|11,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_11,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|16,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,16,16,16,2015,수학(상),H15-SA-09,평면좌표,9,H15-SA-09-COORDINATE_METRIC,좌표와 거리,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|내분점|외분점|대칭이동,ed10d85e185b42fd53cdaac970c1dc7e24d63b6ededdda4637a8ccb8c7fccfac,6ba4d68053d43d42b695cb12c43a1fb5b4504937cad43d390ddcb8e4b322747e,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,4a07442e52602d92b900fa0511d376e51633302b9a7cc221212bc7eb60289106,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|16,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_16,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
