curriculum,level,scope,L1,L2,L3,L4,L1_status,L2_status,L3_status,L4_status,curriculumApplicability,defaultSelectable,source
2015,middle,M1-1,소인수분해,소인수분해,소수와 합성수,소수·합성수 판별,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,소인수분해,소수와 합성수,소수의 성질 활용,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,소인수분해,소인수분해,자연수의 소인수분해,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,소인수분해,소인수분해,소인수분해를 이용한 약수의 구조,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,소인수분해,약수의 개수,소인수분해를 이용한 약수의 개수,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,소인수분해,약수의 개수,조건을 만족하는 자연수 찾기,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,최대공약수와 최소공배수,공약수와 최대공약수,소인수분해로 최대공약수 구하기,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,최대공약수와 최소공배수,공약수와 최대공약수,공약수 조건으로 수 찾기,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,최대공약수와 최소공배수,공배수와 최소공배수,소인수분해로 최소공배수 구하기,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,최대공약수와 최소공배수,공배수와 최소공배수,공배수 조건으로 수 찾기,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,최대공약수와 최소공배수,최대공약수·최소공배수의 활용,나누어떨어짐 조건,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,소인수분해,최대공약수와 최소공배수,최대공약수·최소공배수의 활용,주기·배열·묶음 문제,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,정수와 유리수,정수와 유리수,수 체계,양수·음수 분류,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,정수와 유리수,정수와 유리수,수 체계,정수와 유리수의 포함 관계,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,정수와 유리수,정수와 유리수,수직선과 대소 관계,수직선 위의 수,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,정수와 유리수,정수와 유리수,수직선과 대소 관계,유리수의 대소 비교,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,정수와 유리수,정수와 유리수,절댓값,절댓값의 뜻,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,정수와 유리수,정수와 유리수,절댓값,절댓값 조건으로 수 찾기,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,정수와 유리수,정수와 유리수의 계산,덧셈과 뺄셈,부호가 있는 수의 덧셈,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
2015,middle,M1-1,정수와 유리수,정수와 유리수의 계산,덧셈과 뺄셈,부호가 있는 수의 뺄셈,RPM_VERIFIED,RPM_VERIFIED,CANONICAL_DRAFT,CANONICAL_DRAFT,DEFAULT_SCOPE,True,RPM_M1_2015
