id,displayNo,questionType,pageNo,hasVisualAsset,fullPageImagePath,image,answerStatus,solutionStatus
1,1,,1,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p001.png,,external_agent_required,external_agent_required
2,2,,1,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p001.png,,external_agent_required,external_agent_required
3,3,,1,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p001.png,,external_agent_required,external_agent_required
4,4,,1,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p001.png,,external_agent_required,external_agent_required
5,5,,2,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p002.png,,external_agent_required,external_agent_required
6,6,,2,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p002.png,,external_agent_required,external_agent_required
7,7,,2,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p002.png,,external_agent_required,external_agent_required
8,8,,2,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p002.png,,external_agent_required,external_agent_required
9,9,,3,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p003.png,,external_agent_required,external_agent_required
10,10,,3,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p003.png,,external_agent_required,external_agent_required
11,11,,3,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p003.png,,external_agent_required,external_agent_required
12,12,,3,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p003.png,,external_agent_required,external_agent_required
13,13,,4,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p004.png,,external_agent_required,external_agent_required
14,14,,4,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p004.png,,external_agent_required,external_agent_required
15,15,,4,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p004.png,,external_agent_required,external_agent_required
16,16,,5,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p005.png,,external_agent_required,external_agent_required
17,17,,5,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p005.png,,external_agent_required,external_agent_required
18,18,,5,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p005.png,,external_agent_required,external_agent_required
19,19,,6,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p006.png,,external_agent_required,external_agent_required
20,20,,6,False,C:\Users\work1\Desktop\AP-------past-exam-v4-gold4-maesan-2020-20260911\archive\_generated\past-exam-v4-gold4-maesan-2020-20260911\20_매산고_2학기_기말_고1_기출-r3\pages\page_p006.png,,external_agent_required,external_agent_required
