exam,question,issue,source,asset,assetRole,status
21_복성고_2학기_중간_고1_기출,1,원·점 축척 및 y=±2 시각관계,archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,archive/assets/images/21_복성고_2학기_중간_고1_기출/q01-solution.svg,solutionImage,REPAIRED
21_복성고_2학기_중간_고1_기출,16,원·점 축척 및 y=±2 시각관계,archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,archive/assets/images/21_복성고_2학기_중간_고1_기출/q16-solution.svg,solutionImage,REPAIRED
21_순천고_2학기_중간_고1_기출,9,"공통현 교점 및 C(−2,5) 부호·위치",archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,archive/assets/images/21_순천고_2학기_중간_고1_기출/q09-solution.svg,solutionImage,REPAIRED
21_순천고_2학기_중간_고1_기출,20,"공통현 교점 및 C(−2,5) 부호·위치",archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,archive/assets/images/21_순천고_2학기_중간_고1_기출/q20-solution.svg,solutionImage,REPAIRED
21_제일고_2학기_중간_고1_기출,18,"C(−3,1) 좌표 부호 방향",archive/exams/original/high/h1/2mid/21_제일고_2학기_중간_고1_기출.js,archive/assets/images/21_제일고_2학기_중간_고1_기출/q18-solution.svg,solutionImage,REPAIRED
22_금당고_1학기_기말_고1_기출,11,실제 현과 별개의 잘못된 직선 중복 제거,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,archive/assets/images/22_금당고_1학기_기말_고1_기출/q11-solution.svg,solutionImage,REPAIRED
22_매산고_1학기_기말_고1_기출,10,"O(3,5) 좌표 위치",archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,archive/assets/images/22_매산고_1학기_기말_고1_기출/q10-solution.svg,solutionImage,REPAIRED
22_복성고_1학기_기말_고1_기출,3,"T(3,1)를 지나는 접선 3x+y−10=0",archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,archive/assets/images/22_복성고_1학기_기말_고1_기출/q03-solution.svg,solutionImage,REPAIRED
22_순천여고_1학기_기말_고1_기출,12,y=x+1 직선과 실제 좌표관계,archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,archive/assets/images/22_순천여고_1학기_기말_고1_기출/q12-solution.svg,solutionImage,REPAIRED
22_순천여고_1학기_기말_고1_기출,23,y=x+1 직선과 실제 좌표관계,archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,archive/assets/images/22_순천여고_1학기_기말_고1_기출/q23-solution.svg,solutionImage,REPAIRED
22_팔마고_1학기_기말_고1_기출,6,"C(1,−4) 위치 및 수선 직교관계",archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,archive/assets/images/22_팔마고_1학기_기말_고1_기출/q06-solution.svg,solutionImage,REPAIRED
22_팔마고_1학기_기말_고1_기출,19,"C(1,−4) 위치 및 수선 직교관계",archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,archive/assets/images/22_팔마고_1학기_기말_고1_기출/q19-solution.svg,solutionImage,REPAIRED
22_효천고_1학기_기말_고1_기출,14,6x+8y−9=0 직선 기울기,archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js,archive/assets/images/22_효천고_1학기_기말_고1_기출/q14-solution.svg,solutionImage,REPAIRED
22_제일고_1학기_기말_고1_기출,13,중심·반지름·점/원 좌표관계,archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,archive/assets/images/22_제일고_1학기_기말_고1_기출/q13-solution.svg,solutionImage,REPAIRED
22_제일고_1학기_기말_고1_기출,14,중심·반지름·점/원 좌표관계,archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,archive/assets/images/22_제일고_1학기_기말_고1_기출/q14-solution.svg,solutionImage,REPAIRED
22_제일고_1학기_기말_고1_기출,17,중심·반지름·점/원 좌표관계,archive/exams/original/high/h1/1final/22_제일고_1학기_기말_고1_기출.js,archive/assets/images/22_제일고_1학기_기말_고1_기출/q17-solution.svg,solutionImage,REPAIRED
23_매산고_1학기_기말_고1_기출,14,내접원 중심 위치,archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js,archive/assets/images/23_매산고_1학기_기말_고1_기출/q14-solution.svg,solutionImage,REPAIRED
23_복성고_1학기_기말_고1_기출,19,"P 위치 및 C₂=(6,−8)·반지름 축척",archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js,archive/assets/images/23_복성고_1학기_기말_고1_기출/q19-solution.svg,solutionImage,REPAIRED
