sourceJsPath,questionCount,targetQuestionUids,exam,solution,answer,renderStatus
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,3,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|2|archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|15|archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|17,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,4,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|1|archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|3|archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|11|archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|16,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,7,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|4|archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|5|archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|6|archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|10|archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|13|archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|18|archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|19,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js,4,archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|2|archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|13|archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|14|archive/exams/original/high/h1/1final/22_순천여고_1학기_기말_고1_기출.js|22_순천여고_1학기_기말_고1_기출|15,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,5,archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|1|archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|10|archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|11|archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|12|archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|21,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js,4,archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js|22_효천고_1학기_기말_고1_기출|6|archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js|22_효천고_1학기_기말_고1_기출|10|archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js|22_효천고_1학기_기말_고1_기출|11|archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js|22_효천고_1학기_기말_고1_기출|21,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js,4,archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js|23_강남여고_1학기_기말_고1_기출|1|archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js|23_강남여고_1학기_기말_고1_기출|10|archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js|23_강남여고_1학기_기말_고1_기출|11|archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js|23_강남여고_1학기_기말_고1_기출|18,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/23_금당고_1학기_기말_고1_기출.js,3,archive/exams/original/high/h1/1final/23_금당고_1학기_기말_고1_기출.js|23_금당고_1학기_기말_고1_기출|4|archive/exams/original/high/h1/1final/23_금당고_1학기_기말_고1_기출.js|23_금당고_1학기_기말_고1_기출|11|archive/exams/original/high/h1/1final/23_금당고_1학기_기말_고1_기출.js|23_금당고_1학기_기말_고1_기출|14,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js,6,archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js|23_매산고_1학기_기말_고1_기출|3|archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js|23_매산고_1학기_기말_고1_기출|8|archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js|23_매산고_1학기_기말_고1_기출|11|archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js|23_매산고_1학기_기말_고1_기출|13|archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js|23_매산고_1학기_기말_고1_기출|17|archive/exams/original/high/h1/1final/23_매산고_1학기_기말_고1_기출.js|23_매산고_1학기_기말_고1_기출|19,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js,4,archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js|23_복성고_1학기_기말_고1_기출|2|archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js|23_복성고_1학기_기말_고1_기출|7|archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js|23_복성고_1학기_기말_고1_기출|9|archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js|23_복성고_1학기_기말_고1_기출|16,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,1,archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js|23_순천여고_1학기_기말_고1_기출|7,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,2,archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js|23_제일고_1학기_기말_고1_기출|4|archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js|23_제일고_1학기_기말_고1_기출|6,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js,6,archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js|23_팔마고_1학기_기말_고1_기출|7|archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js|23_팔마고_1학기_기말_고1_기출|9|archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js|23_팔마고_1학기_기말_고1_기출|10|archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js|23_팔마고_1학기_기말_고1_기출|13|archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js|23_팔마고_1학기_기말_고1_기출|15|archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js|23_팔마고_1학기_기말_고1_기출|20,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,2,archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js|24_금당고_1학기_기말_고1_기출|1|archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js|24_금당고_1학기_기말_고1_기출|18,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,3,archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js|24_매산고_1학기_기말_고1_기출|1|archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js|24_매산고_1학기_기말_고1_기출|2|archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js|24_매산고_1학기_기말_고1_기출|13,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,1,archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js|24_제일고_1학기_기말_고1_기출|19,PASS,PASS,PASS,PASS
archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js,4,archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|2|archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|3|archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|15|archive/exams/original/high/h1/1final/25_강남여고_1학기_기말_고1_기출c.js|25_강남여고_1학기_기말_고1_기출|23,PASS,PASS,PASS,PASS
