questionUid,field,assetPath,assetSha256,naturalSize,visualRequirement
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|3,solutionImage,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q03-solution.svg,f83cdd0e8d0fa75698a47e8a6b7b497c3080fc855d881ec6b09f5589ee5d03a0,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|12,image,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q12.png,b4692838d108825c90a103f090e335c0052817984c86660fc7240746c5dc018d,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|12,solutionImage,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q12-solution.svg,6488265104fcca7607e509e9503142bea501cde2419d26a671b9cfd0998e85d3,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|16,image,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q16.png,a61ad280a7311e4ad42c66d1c5868cc98206d36aa2283dbf2f80327036d09722,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|16,solutionImage,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q16-solution.svg,5b81641b397d9bc77c4eeab8cde1011d547d67aad7abac68595123837988c00f,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|17,solutionImage,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q17-solution.svg,cf53636e3c7915f2aafe2c9c9e42584851856f5e503285fcd3a2179204b1e94d,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|22,image,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q22.png,9837e558f128fbaba059d8942bebb221969e84609dab63422e745b18c6b5820a,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|22,solutionImage,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q22-solution.svg,d52847945df6d5019b01ce4bff6c6be394caa5a90f98f40d71b8799a230fae3a,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|28,solutionImage,archive/assets/images/21_강남여고_2학기_기말_고1_기출/q28-solution.svg,736e19eaf0595425c136933b456ae18f5b36e6a8a07b491cf997882a9476c45c,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|22,solutionImage,archive/assets/images/21_금당고_2학기_기말_고1_기출/q22-solution.svg,94e3c7f108bed9ce9d9cebe3d68cd803121801a10187460e141cf107d605e4f7,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|3,solutionImage,archive/assets/images/21_복성고_2학기_기말_고1_기출/q03-solution.svg,188ec47378831627e403351f2d4877c4a24e87a9a4f4c7221763d0af7f77dc7c,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|10,image,archive/assets/images/21_복성고_2학기_기말_고1_기출/q10.png,4164f22bb48a5f66aa11dbbe3d743c85a1b1f2bbb86ac3c5cafd7411ce46f3be,[object Object],VISUAL_REQUIRED_SATISFIED
