questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|9,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,25_금당고_2학기_기말_고1_기출,9,9,9,2022,공통수학2,H22-C2-08,유리함수,8,H22-C2-08-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|유리함수|점근선|그래프,ba13c9fa12775d35a7001477720723f784876f67323fa1b8475dcbbb6fd00234,2c5af4dec657292ee00f77f7a6a79c402d5ece7fabff71603c5314d93db9608d,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,5f32caab1a45446de115d6b4efd3da1c72f19b5ff69ca4fc49417c5c1a2b4e8b,,,assets/images/25_금당고_2학기_기말_고1_기출/q09-solution.svg,9403c69663e410f68b31b5c2c2317833868104dc1307b7ef5a004b1af6dfcb11,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,8cc398359fffc03ada952bb87f809ebd38d2d37f3a9bc346523a35a91055e78a,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|9,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_9,bdb2bd7bce019a884423681d35d231569c1db4d915d259aba91917788fd7e2d8,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|13,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,13,13,13,2022,공통수학2,H22-C2-08,유리함수,8,H22-C2-08-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,1e8051f2d2b83d75a6fe9c03b3816e298ce93aa93f41dc27aa4d7f11cbc64fb0,1838bd76638267261b617b23e517facfc5a79d24943b7756e102a5010763e792,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,1edd48c7e56ecd3ce1d871997d17ceee66d8b314a98c1022b2a8e67404c6bcb8,assets/images/25_순천고_2학기_기말_고1_기출/q13.png,5e81f9c184e74e0a5e04598fa10f8fcae21e10ca4be3f58b199ab232d23aff7a,assets/images/25_순천고_2학기_기말_고1_기출/q13-solution.svg,126901a9d1709feec3a290f252fbb9587de5a55e57224f27b0c94dbf3199ab27,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,9d0034090d43f078907e26ffb8bbf1b1275ba28f01d9fdd60f367f5a590bb23c,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|13,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_13,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|14,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,14,14,14,2022,공통수학2,H22-C2-08,유리함수,8,H22-C2-08-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,fe6f970d277b660eb6e704ffd1b4f3592539cf64ae5beeaa163281204102ec0e,22f11f216cb1e2a5ed63563767a5df02e6bd747857c11d57982deeecd6e57212,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,5a4752c8d4d8dc1531b12fcea879dc6e6fe85c515385d42866954f20607eec94,,,assets/images/25_순천고_2학기_기말_고1_기출/q14-solution.svg,280d1467b685aa3b8270e316fdd78119df64c273cc26e2937dbef8ffd4924011,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,fbdb90f3d91f1285c7c3921309d7697ed541c8af8baa9ed78ee6013704f611cb,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|14,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_14,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|18,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,18,18,18,2022,공통수학2,H22-C2-08,유리함수,8,H22-C2-08-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,단답형,grid,false,그래프,61f5ccfb9cecf376cf589e2f1a643b279e09cf32d510c07386bb44fcd3d42933,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,20b4ee29c95f1bdacd5e19d1db286c6dfaec43c46776ad44ec9030d682795a30,b0e3ac85ae7a8f47792cc565426ec0d2e5025954f92e5e8a4dfddf891f2f3011,,,assets/images/25_순천고_2학기_기말_고1_기출/q18-solution.svg,10f4bc681bffd3f4a40ab25c64b41fdc03ad8e7ba23a74538860f2276c8156d1,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,452fc5145b23711958cfb71de9f2735fe68ad22d2ab91f46f520e425ee98bb15,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|18,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_18,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,$\sqrt{14}$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|19,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,25_순천고_2학기_기말_고1_기출,19,19,19,2022,공통수학2,H22-C2-08,유리함수,8,H22-C2-08-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,단답형,grid,false,,ddd6a9c2c35f2c8284acbd04d7f35cc739a82a7c450565592f4e15214dabfc96,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,341442c16f352a11901c65b802924339f5271f59efa1e94850a4f65a3da9fa39,c38eb2f8dc43e78e1da964fb11874d6540ef860594ba1448770784f727e8add7,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|19,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_19,0d31635733a424e1a21e6aef7bb929397ee288a8257af60e8eb1fe337e5f3537,true,$\dfrac{36}{7}$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|13,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,25_제일고_2학기_기말_고1_기출,13,13,13,2022,공통수학2,H22-C2-08,유리함수,8,H22-C2-08-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,f3d1a1cd452b5c149d50a20cccac26e6c0fb70cb9c80ff0af5aa464f9fd8ea35,450e25ded8af80c39cb3dd2b32d5892a75b98575ad40227d9877be7069521f4f,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,06b71aeb4efa62da15fc58c7a69f0397efdca2a7d826a042307961b9c3622a70,,,assets/images/25_제일고_2학기_기말_고1_기출/q13-solution.svg,74a79bf5662d3c4423186be00a6bc1aa9615ce3696b27a2f2b20bef9bdb97360,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,ea14c412f345273d39b3101a0a31a14eb4a3eea7a7b241b2229ea36e70324e3c,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|13,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_13,6850830f4fb4b126b45bd825cf7118ddbef562490f0909ae80abf9b6998491ce,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|14,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,25_제일고_2학기_기말_고1_기출,14,14,14,2022,공통수학2,H22-C2-08,유리함수,8,H22-C2-08-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,7a660c8a91954f88b01352ea4f3196889a4c5945a3915ccd3381a0d74b32c487,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,03c0b87d0189813300782646c002521d6894802c5d554e894e4acd0e74f27d8f,,,assets/images/25_제일고_2학기_기말_고1_기출/q14-solution.svg,06b8c5b40f326a431887bcadb30b950fdf7acf60e7c4ffdfd5362f57bb6b7e6c,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,3daa6587e6fc0ae2477ad208ba2bbfb5052ec8a695f6c2180a6c2a5609aa82cf,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|14,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_14,6850830f4fb4b126b45bd825cf7118ddbef562490f0909ae80abf9b6998491ce,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|16,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,25_제일고_2학기_기말_고1_기출,16,16,16,2022,공통수학2,H22-C2-08,유리함수,8,H22-C2-08-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,,6c19cfd7031bd60794fd7a1e7ab52b71e2021196f4fd5efded3592ff03947585,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,dc23e4669f4e7ce8194146572d0d882c03f3555438341f5a9758381b28188bfe,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|16,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_16,6850830f4fb4b126b45bd825cf7118ddbef562490f0909ae80abf9b6998491ce,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|21,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,25_제일고_2학기_기말_고1_기출,21,21,21,2022,공통수학2,H22-C2-08,유리함수,8,H22-C2-08-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,서술형,grid,false,서술형,5636f34cabe933546e955491d5f78a7ca25f776fa62240df26904b9feac473b6,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1aac4ca635983aabf213fce46f1c4161ca810c04ee21ceb9075c78f113678ea9,b7858b3dd8104a9b88fe85b812c1af0454467f4d16752f6be38812ef54cd661d,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|21,,INDEX_RECORD_PRESENT,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_21,6850830f4fb4b126b45bd825cf7118ddbef562490f0909ae80abf9b6998491ce,true,$\dfrac{99}{100}$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js|25_팔마고_2학기_기말_고1_기출|4,archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js,25_팔마고_2학기_기말_고1_기출,4,4,4,2022,공통수학2,H22-C2-08,유리함수,8,H22-C2-08-FUNCTION_BASIC,함수의 뜻과 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|유리함수|그래프|사분면,99ca93efb4232ba38c394a59495d8c22f09be1ce60dc5c80d6f330e26df8cfd6,63430e99d7857b8ca54023de35ce86d5b470bd8936d38fa31620ea75b6c2a779,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,e370535c6148613bdf0e196ce5811d03b6656e59b3c6ac07710b8ad149d8abe0,,,assets/images/25_팔마고_2학기_기말_고1_기출/q04-solution.svg,55dca7ed94d8aed66817c980c60b20f62992852b64f0d054ee5a80c637db64c7,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,b110ccf0fd557b2b09205d1abcb9a1c0861a84387d713f9780436613beb338b0,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js|25_팔마고_2학기_기말_고1_기출|4,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js_4,107db0f0585017313bead41fed20452de5882d3fcc4dff8261343b14c8df118e,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
