questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|5,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,5,5,5,2015,수학(상),H15-SA-07,여러 가지 방정식,7,H15-SA-07-SUBSTITUTION_SYSTEM,치환과 연립방정식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|연립방정식|이차방정식,849b9c9428399d2614164c563f5bdd732105140367e15b52f434621e19916326,d1cffd16975c2a48acbcadc7a6e1c383a4fd49aae8f07fd32e9b90772e005ff0,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,78862396bd6ab57cef6d679e61be5229975e4710742eaa4b62f473a3f8902254,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|5,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_5,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|2,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,2,2,2,2015,수학(상),H15-SA-07,여러 가지 방정식,7,H15-SA-07-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|사차방정식|인수분해,90fb4152dc1f627c2b78045635fc98e61e37ae2283005469e69c45fa8f94dd8e,9f32b99ddc3a3c4160dfe768b333e64d22f2ae885f580adeeb999231d004d03e,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,6db0f93485f7ae423f79736db14c99a8e624f646789339d039db00b2cb18975c,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|2,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_2,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|20,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,20,20,20,2015,수학(상),H15-SA-07,여러 가지 방정식,7,H15-SA-07-SUBSTITUTION_SYSTEM,치환과 연립방정식,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|연립방정식|인수분해,a5bf86355a32a3da3059e56edf616ffa135e91e3565d811ce5a55764f566be70,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,ada04e37d4c54bf2ef41fcdfcc72ebda291e0fa48936e442aa9d5b37ea3bab50,764d4c75cf8f62ccf1604e40dc91da6c578e0ccfab244054e7da36d79a420413,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|20,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_20,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,"$(3,1),\ (-3,-1),\ (\sqrt5,-\sqrt5),\ (-\sqrt5,\sqrt5)$",IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|8,archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,22_팔마고_1학기_기말_고1_기출,8,8,8,2015,수학(상),H15-SA-07,여러 가지 방정식,7,H15-SA-07-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|여러 가지 방정식|고1|기말,ed2ad3e5384603c29dfed406483de9f4417b810f7ae4a70a995bb1a6bf198a9a,debb2e964e4edcdb8697286c4490f433247316eeaf4319954ad8f758f8262bb5,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,2ff8d7b57da6f9196f2585344c7259544a68507291dc4bfd5aef876b2d42ec9e,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js_8,29b947a1d1422b4def7f5d0d708d62418af8d0ad94656355c0625137a588620b,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|9,archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,22_팔마고_1학기_기말_고1_기출,9,9,9,2015,수학(상),H15-SA-07,여러 가지 방정식,7,H15-SA-07-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|여러 가지 방정식|고1|기말,4242b935b53881f320821f745ec8f3ead221e9daac88267b21d9098f985e409f,e0d97c9019866472897be616b4b44634dd3f90c486dd75fb0aa9593501c65aef,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,ccf2c0daa784f83c96fccd72f4a5f1f7dacf7f7e08bc24fc187bbb2a11301102,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|9,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js_9,29b947a1d1422b4def7f5d0d708d62418af8d0ad94656355c0625137a588620b,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|20,archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js,22_팔마고_1학기_기말_고1_기출,20,20,20,2015,수학(상),H15-SA-07,여러 가지 방정식,7,H15-SA-07-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,단답형,grid,false,단답형|여러 가지 방정식|고1|기말,729b30809b8e39858701523e34640f1e7dadf3cecb77316c937b2e7d1af60130,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,b3782ed1fb6fb2604e9d19dbb3a8740f50e987e9987ed3bfec5718527122fdea,cc68e0c796edb09a2a6d51e4a527e45529b2f239a26dfd4e842c1f90983c5635,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js|22_팔마고_1학기_기말_고1_기출|20,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_팔마고_1학기_기말_고1_기출.js_20,29b947a1d1422b4def7f5d0d708d62418af8d0ad94656355c0625137a588620b,true,$7$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js|22_효천고_1학기_기말_고1_기출|5,archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js,22_효천고_1학기_기말_고1_기출,5,5,5,2015,수학(상),H15-SA-07,여러 가지 방정식,7,H15-SA-07-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|연립방정식|한쌍의해,9fae20c25a6114f4ff1b8608a55493df78c2ab9e00e659167ac663518a318874,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,7d58f9e132150e109c627b09824f5effa0763ffd6bebf764239c86caf287a7ee,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js|22_효천고_1학기_기말_고1_기출|5,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_효천고_1학기_기말_고1_기출.js_5,1a5b076b33ec714ab8a8ad40427d24dd700021e9b3aa019bfb56c29e3650434a,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js|23_강남여고_1학기_기말_고1_기출|8,archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js,23_강남여고_1학기_기말_고1_기출,8,8,8,2015,수학(상),H15-SA-07,여러 가지 방정식,7,H15-SA-07-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,,a5d9c0c4a7100af013b509d9a6f92c484a4e74f632c6f34e56ca710e9a3052fa,ae53765779cd7cf37b3c831b835d5e3e58d32cd2f512a30ef4ce646abcd45ba0,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,37211a78e7a780f6d833efaf493190c2d1d2b78b2c1b7868b42e0d5debbf3c65,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js|23_강남여고_1학기_기말_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js_8,93afd5bebb6848c6a3009f34813dff32ecaed26c2ad66f79bd8a86334dbed943,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js|23_강남여고_1학기_기말_고1_기출|9,archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js,23_강남여고_1학기_기말_고1_기출,9,9,9,2015,수학(상),H15-SA-07,여러 가지 방정식,7,H15-SA-07-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,,ca6142b6c4d5dc50658659fb18fa2e194ebdc6d3b0b7d6233acd83729b288843,7e62c1941dcae510f66e790e3317dc47db08756f62b66476d8e6a24d02020c72,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,8f3e5b9cf2657a756ee8660a9b4e639231aa1ae15dc7acd51afd3f211e8e8122,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js|23_강남여고_1학기_기말_고1_기출|9,,INDEX_RECORD_PRESENT,original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js_9,93afd5bebb6848c6a3009f34813dff32ecaed26c2ad66f79bd8a86334dbed943,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js|23_강남여고_1학기_기말_고1_기출|23,archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js,23_강남여고_1학기_기말_고1_기출,23,23,23,2015,수학(상),H15-SA-07,여러 가지 방정식,7,H15-SA-07-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,단답형,grid,false,,8d9e730f3d659d8c36c250faa35761098a2d8c7005f3de86f76c7bcb76d23c79,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,c233be605c4767df931b9955312351b52b2c7d298e28d1ee37b5a8364cfa1afc,f7f8fb94207a36cbeebbef241ed5542e515aa116aa7b7431b58a25585afdd845,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js|23_강남여고_1학기_기말_고1_기출|23,,INDEX_RECORD_PRESENT,original/high/h1/1final/23_강남여고_1학기_기말_고1_기출.js_23,93afd5bebb6848c6a3009f34813dff32ecaed26c2ad66f79bd8a86334dbed943,true,"$a=3,\ b=-4$",IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
