sourceJsPath,questionCount,exam,solution,answer,renderEvidence
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,4,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,3,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,4,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js,4,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/21_팔마고_2학기_기말_고1_기출.js,6,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/21_효천고_2학기_기말_고1_기출.js,3,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/22_강남여고_2학기_기말_고1_기출.js,3,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js,3,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js,4,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js,5,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js,7,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/22_제일고_2학기_기말_고1_기출.js,2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/22_팔마고_2학기_기말_고1_기출.js,4,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js,3,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js,4,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js,2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js,4,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
archive/exams/original/high/h1/2final/24_강남여고_2학기_기말_고1_기출.js,6,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,PASS_BY_FULL_FAMILY_RENDER_V2,C:/Users/USER/Desktop/AP------/docs/reports/function-family-20260904/function_family_full_render_matrix_v2.json
