questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|2,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,2,2,2,2015,수학(상),H15-SA-08,여러 가지 부등식,8,H15-SA-08-INEQUALITY_APPLICATION,부등식의 활용,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|절댓값|부등식|자연수조건,a55c827efcd0f9219c3ad0f525dbdc8ce2170febc8919d8eea22d6bb1dc4beb1,51247bbaa5b4e54f213e8c8d62896eb320bf4bafb4c503e7c09d7302db3ceb61,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,d8003fc49329ea2104636e43b60adcf28b97b47bccfd466e8fb06f7d49a59c33,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|2,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_2,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|15,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,15,15,15,2015,수학(상),H15-SA-08,여러 가지 부등식,8,H15-SA-08-INEQUALITY_BASIC,부등식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|연립부등식|자연수조건|범위,6f7c1861254322b090c2d0c0f8525b68b34f3dadeaf4136b784a4ed07afd1771,c8cb7a3252bcd8b6450899f3da09f1f91649e04584a833aa1d645ecfebd2f9ad,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,0325182395d0243ee82a75e94a4ee4a199aa170d5af935cfcaad68ab6d3074b6,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|15,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_15,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|17,archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js,22_금당고_1학기_기말_고1_기출,17,17,17,2015,수학(상),H15-SA-08,여러 가지 부등식,8,H15-SA-08-ABSOLUTE_INEQUALITY,절댓값 부등식,category_or_cue_inferred,complete_category,객관식,grid,true,객관식|절댓값|부등식|정수조건|개수세기,5e2c6b8fe47101a36a2fe1076df6d8302a7d824408fa9123892b4259127dcf94,bdca6276b51f5177b3ba7e774b4f76270b4016f321c06e7f364ee7925e53b2d2,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,a34babcd7cb6fdb3a284350384edcc18752753a6e372a1b1942eeeb49f7261aa,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js|22_금당고_1학기_기말_고1_기출|17,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_금당고_1학기_기말_고1_기출.js_17,4c241cdb54466f474661d78f34d27c9dd5824b9b6c957e998e6d48f881f0d952,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|1,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,1,1,1,2015,수학(상),H15-SA-08,여러 가지 부등식,8,H15-SA-08-EQUATION_BASIC,방정식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|여러 가지 부등식|고1|기말,a1c4a4122943ffec4ca4781b3cc08d422377d8131b597b66fb730af1659d29a6,7100b0128f9285f62b07c859398d1038df0c97a65d5d67fb007a51bed191e779,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,f252b73620ebe839139ad432d2b9bdac17438b404857b3ec9462087797529b14,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|1,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_1,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|3,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,3,3,3,2015,수학(상),H15-SA-08,여러 가지 부등식,8,H15-SA-08-INEQUALITY_BASIC,부등식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|여러 가지 부등식|고1|기말,a029da2bbb564ed3ce7ad28474051b365bb8b95d861a3146339424ee1c080218,3961abe78561d830a41c6ee022a053704c60d5a54e23cafb677603e296e44429,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,5b6e059643021c7fc3a77a0116b025a554abfe2080c1eeac54fdb9e2b10e64f5,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,SET_OR_LOGIC_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,SCHEMATIC_OR_REVIEW,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|3,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_3,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|11,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,11,11,11,2015,수학(상),H15-SA-08,여러 가지 부등식,8,H15-SA-08-QUADRATIC_INEQUALITY,이차부등식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|여러 가지 부등식|고1|기말,823c80202722238b4b5dcb87d004406c7fa398c4f20553ee67b22082c1334986,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,4fd0c0f40d2610d3813ea370d88fce2c9079a18e3890afdbb66279f82e8315cb,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|11,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_11,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|16,archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js,22_매산고_1학기_기말_고1_기출,16,16,16,2015,수학(상),H15-SA-08,여러 가지 부등식,8,H15-SA-08-SYSTEM_INEQUALITY,연립부등식,category_or_cue_inferred,complete_category,단답형,grid,false,단답형|여러 가지 부등식|고1|기말,686e36f3c44164d86280d04f19eb6b7cb3cb3784f28907a6e73ddf98644bd525,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,f38335e4882261a2a47ac48365bb0f0b2fd5210cb1867dab0c2f0deaeda672ea,8f6ff2c7d12f832b2e51c373ba597dd09eed19e8922692653d7d0a51b8692243,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js|22_매산고_1학기_기말_고1_기출|16,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_매산고_1학기_기말_고1_기출.js_16,6eba0c1b691ff6db8d09e9e130a3fda9e2258f973dfb960765e7d86dcc47c0ca,true,$8\le a<9$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|4,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,4,4,4,2015,수학(상),H15-SA-08,여러 가지 부등식,8,H15-SA-08-QUADRATIC_INEQUALITY,이차부등식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|이차부등식|인수분해,5160076a424be1933d7f06677e5873a776939ec68c84558ef58d5a9d340421bd,223754a6e06e2bbdb054eb19c7fc2dbe8ed15dd6143053a827f81646fa89da6e,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,c4e680b3adbf8096aeb23696ce263a02aac6d62528d0ebee784c05aa0313bf14,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|4,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_4,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|5,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,5,5,5,2015,수학(상),H15-SA-08,여러 가지 부등식,8,H15-SA-08-ABSOLUTE_INEQUALITY,절댓값 부등식,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|절댓값|부등식,90d100032ba26ced327ce0afd0cefc03e4561cbf359473cdadc79f694ce22838,89a4d6407d9099f1e893bc7a7ff3ab218e8f9119f101bbddf8b98f3619c9cb4a,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,4e179c9c499d5e2e8490b6104c15f38e69c24476954716a5a44e519fdc7f0fec,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|5,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_5,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|6,archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js,22_복성고_1학기_기말_고1_기출,6,6,6,2015,수학(상),H15-SA-08,여러 가지 부등식,8,H15-SA-08-INEQUALITY_BASIC,부등식의 풀이,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|일차부등식|조건해석,572799ad01ffd99ae98f073ea423884947b13bfe5ac4b1d25dcd8f2c7d24c699,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,051c3d05427cdc5396e463d37a288d58e4631bcabb97a2638c820f17a85026ad,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js|22_복성고_1학기_기말_고1_기출|6,,INDEX_RECORD_PRESENT,original/high/h1/1final/22_복성고_1학기_기말_고1_기출.js_6,400e2aca1499c9d907123620c6251a29f161016cdaa1458ca3332a19e0f9df4d,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
